# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.248
metadata : {}


# id : NWRW1800000052.248.1.1
“‘세월호 식당칸 공기주입 성공’은 청와대 위한 거짓보고”

“‘세월호	“/SS+‘/SS+세월호/NNP
식당칸	식당/NNG+칸/NNG
공기주입	공기/NNG+주입/NNG
성공’은	성공/NNG+’/SS+은/JX
청와대	청와대/NNP
위한	위하/VV+ㄴ/ETM
거짓보고”	거짓/NNG+보고/NNG+”/SS


# id : NWRW1800000052.248.2.1
세월호 특조위 3차 청문회 둘째날

세월호	세월호/NNP
특조위	특조위/NNG
3차	3/SN+차/NNB
청문회	청문회/NNG
둘째날	둘째/NR+날/NNB


# id : NWRW1800000052.248.3.1
해경 TRS 녹취파일 분석결과 의혹 제기

해경	해경/NNG
TRS	TRS/SL
녹취파일	녹취/NNG+파일/NNG
분석결과	분석/NNG+결과/NNG
의혹	의혹/NNG
제기	제기/NNG


# id : NWRW1800000052.248.4.1
무인로봇 선체 진입성공도 거짓 가능성

무인로봇	무인/NNG+로봇/NNG
선체	선체/NNG
진입성공도	진입/NNG+성공/NNG+도/JX
거짓	거짓/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000052.248.5.1
세월호 참사 당시 해경이 청와대 보고를 위해 식당칸 ‘에어포켓’(뒤집힌 배 속에 남은 공기) 공기주입에 성공했다고 거짓말을 했다는 의혹이 제기됐다.

세월호	세월호/NNP
참사	참사/NNG
당시	당시/NNG
해경이	해경/NNG+이/JKS
청와대	청와대/NNP
보고를	보고/NNG+를/JKO
위해	위하/VV+아/EC
식당칸	식당/NNG+칸/NNG
‘에어포켓’(뒤집힌	‘/SS+에어포켓/NNG+’/SS+(/SS+뒤집히/VV+ㄴ/ETM
배	배/NNG
속에	속/NNG+에/JKB
남은	남/VV+은/ETM
공기)	공기/NNG+)/SS
공기주입에	공기/NNG+주입/NNG+에/JKB
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
거짓말을	거짓말/NNG+을/JKO
했다는	하/VV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.248.5.2
무인로봇이 선체 내부에 진입했다는 발표도 사실과 다른 것으로 드러났다.

무인로봇이	무인/NNG+로봇/NNG+이/JKS
선체	선체/NNG
내부에	내부/NNG+에/JKB
진입했다는	진입/NNG+하/XSV+았/EP+다는/ETM
발표도	발표/NNG+도/JX
사실과	사실/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.6.1
4·16세월호참사 특별조사위원회(특조위)는 2일 서울 마포구 연세대학교 김대중도서관에서 열린 3차 청문회 둘째날에 해경 주파수공용통신(TRS) 녹취파일을 통해 새롭게 확인한 내용을 공개했다.

4·16세월호참사	4/SN+·/SP+16/SN+세월호/NNP+참사/NNG
특별조사위원회(특조위)는	특별/NNG+조사/NNG+위원회/NNG+(/SS+특조위/NNG+)/SS+는/JX
2일	2/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
연세대학교	연세대학교/NNP
김대중도서관에서	김대중도서관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
3차	3/SN+차/NNB
청문회	청문회/NNG
둘째날에	둘째/NR+날/NNB+에/JKB
해경	해경/NNG
주파수공용통신(TRS)	주파수/NNG+공용/NNG+통신/NNG+(/SS+TRS/SL+)/SS
녹취파일을	녹취/NNG+파일/NNG+을/JKO
통해	통하/VV+아/EC
새롭게	새롭/VA+게/EC
확인한	확인/NNG+하/XSV+ㄴ/ETM
내용을	내용/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.6.2
