# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.111
metadata : {}


# id : NWRW1800000025.111.1.1
日 자동차업계 ‘10월 위기설’ 비상

日	日/SH
자동차업계	자동차업/NNG+계/XSN
‘10월	‘/SS+10/SN+월/NNB
위기설’	위기설/NNG+’/SS
비상	비상/NNG


# id : NWRW1800000025.111.2.1
일본 자동차업계에 ‘10월 위기설’이 확산되고 있다는 분석이 나왔다.

일본	일본/NNP
자동차업계에	자동차업/NNG+계/XSN+에/JKB
‘10월	‘/SS+10/SN+월/NNB
위기설’이	위기설/NNG+’/SS+이/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.111.3.1
KOTRA는 19일 ‘일본 자동차산업, 소리 없이 다가오는 10월 위기설’이라는 제목의 보고서에서 “일본 자동차업계가 9월 이후 판매 진작 방안에 고심 중”이라고 밝혔다.

KOTRA는	KOTRA/SL+는/JX
19일	19/SN+일/NNB
‘일본	‘/SS+일본/NNP
자동차산업,	자동차/NNG+산업/NNG+,/SP
소리	소리/NNG
없이	없이/MAG
다가오는	다가오/VV+는/ETM
10월	10/SN+월/NNB
위기설’이라는	위기설/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
보고서에서	보고서/NNG+에서/JKB
“일본	“/SS+일본/NNP
자동차업계가	자동차업/NNG+계/XSN+가/JKS
9월	9/SN+월/NNB
이후	이후/NNG
판매	판매/NNG
진작	진작/NNG
방안에	방안/NNG+에/JKB
고심	고심/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.111.4.1
이 보고서에 따르면 일본 내 신차 판매가 최근 회복세로 돌아서기는 했으나 아직 세계 금융위기 전인 2007년 수준으로 회복되지는 않은 가운데 올 9월로 정부의 신차구매 보조금 지원 제도가 끝나면 판매가 큰 폭으로 감소하리라는 우려가 확산되고 있다는 것.

이	이/MMD
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
일본	일본/NNP
내	내/NNB
신차	신차/NNG
판매가	판매/NNG+가/JKS
최근	최근/MAG
회복세로	회복세/NNG+로/JKB
돌아서기는	돌아서/VV+기/ETN+는/JX
했으나	하/VX+았/EP+으나/EC
아직	아직/MAG
세계	세계/NNG
금융위기	금융/NNG+위기/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
2007년	2007/SN+년/NNB
수준으로	수준/NNG+으로/JKB
회복되지는	회복/NNG+되/XSV+지/EC+는/JX
않은	않/VX+은/ETM
가운데	가운데/NNG
올	올/NNG
9월로	9/SN+월/NNB+로/JKB
정부의	정부/NNG+의/JKG
신차구매	신차/NNG+구매/NNG
보조금	보조금/NNG
지원	지원/NNG
제도가	제도/NNG+가/JKS
끝나면	끝나/VV+면/EC
큰	크/VA+ㄴ/ETM
폭으로	폭/NNG+으로/JKB
감소하리라는	감소/NNG+하/XSV+리라는/ETM
우려가	우려/NNG+가/JKS
확산되고	확산/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.111.4.2
차량을 교체하려 했던 소비자들이 지난해와 올해 보조금 지원제도를 활용해 차를 미리 구입한 만큼 올해 10월 이후로는 차량 판매 대수가 전년 동기보다 최고 30%까지 위축될 것이라는 분석이다.

차량을	차량/NNG+을/JKO
교체하려	교체/NNG+하/XSV+려/EC
했던	하/VX+았/EP+던/ETM
소비자들이	소비자/NNG+들/XSN+이/JKS
지난해와	지난해/NNG+와/JC
올해	올해/NNG
보조금	보조금/NNG
지원제도를	지원/NNG+제도/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
차를	차/NNG+를/JKO
미리	미리/MAG
구입한	구입/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
10월	10/SN+월/NNB
이후로는	이후/NNG+로/JKB+는/JX
차량	차량/NNG
판매	판매/NNG
대수가	대수/NNG+가/JKS
전년	전년/NNG
동기보다	동기/NNG+보다/JKB
최고	최고/NNG
30%까지	30/SN+%/SW+까지/JX
위축될	위축/NNG+되/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.111.5.1
보고서는 2009∼2010년 일본 정부의 신차구매 보조로 늘어난 일본 내수 판매량이 약 160만 대일 것으로 예상했다.

보고서는	보고서/NNG+는/JX
2009∼2010년	2009/SN+∼/SO+2010/SN+년/NNB
일본	일본/NNP
정부의	정부/NNG+의/JKG
신차구매	신차/NNG+구매/NNG
보조로	보조/NNG+로/JKB
늘어난	늘어나/VV+ㄴ/ETM
내수	내수/NNG
판매량이	판매량/NNG+이/JKS
약	약/MMA
160만	160/SN+만/NR
대일	대/NNB+이/VCP+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.111.6.1
