# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.196
metadata : {}


# id : NWRW1800000024.196.1.1
“봉하마을 생수제공, 선거법 저촉 아니다”

“봉하마을	“/SS+봉하마을/NNP
생수제공,	생수/NNG+제공/NNG+,/SP
선거법	선거법/NNG
저촉	저촉/NNG
아니다”	아니/VCN+다/EF+”/SS


# id : NWRW1800000024.196.2.1
경남 김해시선거관리위원회는 8일 “김해시가 지난해부터 플라스틱 병에 넣어 시민에게 무료로 공급하고 있는 수돗물 식수 ‘가야의 물’(350㎖)을 노무현 전 대통령 국민장 뒤 봉하마을 조문객들에게 계속 제공하고 봉하마을과 진영읍내를 오가는 임시버스를 운행하는 것은 가능하다고 통보했다”고 밝혔다.

경남	경남/NNP
김해시선거관리위원회는	김해시선거관리위원회/NNP+는/JX
8일	8/SN+일/NNB
“김해시가	“/SS+김해시/NNP+가/JKS
지난해부터	지난해/NNG+부터/JX
플라스틱	플라스틱/NNG
병에	병/NNG+에/JKB
넣어	넣/VV+어/EC
시민에게	시민/NNG+에게/JKB
무료로	무료/NNG+로/JKB
공급하고	공급/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
수돗물	수돗물/NNG
식수	식수/NNG
‘가야의	‘/SS+가야/NNP+의/JKG
물’(350㎖)을	물/NNG+’/SS+(/SS+350/SN+㎖/SW+)/SS+을/JKO
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
국민장	국민장/NNG
뒤	뒤/NNG
봉하마을	봉하마을/NNP
조문객들에게	조문객/NNG+들/XSN+에게/JKB
계속	계속/MAG
제공하고	제공/NNG+하/XSV+고/EC
봉하마을과	봉하마을/NNP+과/JC
진영읍내를	진영/NNP+읍내/NNG+를/JKO
오가는	오가/VV+는/ETM
임시버스를	임시/NNG+버스/NNG+를/JKO
운행하는	운행/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
가능하다고	가능/NNG+하/XSA+다고/EC
통보했다”고	통보/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.196.2.2
(<한겨레> 6월4일치 11면 참조)

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
6월4일치	6/SN+월/NNB+4/SN+일/NNB+치/NNB
11면	11/SN+면/NNG
참조)	참조/NNG+)/SS


# id : NWRW1800000024.196.3.1
앞서 김해시는 1일 김해시선관위에 ‘노 전 대통령의 국민장이 끝난 뒤에 봉하마을을 찾는 불특정 조문객들에게 자치단체 예산으로 식사와 빵, 우유, 생수, 셔틀버스 운행 등을 제공하는 것이 가능한가’를 물었다.

앞서	앞서/MAG
김해시는	김해시/NNP+는/JX
1일	1/SN+일/NNB
김해시선관위에	김해시선관위/NNP+에/JKB
‘노	‘/SS+노/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
국민장이	국민장/NNG+이/JKS
끝난	끝나/VV+ㄴ/ETM
뒤에	뒤/NNG+에/JKB
봉하마을을	봉하마을/NNP+을/JKO
찾는	찾/VV+는/ETM
불특정	불/XPN+특정/NNG
조문객들에게	조문객/NNG+들/XSN+에게/JKB
자치단체	자치/NNG+단체/NNG
예산으로	예산/NNG+으로/JKB
식사와	식사/NNG+와/JC
빵,	빵/NNG+,/SP
우유,	우유/NNG+,/SP
생수,	생수/NNG+,/SP
셔틀버스	셔틀버스/NNG
운행	운행/NNG
등을	등/NNB+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
가능한가’를	가능/NNG+하/XSA+ㄴ가/EF+’/SS+를/JKO
물었다.	묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.196.3.2
김해선관위는 답변서에서 “환경부가 법령에 근거해 시달한 ‘2009년도 먹는물 수질관리지침’에 따라 자치단체가 조문객들에게 수돗물을 플라스틱 병에 담아 제공하는 것과 임시버스를 운행하는 것은 공직선거법에 저촉되지 않는다”고 밝혔다.

김해선관위는	김해선관위/NNP+는/JX
답변서에서	답변서/NNG+에서/JKB
“환경부가	“/SS+환경부/NNG+가/JKS
법령에	법령/NNG+에/JKB
근거해	근거/NNG+하/XSV+아/EC
시달한	시달/NNG+하/XSV+ㄴ/ETM
‘2009년도	‘/SS+2009/SN+년도/NNB
먹는물	먹/VV+는/ETM+물/NNG
수질관리지침’에	수질/NNG+관리/NNG+지침/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
자치단체가	자치/NNG+단체/NNG+가/JKS
조문객들에게	조문객/NNG+들/XSN+에게/JKB
수돗물을	수돗물/NNG+을/JKO
플라스틱	플라스틱/NNG
병에	병/NNG+에/JKB
담아	담/VV+아/EC
제공하는	제공/NNG+하/XSV+는/ETM
것과	것/NNB+과/JC
임시버스를	임시/NNG+버스/NNG+를/JKO
운행하는	운행/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
공직선거법에	공직/NNG+선거법/NNG+에/JKB
저촉되지	저촉/NNG+되/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.196.4.1
하지만 “중앙행정기관의 지침이 내려오거나 자치단체의 조례에 대상과 방법 및 범위 등을 구체적으로 정하지 않았다면 조문객들에게 식사와 빵, 우유를 제공하는 것은 선거법에 위반된다”고 덧붙였다.

하지만	하지만/MAJ
“중앙행정기관의	“/SS+중앙/NNG+행정/NNG+기관/NNG+의/JKG
지침이	지침/NNG+이/JKS
내려오거나	내려오/VV+거나/EC
자치단체의	자치/NNG+단체/NNG+의/JKG
조례에	조례/NNG+에/JKB
대상과	대상/NNG+과/JC
방법	방법/NNG
및	및/MAG
범위	범위/NNG
등을	등/NNB+을/JKO
구체적으로	구체/NNG+적/XSN+으로/JKB
정하지	정하/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
조문객들에게	조문객/NNG+들/XSN+에게/JKB
식사와	식사/NNG+와/JC
빵,	빵/NNG+,/SP
우유를	우유/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
선거법에	선거법/NNG+에/JKB
위반된다”고	위반/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.196.5.1
김해시 김선도 총무국장은 “식수와 정기버스가 부족해 민원이 발생하면 가야의 물 제공과 함께 셔틀버스 운행도 검토하겠지만 아직은 그런 시기가 아니라고 생각한다”고 말했다.

김해시	김해시/NNP
김선도	김선도/NNP
총무국장은	총무국장/NNG+은/JX
“식수와	“/SS+식수/NNG+와/JC
정기버스가	정기/NNG+버스/NNG+가/JKS
부족해	부족/NNG+하/XSA+아/EC
민원이	민원/NNG+이/JKS
발생하면	발생/NNG+하/XSV+면/EC
가야의	가야/NNP+의/JKG
물	물/NNG
제공과	제공/NNG+과/JKB
함께	함께/MAG
셔틀버스	셔틀버스/NNG
운행도	운행/NNG+도/JX
검토하겠지만	검토/NNG+하/XSV+겠/EP+지만/EC
아직은	아직/MAG+은/JX
그런	그런/MMD
시기가	시기/NNG+가/JKC
아니라고	아니/VCN+라고/EC
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


