# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.191
metadata : {}


# id : NWRW1800000045.191.1.1
[휴지통]짧은 치마女 훈계하다 허벅지 터치하면 성추행일까

[휴지통]짧은	[/SS+휴지통/NNG+]/SS+짧/VA+은/ETM
치마女	치마/NNG+女/SH
훈계하다	훈계/NNG+하/XSV+다/EC
허벅지	허벅지/NNG
터치하면	터치/NNG+하/XSV+면/EC
성추행일까	성추행/NNG+이/VCP+ㄹ까/EF


# id : NWRW1800000045.191.2.1
60대男, 지하철서 “꼰 다리 내려라” 항소심 “추행 아니다”… 1심 깨고 무죄

60대男,	60/SN+대/NNB+男/SH+,/SP
지하철서	지하철/NNG+서/JKB
“꼰	“/SS+꼬/VV+ㄴ/ETM
다리	다리/NNG
내려라”	내리/VV+어라/EF+”/SS
항소심	항소심/NNG
“추행	“/SS+추행/NNG
아니다”…	아니/VCN+다/EF+”/SS+…/SE
1심	1심/NNG
깨고	깨/VV+고/EC
무죄	무죄/NNG


# id : NWRW1800000045.191.3.1
지난해 2월 15일 오후 9시 20분경 대구도시철도 2호선 전동차.

지난해	지난해/NNG
2월	2/SN+월/NNB
15일	15/SN+일/NNB
오후	오후/NNG
9시	9/SN+시/NNB
20분경	20/SN+분/NNB+경/XSN
대구도시철도	대구도시철도/NNP
2호선	2/SN+호선/NNB
전동차.	전동차/NNG+./SF


# id : NWRW1800000045.191.3.2
최모 씨(62)는 아까 탄 뒤 맞은편 좌석에 앉은 A 씨(23·여)가 마뜩지 않았다.

최모	최/NNP+모/NP
씨(62)는	씨/NNB+(/SS+62/SN+)/SS+는/JX
아까	아까/MAG
탄	타/VV+ㄴ/ETM
뒤	뒤/NNG
맞은편	맞은편/NNG
좌석에	좌석/NNG+에/JKB
앉은	앉/VV+은/ETM
A	A/SL
씨(23·여)가	씨/NNB+(/SS+23/SN+·/SP+여/NNG+)/SS+가/JKS
마뜩지	마뜩하/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.191.3.3
너무 짧은 치마를 입고 다리를 꼬면서 아랫도리 맨살 상당 부분과 속옷까지 보였기 때문이다.

너무	너무/MAG
짧은	짧/VA+은/ETM
치마를	치마/NNG+를/JKO
입고	입/VV+고/EC
다리를	다리/NNG+를/JKO
꼬면서	꼬/VV+면서/EC
아랫도리	아랫도리/NNG
맨살	맨/XPN+살/NNG
상당	상당/NNG
부분과	부분/NNG+과/JC
속옷까지	속옷/NNG+까지/JX
보였기	보이/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.191.3.4
A 씨를 힐끗거리며 쳐다보는 주변 시선과 수군거림도 느껴졌다.

A	A/SL
씨를	씨/NNB+를/JKO
힐끗거리며	힐끗거리/VV+며/EC
