# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.171
metadata : {}


# id : NWRW1800000028.171.1.1
“북에 약 지원까진 막지 말아야”

“북에	“/SS+북/NNP+에/JKB
약	약/NNG
지원까진	지원/NNG+까지/JX+ㄴ/JX
막지	막/VV+지/EC
말아야”	말/VX+아야/EC+”/SS


# id : NWRW1800000028.171.2.1
“전쟁 중에도 인도적 지원은 한다.

“전쟁	“/SS+전쟁/NNG
중에도	중/NNB+에/JKB+도/JX
인도적	인도/NNG+적/XSN
지원은	지원/NNG+은/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.171.2.2
환자들이 먹는 약까지 끊지는 말아야 한다.”

환자들이	환자/NNG+들/XSN+이/JKS
먹는	먹/VV+는/ETM
약까지	약/NNG+까지/JX
끊지는	끊/VV+지/EC+는/JX
말아야	말/VX+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000028.171.3.1
스티브 린튼(한국명 인세반) 유진벨재단 회장은 28일 서울 마포구 서교동 재단 사무실에서 열린 방북 결과 설명회를 겸한 기자간담회에서 한국 정부가 재단의 북쪽 ‘다제내성 결핵환자’ 치료 지원 사업에 대해서도 차단조처를 내리는 일은 없기를 바란다며 이렇게 강조했다.

스티브	스티브/NNP
린튼(한국명	린튼/NNP+(/SS+한국명/NNG
인세반)	인세반/NNP+)/SS
유진벨재단	유진벨재단/NNP
회장은	회장/NNG+은/JX
28일	28/SN+일/NNB
서울	서울/NNP
마포구	마포구/NNP
서교동	서교동/NNP
재단	재단/NNG
사무실에서	사무실/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
방북	방북/NNG
결과	결과/NNG
설명회를	설명회/NNG+를/JKO
겸한	겸/NNB+하/XSV+ㄴ/ETM
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
한국	한국/NNP
정부가	정부/NNG+가/JKS
재단의	재단/NNG+의/JKG
북쪽	북쪽/NNG
‘다제내성	‘/SS+다제/NNG+내성/NNG
결핵환자’	결핵/NNG+환자/NNG+’/SS
치료	치료/NNG
지원	지원/NNG
사업에	사업/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
차단조처를	차단/NNG+조처/NNG+를/JKO
내리는	내리/VV+는/ETM
일은	일/NNG+은/JX
없기를	없/VA+기/ETN+를/JKO
바란다며	바라/VV+ㄴ다며/EC
이렇게	이렇/VA+게/EC
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.171.3.2
‘다제내성 결핵환자’란 1차 결핵치료제 4가지 가운데 2종 이상에 내성이 생긴 결핵환자를 뜻한다.

‘다제내성	‘/SS+다제/NNG+내성/NNG
결핵환자’란	결핵/NNG+환자/NNG+’/SS+이란/JX
1차	1/SN+차/NNB
결핵치료제	결핵/NNG+치료제/NNG
4가지	4/SN+가지/NNB
가운데	가운데/NNG
2종	2/SN+종/NNG
이상에	이상/NNG+에/JKB
내성이	내성/NNG+이/JKS
생긴	생기/VV+ㄴ/ETM
결핵환자를	결핵/NNG+환자/NNG+를/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.171.4.1
