# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.331
metadata : {}


# id : NWRW1800000022.331.1.1
[대한민국 제1호] '소년척후대', 스카우트의 원조

[대한민국	[/SS+대한민국/NNP
제1호]	제/XPN+1/SN+호/NNB+]/SS
'소년척후대',	'/SS+소년척후대/NNP+'/SS+,/SP
스카우트의	스카우트/NNG+의/JKG
원조	원조/NNG


# id : NWRW1800000022.331.2.1
군인 같은 생활을 하는 것 같지만 결코 그렇지 않습니다.

군인	군인/NNG
같은	같/VA+은/ETM
생활을	생활/NNG+을/JKO
하는	하/VV+는/ETM
것	것/NNB
같지만	같/VA+지만/EC
결코	결코/MAG
그렇지	그렇/VA+지/EC
않습니다.	않/VX+습니다/EF+./SF


# id : NWRW1800000022.331.2.2
어린아이나 부인이 위험한 일을 당해 자기 힘으로는 도저히 할 수 없는 경우를 볼 때 속히 가서 그것을 구제하고 그 밖에도 무슨 일이든 사회의 유익한 일이면 하도록 주선해 주는 것입니다.

어린아이나	어린아이/NNG+나/JC
부인이	부인/NNG+이/JKS
위험한	위험/NNG+하/XSA+ㄴ/ETM
일을	일/NNG+을/JKO
당해	당하/VV+아/EC
자기	자기/NP
힘으로는	힘/NNG+으로/JKB+는/JX
도저히	도저히/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
경우를	경우/NNG+를/JKO
볼	보/VV+ㄹ/ETM
때	때/NNG
속히	속히/MAG
가서	가/VV+아서/EC
그것을	그것/NP+을/JKO
구제하고	구제/NNG+하/XSV+고/EC
그	그/MMD
밖에도	밖/NNG+에/JKB+도/JX
무슨	무슨/MMD
일이든	일/NNG+이든/JX
사회의	사회/NNG+의/JKG
유익한	유익/NNG+하/XSA+ㄴ/ETM
일이면	일/NNG+이/VCP+면/EC
하도록	하/VV+도록/EC
주선해	주선/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
것입니다.	것/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000022.331.3.1
이만큼 '보이스카우트'를 쉽게 설명한 글이 또 있을까?

이만큼	이만큼/MAG
'보이스카우트'를	'/SS+보이스카우트/NNG+'/SS+를/JKO
쉽게	쉽/VA+게/EC
설명한	설명/NNG+하/XSV+ㄴ/ETM
글이	글/NNG+이/JKS
또	또/MAG
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000022.331.3.2
일제시대 YMCA 소년부 간사를 맡고 있던 정성채(鄭聖采·1899~?) 선생이 1923년 1월 5일자 조선일보기사에서 말한 내용이다.

일제시대	일제시대/NNG
YMCA	YMCA/SL
소년부	소년부/NNG
간사를	간사/NNG+를/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
정성채(鄭聖采·1899~?)	정성채/NNP+(/SS+鄭聖采/SH+·/SP+1899/SN+~/SO+?/SF+)/SS
선생이	선생/NNG+이/JKS
1923년	1923/SN+년/NNB
1월	1/SN+월/NNB
5일자	5/SN+일/NNB+자/NNG
조선일보기사에서	조선일보/NNP+기사/NNG+에서/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.331.4.1
정 선생은 일제시대 청소년 운동가다.

정	정/NNP
선생은	선생/NNG+은/JX
일제시대	일제시대/NNG
청소년	청소년/NNG
운동가다.	운동가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.331.4.2
1899년 4월 서울 종로구 권농동에서 기독교 장로의 아들로 태어나 경신학교에 다녔다.

1899년	1899/SN+년/NNB
4월	4/SN+월/NNB
서울	서울/NNP
종로구	종로구/NNP
권농동에서	권농동/NNP+에서/JKB
기독교	기독교/NNG
장로의	장로/NNG+의/JKG
아들로	아들/NNG+로/JKB
태어나	태어나/VV+아/EC
경신학교에	경신학교/NNP+에/JKB
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.331.4.3
야구를 좋아하고 하모니카와 바이올린을 연주하곤 했다.

야구를	야구/NNG+를/JKO
좋아하고	좋아하/VV+고/EC
하모니카와	하모니카/NNG+와/JC
바이올린을	바이올린/NNG+을/JKO
연주하곤	연주/NNG+하/XSV+곤/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.331.4.4
그는 연희전문학교 재학 중 3·1운동에 참가한 게 문제가 되어 학교를 그만뒀다.

그는	그/NP+는/JX
연희전문학교	연희전문학교/NNP
재학	재학/NNG
중	중/NNB
3·1운동에	3/SN+·/SP+1/SN+운동/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
문제가	문제/NNG+가/JKC
되어	되/VV+어/EC
학교를	학교/NNG+를/JKO
그만뒀다.	그만두/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.331.5.1
해외의 보이스카우트 운동에 큰 관심을 갖고 있던 정 선생은 1921년 YMCA 소년부 간사로 발령받은 뒤 본격적으로 창설 준비에 나서 이듬해인 1922년 청소년 17명을 이끌고 한국 최초의 스카우트인 '소년척후대'를 창설했다.

해외의	해외/NNG+의/JKG
보이스카우트	보이스카우트/NNG
운동에	운동/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
갖고	갖/VV+고/EC
있던	있/VX+던/ETM
정	정/NNP
선생은	선생/NNG+은/JX
1921년	1921/SN+년/NNB
YMCA	YMCA/SL
소년부	소년부/NNG
간사로	간사/NNG+로/JKB
발령받은	발령/NNG+받/XSV+은/ETM
뒤	뒤/NNG
본격적으로	본격/NNG+적/XSN+으로/JKB
창설	창설/NNG
준비에	준비/NNG+에/JKB
나서	나서/VV+어/EC
이듬해인	이듬해/NNG+이/VCP+ㄴ/ETM
1922년	1922/SN+년/NNB
청소년	청소년/NNG
17명을	17/SN+명/NNB+을/JKO
이끌고	이끌/VV+고/EC
한국	한국/NNP
최초의	최초/NNG+의/JKG
스카우트인	스카우트/NNG+이/VCP+ㄴ/ETM
'소년척후대'를	'/SS+소년척후대/NNP+'/SS+를/JKO
창설했다.	창설/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.331.6.1
같은 해 10월 중앙고등보통학교에서 교편을 잡고 있던 조철호(1890~1941)선생도 학생 8명으로 '조선소년군'을 만들었다.

같은	같/VA+은/ETM
해	해/NNG
10월	10/SN+월/NNB
중앙고등보통학교에서	중앙고등보통학교/NNP+에서/JKB
교편을	교편/NNG+을/JKO
잡고	잡/VV+고/EC
있던	있/VX+던/ETM
조철호(1890~1941)선생도	조철호/NNP+(/SS+1890/SN+~/SO+1941/SN+)/SS+선생/NNG+도/JX
학생	학생/NNG
8명으로	8/SN+명/NNB+으로/JKB
'조선소년군'을	'/SS+조선소년군/NNP+'/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.331.7.1
1924년 3월 두 단체가 힘을 합쳐 '소년척후단 조선총연맹'이 출범했다.

1924년	1924/SN+년/NNB
3월	3/SN+월/NNB
두	두/MMN
단체가	단체/NNG+가/JKS
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
'소년척후단	'/SS+소년척후단/NNP
조선총연맹'이	조선/NNP+총연맹/NNG+'/SS+이/JKS
출범했다.	출범/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.331.7.2
월남 이상재(李商在) 선생이 초대 총재를 맡았다.

월남	월남/NNP
이상재(李商在)	이상재/NNP+(/SS+李商在/SH+)/SS
선생이	선생/NNG+이/JKS
초대	초대/NNG
총재를	총재/NNG+를/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.331.7.3
그러나 단체 운영을 둘러싸고 두 지도자 사이에 노선 차이가 생겨 1년여 만에 원래대로 갈라섰다.

그러나	그러나/MAJ
단체	단체/NNG
운영을	운영/NNG+을/JKO
둘러싸고	둘러싸/VV+고/EC
두	두/MMN
지도자	지도자/NNG
사이에	사이/NNG+에/JKB
노선	노선/NNG
차이가	차이/NNG+가/JKS
생겨	생기/VV+어/EC
1년여	1/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
원래대로	원래/NNG+대로/JX
갈라섰다.	갈라서/VV+었/EP+다/EF+./SF


