# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.45
metadata : {}


# id : NWRW1800000026.45.1.1
[호남] 여수성심병원 '이웃돕기'

[호남]	[/SS+호남/NNP+]/SS
여수성심병원	여수성심병원/NNP
'이웃돕기'	'/SS+이웃/NNG+돕/VV+기/ETN+'/SS


# id : NWRW1800000026.45.2.1
여수 성심병원은 지난 5일 병원 임직원과 박순용 이사장이 마련한 5000만원을 어려운 이웃에게 전달했다.

여수	여수/NNP
성심병원은	성심병원/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
병원	병원/NNG
임직원과	임직원/NNG+과/JC
박순용	박순용/NNP
이사장이	이사장/NNG+이/JKS
마련한	마련/NNG+하/XSV+ㄴ/ETM
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
어려운	어렵/VA+ㄴ/ETM
이웃에게	이웃/NNG+에게/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.45.2.2
병원은 1억1000만원어치의 무료진료권(1년)과 각종 생활용품도 함께 전달했다.

병원은	병원/NNG+은/JX
1억1000만원어치의	1/SN+억/NR+1000/SN+만/NR+원/NNB+어치/XSN+의/JKG
무료진료권(1년)과	무료/NNG+진료/NNG+권/XSN+(/SS+1/SN+년/NNB+)/SS+과/JC
각종	각종/NNG
생활용품도	생활용품/NNG+도/JX
함께	함께/MAG
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.45.2.3
전달식을 위해 어려운 이웃 100여명과 사회복지시설 20곳 관계자 등을 병원으로 초청했다.

전달식을	전달식/NNG+을/JKO
위해	위하/VV+아/EC
어려운	어렵/VA+ㄴ/ETM
이웃	이웃/NNG
100여명과	100/SN+여/XSN+명/NNB+과/JC
사회복지시설	사회/NNG+복지/NNG+시설/NNG
20곳	20/SN+곳/NNG
관계자	관계자/NNG
등을	등/NNB+을/JKO
병원으로	병원/NNG+으로/JKB
초청했다.	초청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.45.3.1
성심병원은 1996년부터 매년 이웃돕기 행사를 진행하고 있다.

성심병원은	성심병원/NNP+은/JX
1996년부터	1996/SN+년/NNB+부터/JX
매년	매년/MAG
이웃돕기	이웃/NNG+돕/VV+기/ETN
행사를	행사/NNG+를/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.45.3.2
장영호 병원장은 "14년간 누적 이웃돕기 성금은 15억원에 달한다"며 "앞으로도 지역민과 함께하는 의료기관으로 남겠다"고 말했다.

장영호	장영호/NNP
병원장은	병원장/NNG+은/JX
"14년간	"/SS+14/SN+년/NNB+간/XSN
누적	누적/NNG
이웃돕기	이웃/NNG+돕/VV+기/ETN
성금은	성금/NNG+은/JX
15억원에	15/SN+억/NR+원/NNB+에/JKB
달한다"며	달하/VV+ㄴ다/EF+"/SS+며/EC
"앞으로도	"/SS+앞/NNG+으로/JKB+도/JX
지역민과	지역민/NNG+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
의료기관으로	의료/NNG+기관/NNG+으로/JKB
남겠다"고	남/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


