# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.136
metadata : {}


# id : NWRW1800000025.136.1.1
[World cup D-27]‘동 - 승 - 기’ 누가 남아공行 동승할까

[World	[/SS+World/SL
cup	cup/SL
D-27]‘동	D/SL+-/SO+27/SN+]/SS+‘/SS+동/NA
-	-/SO
승	승/NA
기’	기/NA+’/SS
누가	누구/NP+가/JKS
남아공行	남아공/NNP+行/SH
동승할까	동승/NNG+하/XSV+ㄹ까/EF


# id : NWRW1800000025.136.2.1
《“유종의 미를 거두고 가겠다.

《“유종의	《/SS+“/SS+유종/NNG+의/JKG
미를	미/NNG+를/JKO
거두고	거두/VV+고/EC
가겠다.	가/VV+겠/EP+다/EF+./SF


# id : NWRW1800000025.136.2.2
그러나 승리보다 중요한 게 옥석 가리기다.”

그러나	그러나/MAJ
승리보다	승리/NNG+보다/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
옥석	옥석/NNG
가리기다.”	가리/VV+기/ETN+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000025.136.2.3
허정무 축구대표팀 감독은 요즘 하루 24시간이 부족하다.

허정무	허정무/NNP
축구대표팀	축구/NNG+대표/NNG+팀/NNG
감독은	감독/NNG+은/JX
요즘	요즘/NNG
하루	하루/NNG
24시간이	24/SN+시간/NNB+이/JKS
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.136.2.4
머릿속은 온통 27일 남은 남아프리카공화국 월드컵을 위한 최상의 전력 꾸리기에 초점이 맞춰져 있다.

머릿속은	머릿속/NNG+은/JX
온통	온통/MAG
27일	27/SN+일/NNB
남은	남/VV+은/ETM
남아프리카공화국	남아프리카공화국/NNP
월드컵을	월드컵/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
최상의	최상/NNG+의/JKG
전력	전력/NNG
꾸리기에	꾸리/VV+기/ETN+에/JKB
초점이	초점/NNG+이/JKS
맞춰져	맞추/VV+어/EC+지/VX+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.136.2.5
한국(세계랭킹 47위)은 16일 오후 7시 서울월드컵경기장에서 남미의 강호 에콰도르(36위)와 평가전을 치른다.

한국(세계랭킹	한국/NNP+(/SS+세계/NNG+랭킹/NNG
47위)은	47/SN+위/NNB+)/SS+은/JX
16일	16/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
서울월드컵경기장에서	서울월드컵경기장/NNP+에서/JKB
남미의	남미/NNP+의/JKG
강호	강호/NNG
에콰도르(36위)와	에콰도르/NNP+(/SS+36/SN+위/NNB+)/SS+와/JKB
평가전을	평가전/NNG+을/JKO
치른다.	치르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.136.2.6
국내에서 치르는 마지막 테스트인 이 경기를 끝으로 대표팀은 일본-오스트리아-남아공으로 이어지는 긴 원정길에 나선다.》

국내에서	국내/NNG+에서/JKB
치르는	치르/VV+는/ETM
마지막	마지막/NNG
테스트인	테스트/NNG+이/VCP+ㄴ/ETM
이	이/MMD
경기를	경기/NNG+를/JKO
끝으로	끝/NNG+으로/JKB
대표팀은	대표/NNG+팀/NNG+은/JX
일본-오스트리아-남아공으로	일본/NNP+-/SO+오스트리아/NNP+-/SO+남아공/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
긴	길/VA+ㄴ/ETM
원정길에	원정길/NNG+에/JKB
