# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.329
metadata : {}


# id : NWRW1800000029.329.1.1
[기자의 눈/이경희]사립은 “속죄” 국립은 “항의”… 보직교수 줄사퇴 엇갈린 속내

[기자의	[/SS+기자/NNG+의/JKG
눈/이경희]사립은	눈/NNG+//SP+이경희/NNP+]/SS+사립/NNG+은/JX
“속죄”	“/SS+속죄/NNG+”/SS
국립은	국립/NNG+은/JX
“항의”…	“/SS+항의/NNG+”/SS+…/SE
보직교수	보직/NNG+교수/NNG
줄사퇴	줄사퇴/NNG
엇갈린	엇갈리/VV+ㄴ/ETM
속내	속내/NNG


# id : NWRW1800000029.329.2.1
교육과학기술부가 재정지원제한 사립대와 구조개혁 대상 국립대를 발표한 뒤 해당 학교의 총장 및 보직교수들의 사퇴가 잇따르고 있다.

교육과학기술부가	교육/NNG+과학/NNG+기술부/NNG+가/JKS
재정지원제한	재정/NNG+지원/NNG+제한/NNG
사립대와	사립대/NNG+와/JC
구조개혁	구조/NNG+개혁/NNG
대상	대상/NNG
국립대를	국립대/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
해당	해당/NNG
학교의	학교/NNG+의/JKG
총장	총장/NNG
및	및/MAG
보직교수들의	보직/NNG+교수/NNG+들/XSN+의/JKG
사퇴가	사퇴/NNG+가/JKS
잇따르고	잇따르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.329.3.1
지난달 재정지원제한 대학으로 선정된 경남 창원의 경남대는 7일 긴급 교수회의를 열고 대학본부 보직교수 전원 사퇴를 결정했다.

지난달	지난달/NNG
재정지원제한	재정/NNG+지원/NNG+제한/NNG
대학으로	대학/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
경남	경남/NNP
창원의	창원/NNP+의/JKG
경남대는	경남대/NNP+는/JX
7일	7/SN+일/NNB
긴급	긴급/NNG
교수회의를	교수/NNG+회의/NNG+를/JKO
열고	열/VV+고/EC
대학본부	대학/NNG+본부/NNG
보직교수	보직/NNG+교수/NNG
전원	전원/NNG
사퇴를	사퇴/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.329.3.2
교수회의는 “학교의 명예를 지키지 못한 데 대해 책임지는 차원에서 내린 결단”이라고 밝혔다.

교수회의는	교수/NNG+회의/NNG+는/JX
“학교의	“/SS+학교/NNG+의/JKG
명예를	명예/NNG+를/JKO
지키지	지키/VV+지/EC
못한	못하/VX+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
책임지는	책임지/VV+는/ETM
차원에서	차원/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
결단”이라고	결단/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.329.4.1
이에 앞서 서울의 상명대는 재정지원제한 대학 발표 다음 날인 지난달 8일 총장 이하 보직교수 전원이 사퇴했다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
서울의	서울/NNP+의/JKG
상명대는	상명대/NNP+는/JX
재정지원제한	재정/NNG+지원/NNG+제한/NNG
대학	대학/NNG
발표	발표/NNG
다음	다음/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
지난달	지난달/NNG
8일	8/SN+일/NNB
총장	총장/NNG
이하	이하/NNG
보직교수	보직/NNG+교수/NNG
전원이	전원/NNG+이/JKS
사퇴했다.	사퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.329.4.2
6일에는 국립대 가운데 구조개혁 중점추진 대학으로 선정된 강원대 보직교수 19명이 전원 사퇴한다고 밝혔다.

6일에는	6/SN+일/NNB+에/JKB+는/JX
국립대	국립대/NNG
가운데	가운데/NNG
구조개혁	구조/NNG+개혁/NNG
중점추진	중점/NNG+추진/NNG
대학으로	대학/NNG+으로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
강원대	강원대/NNP
보직교수	보직/NNG+교수/NNG
19명이	19/SN+명/NNB+이/JKS
전원	전원/NNG
사퇴한다고	사퇴/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.329.4.3
충북대 보직교수들도 지난달 일괄 사표를 제출했다.

충북대	충북대/NNP
보직교수들도	보직/NNG+교수/NNG+들/XSN+도/JX
지난달	지난달/NNG
일괄	일괄/NNG
사표를	사표/NNG+를/JKO
제출했다.	제출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.329.4.4
교과부의 ‘구조개혁’ 후폭풍이 대단하기는 한가 보다.

교과부의	교과부/NNG+의/JKG
‘구조개혁’	‘/SS+구조/NNG+개혁/NNG+’/SS
후폭풍이	후폭풍/NNG+이/JKS
대단하기는	대단하/VA+기/ETN+는/JX
한가	하/VX+ㄴ가/EF
보다.	보/VX+다/EF+./SF


# id : NWRW1800000029.329.5.1
그러나 대학마다 속내가 사뭇 다르다.

그러나	그러나/MAJ
대학마다	대학/NNG+마다/JX
속내가	속내/NNG+가/JKS
사뭇	사뭇/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000029.329.5.2
