# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.120
metadata : {}


# id : NWRW1800000049.120.1.1
[신나는 공부]학생부종합전형 합격자들의 생생한 ‘셀프 분석’

[신나는	[/SS+신나/VV+는/ETM
공부]학생부종합전형	공부/NNG+]/SS+학생부/NNG+종합/NNG+전형/NNG
합격자들의	합격자/NNG+들/XSN+의/JKG
생생한	생생하/VA+ㄴ/ETM
‘셀프	‘/SS+셀프/NNG
분석’	분석/NNG+’/SS


# id : NWRW1800000049.120.2.1
‘학생부종합전형 합격 REAL 사례 20’ 인기 판매 중

‘학생부종합전형	‘/SS+학생부/NNG+종합/NNG+전형/NNG
합격	합격/NNG
REAL	REAL/SL
사례	사례/NNG
20’	20/SN+’/SS
인기	인기/NNG
판매	판매/NNG
중	중/NNB


# id : NWRW1800000049.120.3.1
“사회학적 관점을 바탕으로 사람과 법을 이해하는 판사가 되고 싶습니다.”

“사회학적	“/SS+사회학/NNG+적/XSN
관점을	관점/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
사람과	사람/NNG+과/JC
법을	법/NNG+을/JKO
이해하는	이해/NNG+하/XSV+는/ETM
판사가	판사/NNG+가/JKC
되고	되/VV+고/EC
싶습니다.”	싶/VX+습니다/EF+./SF+”/SS


# id : NWRW1800000049.120.4.1
2016학년도 입시에서 고려대 학생부종합전형인 ‘학교장추천전형’으로 사회학과에 합격한 A 씨는 지원동기를 묻는 자기소개서 항목에 대해 이렇게 답했다.

2016학년도	2016/SN+학년도/NNG
입시에서	입시/NNG+에서/JKB
고려대	고려대/NNP
학생부종합전형인	학생부/NNG+종합/NNG+전형/NNG+이/VCP+ㄴ/ETM
‘학교장추천전형’으로	‘/SS+학교장/NNG+추천/NNG+전형/NNG+’/SS+으로/JKB
사회학과에	사회학과/NNG+에/JKB
합격한	합격/NNG+하/XSV+ㄴ/ETM
A	A/SL
씨는	씨/NNB+는/JX
지원동기를	지원/NNG+동기/NNG+를/JKO
묻는	묻/VV+는/ETM
자기소개서	자기소개서/NNG
항목에	항목/NNG+에/JKB
대해	대하/VV+아/EC
이렇게	이렇/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.120.5.1
고교 시절부터 판사를 꿈꿔온 A 씨는 고1 때 로스쿨 견학을 다녀오고, 가정법원의 청소년 참여재판에도 하는 등 법조인을 이해하기 위한 진로탐색 활동을 꾸준히 해왔다.

고교	고교/NNG
시절부터	시절/NNG+부터/JX
판사를	판사/NNG+를/JKO
꿈꿔온	꿈꾸/VV+어/EC+오/VX+ㄴ/ETM
A	A/SL
씨는	씨/NNB+는/JX
고1	고/NNG+1/SN
때	때/NNG
로스쿨	로스쿨/NNG
견학을	견학/NNG+을/JKO
다녀오고,	다녀오/VV+고/EC+,/SP
가정법원의	가정/NNG+법원/NNG+의/JKG
청소년	청소년/NNG
참여재판에도	참여/NNG+재판/NNG+에/JKB+도/JX
하는	하/VV+는/ETM
등	등/NNB
법조인을	법조인/NNG+을/JKO
이해하기	이해/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
진로탐색	진로/NNG+탐색/NNG
활동을	활동/NNG+을/JKO
꾸준히	꾸준히/MAG
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.120.5.2
그런데 법학이 아닌 ‘사회학’을 택해 대학 진학에 성공했다.

그런데	그런데/MAJ
법학이	법학/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘사회학’을	‘/SS+사회학/NNG+’/SS+을/JKO
택해	택하/VV+아/EC
대학	대학/NNG
진학에	진학/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.120.5.3
