# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.386
metadata : {}


# id : NWRW1800000041.386.1.1
[수도권]전세계 항공물류 거물들 서울에 온다

[수도권]전세계	[/SS+수도/NNG+권/XSN+]/SS+전/MMN+세계/NNG
항공물류	항공/NNG+물류/NNG
거물들	거물/NNG+들/XSN
서울에	서울/NNP+에/JKB
온다	오/VV+ㄴ다/EF


# id : NWRW1800000041.386.2.1
국제항공화물협회 포럼-전시회… 7일부터 사흘간 코엑스에서 열려

국제항공화물협회	국제항공화물협회/NNP
포럼-전시회…	포럼/NNG+-/SO+전시회/NNG+…/SE
7일부터	7/SN+일/NNB+부터/JX
사흘간	사흘/NNG+간/XSN
코엑스에서	코엑스/NNP+에서/JKB
열려	열리/VV+어/EF


# id : NWRW1800000041.386.3.1
세계 각국의 항공물류업계 관계자들이 참가하는 최대 규모의 국제행사가 서울에서 처음으로 마련된다.

세계	세계/NNG
각국의	각국/NNG+의/JKG
항공물류업계	항공/NNG+물류업/NNG+계/XSN
관계자들이	관계자/NNG+들/XSN+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
최대	최대/NNG
규모의	규모/NNG+의/JKG
국제행사가	국제/NNG+행사/NNG+가/JKS
서울에서	서울/NNP+에서/JKB
처음으로	처음/NNG+으로/JKB
마련된다.	마련/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.386.4.1
인천국제공항공사는 7∼9일 서울 코엑스에서 국제항공화물협회(TIACA)가 주관하는 ‘제27회 항공화물 포럼 및 전시회’를 연다고 1일 밝혔다.

인천국제공항공사는	인천국제공항공사/NNP+는/JX
7∼9일	7/SN+∼/SO+9/SN+일/NNB
서울	서울/NNP
코엑스에서	코엑스/NNP+에서/JKB
국제항공화물협회(TIACA)가	국제항공화물협회/NNP+(/SS+TIACA/SL+)/SS+가/JKS
주관하는	주관/NNG+하/XSV+는/ETM
‘제27회	‘/SS+제/XPN+27/SN+회/NNB
항공화물	항공/NNG+화물/NNG
포럼	포럼/NNG
및	및/MAG
전시회’를	전시회/NNG+’/SS+를/JKO
연다고	열/VV+ㄴ다고/EC
1일	1/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.386.4.2
1990년 설립된 TIACA는 세계 공항과 항공사, 물류기업 등 600여 곳이 소속된 비영리법인으로 미국에 본부를 두고 항공화물과 관련된 국제 규제, 법령 제안 등을 추진하고 있다.

1990년	1990/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
TIACA는	TIACA/SL+는/JX
세계	세계/NNG
공항과	공항/NNG+과/JC
항공사,	항공사/NNG+,/SP
물류기업	물류/NNG+기업/NNG
등	등/NNB
600여	600/SN+여/XSN
곳이	곳/NNG+이/JKS
소속된	소속/NNG+되/XSV+ㄴ/ETM
비영리법인으로	비/XPN+영리/NNG+법인/NNG+으로/JKB
미국에	미국/NNP+에/JKB
본부를	본부/NNG+를/JKO
두고	두/VV+고/EC
항공화물과	항공/NNG+화물/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
국제	국제/NNG
규제,	규제/NNG+,/SP
법령	법령/NNG
제안	제안/NNG
등을	등/NNB+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.386.5.1
이번 행사에서는 ‘현안 극복과 기회 창출’이라는 주제로 세계 항공화물 업계의 현안과 과제 등에 대한 국내외 전문가들의 강연과 토론이 펼쳐진다.

이번	이번/NNG
행사에서는	행사/NNG+에서/JKB+는/JX
‘현안	‘/SS+현안/NNG
극복과	극복/NNG+과/JC
기회	기회/NNG
창출’이라는	창출/NNG+’/SS+이/VCP+라는/ETM
주제로	주제/NNG+로/JKB
세계	세계/NNG
항공화물	항공/NNG+화물/NNG
업계의	업계/NNG+의/JKG
현안과	현안/NNG+과/JC
과제	과제/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
국내외	국내외/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
강연과	강연/NNG+과/JC
토론이	토론/NNG+이/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.386.5.2
7일에는 항공화물 화주들의 도전과제, 화물처리 서류 간소화 등, 8일에는 항공산업에 영향을 미치는 기술혁신, 국제교역과 통관협력체계 구축 방안에 대한 워크숍이 각각 열린다.

7일에는	7/SN+일/NNB+에/JKB+는/JX
항공화물	항공/NNG+화물/NNG
화주들의	화주/NNG+들/XSN+의/JKG
도전과제,	도전/NNG+과제/NNG+,/SP
화물처리	화물/NNG+처리/NNG
서류	서류/NNG
간소화	간소/NNG+화/XSN
등,	등/NNB+,/SP
8일에는	8/SN+일/NNB+에/JKB+는/JX
항공산업에	항공/NNG+산업/NNG+에/JKB
영향을	영향/NNG+을/JKO
미치는	미치/VV+는/ETM
기술혁신,	기술/NNG+혁신/NNG+,/SP
국제교역과	국제/NNG+교역/NNG+과/JC
통관협력체계	통관/NNG+협력/NNG+체계/NNG
구축	구축/NNG
방안에	방안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
워크숍이	워크숍/NNG+이/JKS
각각	각각/MAG
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.386.6.1
인천공항공사는 한국 항공화물 시장의 경쟁력을 알리고, 물동량 증대 방안과 인천공항물류단지 투자 유치를 위한 마케팅을 펼칠 계획이다.

인천공항공사는	인천공항공사/NNP+는/JX
한국	한국/NNP
항공화물	항공/NNG+화물/NNG
시장의	시장/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
알리고,	알리/VV+고/EC+,/SP
물동량	물동량/NNG
증대	증대/NNG
방안과	방안/NNG+과/JC
인천공항물류단지	인천공항물류단지/NNP
투자	투자/NNG
유치를	유치/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
마케팅을	마케팅/NNG+을/JKO
펼칠	펼치/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.386.6.2
인천공항은 2001년 문을 연 뒤 연평균 6.2%에 이르는 물동량 증가세를 보이며 국제화물 수송 실적에서 올 상반기 세계 2위를 기록하고 있다.

인천공항은	인천공항/NNP+은/JX
2001년	2001/SN+년/NNB
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
연평균	연평균/NNG
6.2%에	6/SN+./SP+2/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
물동량	물동량/NNG
증가세를	증가세/NNG+를/JKO
보이며	보이/VV+며/EC
국제화물	국제/NNG+화물/NNG
수송	수송/NNG
실적에서	실적/NNG+에서/JKB
올	올/NNG
상반기	상반기/NNG
세계	세계/NNG
2위를	2/SN+위/NNB+를/JKO
기록하고	기록/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.386.6.3
9일에는 국제교역의 패턴 변화와 우편 및 보안체계 등을 주제로 포럼을 연다.

9일에는	9/SN+일/NNB+에/JKB+는/JX
국제교역의	국제/NNG+교역/NNG+의/JKG
패턴	패턴/NNG
변화와	변화/NNG+와/JC
우편	우편/NNG
및	및/MAG
보안체계	보안/NNG+체계/NNG
등을	등/NNB+을/JKO
주제로	주제/NNG+로/JKB
포럼을	포럼/NNG+을/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.386.7.1
행사 기간에는 인천공항을 비롯해 싱가포르 창이공항, 네덜란드 스히폴공항 등 세계 주요 공항이 설치한 전시관을 무료로 관람할 수 있다.

행사	행사/NNG
기간에는	기간/NNG+에/JKB+는/JX
인천공항을	인천공항/NNP+을/JKO
비롯해	비롯하/VV+아/EC
싱가포르	싱가포르/NNP
창이공항,	창이공항/NNP+,/SP
네덜란드	네덜란드/NNP
스히폴공항	스히폴공항/NNP
등	등/NNB
세계	세계/NNG
주요	주요/NNG
공항이	공항/NNG+이/JKS
설치한	설치/NNG+하/XSV+ㄴ/ETM
전시관을	전시관/NNG+을/JKO
무료로	무료/NNG+로/JKB
관람할	관람/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.386.7.2
대한항공 등이 가입한 국제적 항공 동맹체인 ‘스카이팀’ 소속 항공사와 에미레이트항공, 터키항공 등과 같은 주요 화물항공사도 전시관을 운영한다.

대한항공	대한항공/NNP
등이	등/NNB+이/JKS
가입한	가입/NNG+하/XSV+ㄴ/ETM
국제적	국제/NNG+적/XSN
항공	항공/NNG
동맹체인	동맹체/NNG+이/VCP+ㄴ/ETM
‘스카이팀’	‘/SS+스카이팀/NNP+’/SS
소속	소속/NNG
항공사와	항공사/NNG+와/JC
에미레이트항공,	에미레이트항공/NNP+,/SP
터키항공	터키항공/NNP
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
주요	주요/NNG
화물항공사도	화물/NNG+항공사/NNG+도/JX
전시관을	전시관/NNG+을/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.386.8.1
인천공항공사 관계자는 “TIACA 포럼과 전시회가 국내에서 열리는 것은 이번이 처음”이라며 “세계 항공화물업계의 흐름을 한눈에 파악할 수 있는 좋은 기회가 될 것”이라고 말했다.

인천공항공사	인천공항공사/NNP
관계자는	관계자/NNG+는/JX
“TIACA	“/SS+TIACA/SL
포럼과	포럼/NNG+과/JC
전시회가	전시회/NNG+가/JKS
국내에서	국내/NNG+에서/JKB
열리는	열리/VV+는/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음”이라며	처음/NNG+”/SS+이/VCP+라며/EC
“세계	“/SS+세계/NNG
항공화물업계의	항공/NNG+화물/NNG+업계/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
한눈에	한눈/NNG+에/JKB
파악할	파악/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.386.8.2
문의는 홈페이지(www.acf2014seoul.kr)나 인천공항공사 물류마케팅팀(032-741-2277) 참조.

문의는	문의/NNG+는/JX
홈페이지(www.acf2014seoul.kr)나	홈페이지/NNG+(/SS+www/SL+./SP+acf/SL+2014/SN+seoul/SL+./SP+kr/SL+)/SS+나/JC
인천공항공사	인천공항공사/NNP
물류마케팅팀(032-741-2277)	물류/NNG+마케팅/NNG+팀/NNG+(/SS+032/SN+-/SO+741/SN+-/SO+2277/SN+)/SS
참조.	참조/NNG+./SF


