# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.400
metadata : {}


# id : NWRW1800000033.400.1.1
[수도권]서울시 비정규직 6231명 직접고용 -정규직화

[수도권]서울시	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP
비정규직	비/XPN+정규직/NNG
6231명	6231/SN+명/NNB
직접고용	직접/NNG+고용/NNG
-정규직화	-/SO+정규직/NNG+화/XSN


# id : NWRW1800000033.400.2.1
정년보장 무기계약으로 고용… 2013년부터 2017년까지 전환 청소, 근로자 19% 임금 인상도

정년보장	정년/NNG+보장/NNG
무기계약으로	무기/NNG+계약/NNG+으로/JKB
고용…	고용/NNG+…/SE
2013년부터	2013/SN+년/NNB+부터/JX
2017년까지	2017/SN+년/NNB+까지/JX
전환	전환/NNG
청소,	청소/NNG+,/SP
근로자	근로자/NNG
19%	19/SN+%/SW
임금	임금/NNG
인상도	인상/NNG+도/JX


# id : NWRW1800000033.400.3.1
서울시가 공공청사, 지하철 역사 등에서 청소·시설관리·경비 등의 업무를 담당하는 비정규직 6231명을 내년 1월부터 단계적으로 직접 고용하거나 정규직으로 전환한다.

서울시가	서울시/NNP+가/JKS
공공청사,	공공/NNG+청사/NNG+,/SP
지하철	지하철/NNG
역사	역사/NNG
등에서	등/NNB+에서/JKB
청소·시설관리·경비	청소/NNG+·/SP+시설/NNG+관리/NNG+·/SP+경비/NNG
등의	등/NNB+의/JKG
업무를	업무/NNG+를/JKO
담당하는	담당/NNG+하/XSV+는/ETM
비정규직	비/XPN+정규직/NNG
6231명을	6231/SN+명/NNB+을/JKO
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
단계적으로	단계/NNG+적/XSN+으로/JKB
직접	직접/MAG
고용하거나	고용/NNG+하/XSV+거나/EC
정규직으로	정규직/NNG+으로/JKB
전환한다.	전환/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.400.3.2
