# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.87
metadata : {}


# id : NWRW1800000030.87.1.1
"김지미는 웃음에도 서글픔이… 사진찍기 힘들었죠"

"김지미는	"/SS+김지미/NNP+는/JX
웃음에도	웃음/NNG+에/JKB+도/JX
서글픔이…	서글픔/NNG+이/JKS+…/SE
사진찍기	사진/NNG+찍/VV+기/ETN
힘들었죠"	힘들/VA+었/EP+죠/EF+"/SS


# id : NWRW1800000030.87.2.1
•광고사진 代父 김한용 사진전

•광고사진	•/SW+광고/NNG+사진/NNG
代父	代父/SH
김한용	김한용/NNP
사진전	사진전/NNG


# id : NWRW1800000030.87.3.1
1960년대 말 처음 코카콜라가 국내에 수입됐을 때, 사진가 김한용(87)이 광고포스터 촬영을 맡았다.

1960년대	1960/SN+년대/NNB
말	말/NNB
처음	처음/NNG
코카콜라가	코카콜라/NNP+가/JKS
국내에	국내/NNG+에/JKB
수입됐을	수입/NNG+되/XSV+었/EP+을/ETM
때,	때/NNG+,/SP
사진가	사진가/NNG
김한용(87)이	김한용/NNP+(/SS+87/SN+)/SS+이/JKS
광고포스터	광고/NNG+포스터/NNG
촬영을	촬영/NNG+을/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.87.3.2
미국 본사에서는 포스터 스케치를 보내오면서 '이렇게 못 찍으면 일본에서 촬영해 오겠다'며 못 미더워했다.

미국	미국/NNP
본사에서는	본사/NNG+에서/JKB+는/JX
포스터	포스터/NNG
스케치를	스케치/NNG+를/JKO
보내오면서	보내오/VV+면서/EC
'이렇게	'/SS+이렇/VA+게/EC
못	못/MAG
찍으면	찍/VV+으면/EC
일본에서	일본/NNP+에서/JKB
촬영해	촬영/NNG+하/XSV+아/EC
오겠다'며	오/VX+겠/EP+다/EF+'/SS+며/EC
미더워했다.	미덥/VA+어/EC+하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.87.3.3
보름을 작업했지만 스케치와 똑같은 사진이 나오지 않았다.

보름을	보름/NNG+을/JKO
작업했지만	작업/NNG+하/XSV+았/EP+지만/EC
스케치와	스케치/NNG+와/JKB
똑같은	똑같/VA+은/ETM
사진이	사진/NNG+이/JKS
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.87.3.4
"스케치엔 콜라병에 물방울이 송글송글 맺혀 있는데, 아무리 해도 그렇게 찍을 수가 없었어요.

"스케치엔	"/SS+스케치/NNG+에/JKB+ㄴ/JX
콜라병에	콜라병/NNG+에/JKB
물방울이	물방울/NNG+이/JKS
송글송글	송글송글/MAG
맺혀	맺히/VV+어/EC
있는데,	있/VX+는데/EC+,/SP
아무리	아무리/MAG
해도	하/VV+아도/EC
그렇게	그렇/VA+게/EC
찍을	찍/VV+을/ETM
수가	수/NNB+가/JKS
없었어요.	없/VA+었/EP+어요/EF+./SF


# id : NWRW1800000030.87.3.5
고민 끝에 장판용 니스에 병을 담갔다 꺼내서 물방울이 맺힌 것처럼 만들었어요.

고민	고민/NNG
끝에	끝/NNG+에/JKB
장판용	장판/NNG+용/XSN
니스에	니스/NNG+에/JKB
병을	병/NNG+을/JKO
담갔다	담그/VV+았/EP+다/EC
꺼내서	꺼내/VV+어서/EC
물방울이	물방울/NNG+이/JKS
맺힌	맺히/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
만들었어요.	만들/VV+었/EP+어요/EF+./SF


# id : NWRW1800000030.87.3.6
포스터 시안이 통과됐을 때 얼마나 기뻤는지 몰라요.

포스터	포스터/NNG
시안이	시안/NNG+이/JKS
통과됐을	통과/NNG+되/XSV+었/EP+을/ETM
때	때/NNG
얼마나	얼마나/MAG
기뻤는지	기쁘/VA+었/EP+는지/EC
몰라요.	모르/VV+아요/EF+./SF


# id : NWRW1800000030.87.3.7
한국의 자존심이 걸려 있었으니까요."

한국의	한국/NNP+의/JKG
자존심이	자존심/NNG+이/JKS
걸려	걸리/VV+어/EC
있었으니까요."	있/VX+었/EP+으니까/EC+요/JX+./SF+"/SS


# id : NWRW1800000030.87.4.1
1959년 광고사진 스튜디오 '김한용 사진연구소'를 설립, 30여년간 광고사진을 찍어온 김한용은 '한국 광고사진계의 대부(代父)'로 불린다.

1959년	1959/SN+년/NNB
광고사진	광고/NNG+사진/NNG
스튜디오	스튜디오/NNG
'김한용	'/SS+김한용/NNP
사진연구소'를	사진/NNG+연구소/NNG+'/SS+를/JKO
설립,	설립/NNG+,/SP
30여년간	30/SN+여/XSN+년/NNB+간/XSN
광고사진을	광고/NNG+사진/NNG+을/JKO
찍어온	찍/VV+어/EC+오/VX+ㄴ/ETM
김한용은	김한용/NNP+은/JX
'한국	'/SS+한국/NNP
광고사진계의	광고/NNG+사진/NNG+계/XSN+의/JKG
대부(代父)'로	대부/NNG+(/SS+代父/SH+)/SS+'/SS+로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.87.4.2
내년 3월 17일까지 서울 방이동 한미사진미술관에서 열리는 개인전 '김한용-광고사진과 소비자의 탄생'에 그가 1960~70년대에 찍은 사진 93점이 소개됐다.

내년	내년/NNG
3월	3/SN+월/NNB
17일까지	17/SN+일/NNB+까지/JX
서울	서울/NNP
방이동	방이동/NNP
한미사진미술관에서	한미사진미술관/NNP+에서/JKB
열리는	열리/VV+는/ETM
개인전	개인전/NNG
'김한용-광고사진과	'/SS+김한용/NNP+-/SO+광고/NNG+사진/NNG+과/JC
소비자의	소비자/NNG+의/JKG
탄생'에	탄생/NNG+'/SS+에/JKB
그가	그/NP+가/JKS
1960~70년대에	1960/SN+~/SO+70/SN+년대/NNB+에/JKB
찍은	찍/VV+은/ETM
사진	사진/NNG
93점이	93/SN+점/NNB+이/JKS
소개됐다.	소개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.87.5.1
김한용의 사진에서 1960~1970년대의 빈곤과 궁핍은 찾을 수 없다.

김한용의	김한용/NNP+의/JKG
사진에서	사진/NNG+에서/JKB
1960~1970년대의	1960/SN+~/SO+1970/SN+년대/NNB+의/JKG
빈곤과	빈곤/NNG+과/JC
궁핍은	궁핍/NNG+은/JX
찾을	찾/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.87.5.2
술, 양복, 치약, 탄산음료….

술,	술/NNG+,/SP
