# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.188
metadata : {}


# id : NWRW1800000022.188.1.1
[수도권Ⅲ] 성남시 재개발 지역 재산세 경감;1645가구 해당… 총액 2억7000만원 이를 듯

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
성남시	성남시/NNP
재개발	재/XPN+개발/NNG
지역	지역/NNG
재산세	재산세/NNG
경감;1645가구	경감/NNG+;/SW+1645/SN+가구/NNG
해당…	해당/NNG+…/SE
총액	총액/NNG
2억7000만원	2/SN+억/NR+7000/SN+만/NR+원/NNB
이를	이르/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000022.188.2.1
성남시 재개발·재건축 지역의 재산세 부담이 줄어들게 됐다.

성남시	성남시/NNP
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
지역의	지역/NNG+의/JKG
재산세	재산세/NNG
부담이	부담/NNG+이/JKS
줄어들게	줄어들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.188.2.2
지난 21일 '재개발 등으로 주택이 철거돼 주택건설용 토지로 부과될 경우 해당 주택에 직전연도에 실제 과세된 재산세액을 기준으로 세부담 상한(150%)을 적용토록 한다'는 내용으로 지방세법시행령이 개정됐기 때문이다.

지난	지나/VV+ㄴ/ETM
21일	21/SN+일/NNB
'재개발	'/SS+재/XPN+개발/NNG
등으로	등/NNB+으로/JKB
주택이	주택/NNG+이/JKS
철거돼	철거/NNG+되/XSV+어/EC
주택건설용	주택/NNG+건설/NNG+용/XSN
토지로	토지/NNG+로/JKB
부과될	부과/NNG+되/XSV+ㄹ/ETM
경우	경우/NNG
해당	해당/NNG
주택에	주택/NNG+에/JKB
직전연도에	직전/NNG+연도/NNG+에/JKB
실제	실제/NNG
과세된	과세/NNG+되/XSV+ㄴ/ETM
재산세액을	재산세액/NNG+을/JKO
기준으로	기준/NNG+으로/JKB
세부담	세/NNG+부담/NNG
상한(150%)을	상한/NNG+(/SS+150/SN+%/SW+)/SS+을/JKO
적용토록	적용/NNG+하/XSV+도록/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
내용으로	내용/NNG+으로/JKB
지방세법시행령이	지방세법/NNG+시행령/NNG+이/JKS
개정됐기	개정/NNG+되/XSV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.188.3.1
그간 성남에선 주택·건축물을 재건축하기 위해 건물이 철거되면 그 토지를 대한 세액이 3~5배 수준으로 급등하는 문제가 발생했다.

그간	그/NP+간/XSN
성남에선	성남/NNP+에서/JKB+ㄴ/JX
주택·건축물을	주택/NNG+·/SP+건축물/NNG+을/JKO
재건축하기	재/XPN+건축/NNG+하/XSV+기/ETN
