# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.53
metadata : {}


# id : NWRW1800000022.53.1.1
[名士멘토의 열공특강] 법학자 이호선;승리는 이미 내 안에 있다 "공부엔 자신감이 에너지"

[名士멘토의	[/SS+名士/SH+멘토/NNG+의/JKG
하셨어요.	하/VV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000022.53.9.3
하지만 하루도 견딜 수 없었어요.

하지만	하지만/MAJ
하루도	하루/NNG+도/JX
견딜	견디/VV+ㄹ/ETM
수	수/NNB
없었어요.	없/VA+었/EP+어요/EF+./SF


# id : NWRW1800000022.53.9.4
3주 만에 학교를 자퇴해 '낙향'하게 됐습니다."

3주	3/SN+주/NNB
만에	만/NNB+에/JKB
학교를	학교/NNG+를/JKO
자퇴해	자퇴/NNG+하/XSV+아/EC
'낙향'하게	'/SS+낙향/NNG+'/SS+하/VV+게/EC
됐습니다."	되/VV+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.53.10.1
무작정 집으로 돌아왔지만 막막했다.

무작정	무/XPN+작정/NNG
집으로	집/NNG+으로/JKB
돌아왔지만	돌아오/VV+았/EP+지만/EC
막막했다.	막막하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.53.10.2
그해 6월 아버지가 뇌출혈로 돌아가시는 바람에 집안의 생계와 농사를 모두 외동아들인 그가 떠안게 됐다.

그해	그해/NNG
6월	6/SN+월/NNB
아버지가	아버지/NNG+가/JKS
뇌출혈로	뇌출혈/NNG+로/JKB
돌아가시는	돌아가/VV+시/EP+는/ETM
바람에	바람/NNB+에/JKB
집안의	집안/NNG+의/JKG
생계와	생계/NNG+와/JC
농사를	농사/NNG+를/JKO
모두	모두/MAG
외동아들인	외동아들/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
떠안게	떠안/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.10.3
그러나 학교는 포기했지만, 공부까지 그만둘 수 없다고 생각했다.

그러나	그러나/MAJ
학교는	학교/NNG+는/JX
포기했지만,	포기/NNG+하/XSV+았/EP+지만/EC+,/SP
공부까지	공부/NNG+까지/JX
그만둘	그만두/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.10.4
이웃집 형이 보던 '통신 강의록'으로 공부하기도 했지만 여의치 않았다.

이웃집	이웃집/NNG
형이	형/NNG+이/JKS
보던	보/VV+던/ETM
'통신	'/SS+통신/NNG
강의록'으로	강의록/NNG+'/SS+으로/JKB
공부하기도	공부/NNG+하/XSV+기/ETN+도/JX
했지만	하/VX+았/EP+지만/EC
여의치	여의하/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.53.10.5
가을 추수를 끝내고 무작정 상경했다.

가을	가을/NNG
추수를	추수/NNG+를/JKO
끝내고	끝내/VV+고/EC
무작정	무/XPN+작정/NNG
상경했다.	상경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.10.6
서울에서 독서실 총무 생활로 몇 달간 일하다 공장에 취직했다.

서울에서	서울/NNP+에서/JKB
독서실	독서실/NNG
총무	총무/NNG
생활로	생활/NNG+로/JKB
몇	몇/NR
달간	달/NNB+간/XSN
일하다	일/NNG+하/XSV+다/EC
공장에	공장/NNG+에/JKB
취직했다.	취직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.11.1
"검정고시 학원에 갈 형편도 못 됐어요.

"검정고시	"/SS+검정고시/NNG
학원에	학원/NNG+에/JKB
갈	가/VV+ㄹ/ETM
형편도	형편/NNG+도/JX
못	못/MAG
됐어요.	되/VV+었/EP+어요/EF+./SF


# id : NWRW1800000022.53.11.2
독서실 총무, 구로공단 비닐공장, 김포의 주물공장, 액세서리 가내 수공업체 등지를 이리저리 옮겨다니며 일했지요.

독서실	독서실/NNG
총무,	총무/NNG+,/SP
구로공단	구로공단/NNP
비닐공장,	비닐/NNG+공장/NNG+,/SP
김포의	김포/NNP+의/JKG
주물공장,	주물/NNG+공장/NNG+,/SP
액세서리	액세서리/NNG
가내	가내/NNG
수공업체	수공/NNG+업체/NNG
등지를	등지/NNB+를/JKO
이리저리	이리저리/MAG
옮겨다니며	옮기/VV+어/EC+다니/VV+며/EC
일했지요.	일/NNG+하/XSV+았/EP+지요/EF+./SF


# id : NWRW1800000022.53.11.3
돈을 조금씩 저축해 고교 참고서를 과목마다 한 권씩 사서 틈나는 대로 공부했어요."

돈을	돈/NNG+을/JKO
조금씩	조금/NNG+씩/XSN
저축해	저축/NNG+하/XSV+아/EC
고교	고교/NNG
참고서를	참고서/NNG+를/JKO
과목마다	과목/NNG+마다/JX
한	한/MMN
권씩	권/NNB+씩/XSN
사서	사/VV+아서/EC
틈나는	틈나/VV+는/ETM
대로	대로/NNB
공부했어요."	공부/NNG+하/XSV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000022.53.12.1
■가장 극적인 공부의 순간

■가장	■/SW+가장/MAG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
공부의	공부/NNG+의/JKG
순간	순간/NNG


# id : NWRW1800000022.53.13.1
공부와 관련된 가장 극적인 순간은 1982년 4월 검정고시에 합격했을 때였다.

공부와	공부/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
가장	가장/MAG
극적인	극/NNG+적/XSN+이/VCP+ㄴ/ETM
순간은	순간/NNG+은/JX
1982년	1982/SN+년/NNB
4월	4/SN+월/NNB
검정고시에	검정고시/NNG+에/JKB
합격했을	합격/NNG+하/XSV+았/EP+을/ETM
때였다.	때/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.53.13.2
'고교 재학 3주'가 배움의 전부인 그가 검정고시 관문을 스스로 열었다는 사실이 믿기질 않았다.

'고교	'/SS+고교/NNG
재학	재학/NNG
3주'가	3/SN+주/NNB+'/SS+가/JKS
배움의	배우/VV+ㅁ/ETN+의/JKG
전부인	전부/NNG+이/VCP+ㄴ/ETM
그가	그/NP+가/JKS
검정고시	검정고시/NNG
관문을	관문/NNG+을/JKO
스스로	스스로/MAG
열었다는	열/VV+었/EP+다는/ETM
사실이	사실/NNG+이/JKS
믿기질	믿기/VV+지/EC+ㄹ/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.53.14.1
"입시 학원조차 못 간 처지에 검정고시에 한 번 만에 바로 붙어 제 또래들과 같이 대학에 진학할 자격을 갖게 된 것이 제게는 큰 사건이었죠."

"입시	"/SS+입시/NNG
학원조차	학원/NNG+조차/JX
못	못/MAG
간	가/VV+ㄴ/ETM
처지에	처지/NNG+에/JKB
검정고시에	검정고시/NNG+에/JKB
한	한/MMN
번	번/NNB
만에	만/NNB+에/JKB
바로	바로/MAG
붙어	붙/VV+어/EC
제	저/NP+의/JKG
또래들과	또래/NNG+들/XSN+과/JKB
같이	같이/MAG
대학에	대학/NNG+에/JKB
진학할	진학/NNG+하/XSV+ㄹ/ETM
자격을	자격/NNG+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
것이	것/NNB+이/JKS
제게는	저/NP+에게/JKB+는/JX
큰	크/VA+ㄴ/ETM
사건이었죠."	사건/NNG+이/VCP+었/EP+죠/EF+./SF+"/SS


# id : NWRW1800000022.53.15.1
내친김에 대학까지 진학하기로 마음먹었다.

내친김에	내친김/NNG+에/JKB
대학까지	대학/NNG+까지/JX
진학하기로	진학/NNG+하/XSV+기/ETN+로/JKB
마음먹었다.	마음먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.15.2
공장일을 그만두고 그해 6월 낙향했다.

공장일을	공장/NNG+일/NNG+을/JKO
그만두고	그만두/VV+고/EC
그해	그해/NNG
6월	6/SN+월/NNB
낙향했다.	낙향/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.15.3
대입 학력고사를 집중적으로 공부하겠다고 마음먹고 평창에 내려간 것이다.

대입	대입/NNG
학력고사를	학력고사/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
공부하겠다고	공부/NNG+하/XSV+겠/EP+다고/EC
마음먹고	마음먹/VV+고/EC
평창에	평창/NNP+에/JKB
내려간	내려가/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.53.15.4
군(郡) 도서관에 다니며 공부했다.

군(郡)	군/NNG+(/SS+郡/SH+)/SS
도서관에	도서관/NNG+에/JKB
다니며	다니/VV+며/EC
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.15.5
"퇴직금으로 받은 돈으로 당시 유명했던 입시학원 문제집을 샀다"고 했다.

"퇴직금으로	"/SS+퇴직금/NNG+으로/JKB
받은	받/VV+은/ETM
돈으로	돈/NNG+으로/JKB
당시	당시/NNG
유명했던	유명/NNG+하/XSA+았/EP+던/ETM
입시학원	입시/NNG+학원/NNG
문제집을	문제집/NNG+을/JKO
샀다"고	사/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.15.6
결국 국민대 법학과에 장학생으로 입학했다.

결국	결국/MAG
국민대	국민대/NNP
법학과에	법학과/NNG+에/JKB
장학생으로	장학/NNG+생/XSN+으로/JKB
입학했다.	입학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.16.1
대학 1학년 때 '내가 누구인가' 하는 정체성의 혼란을 겪었다.

대학	대학/NNG
1학년	1/SN+학년/NNG
때	때/NNG
'내가	'/SS+내/NP+가/JKS
누구인가'	누구/NP+이/VCP+ㄴ가/EF+'/SS
하는	하/VV+는/ETM
정체성의	정체/NNG+성/XSN+의/JKG
혼란을	혼란/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.16.2
무엇 때문에 사는지, 왜 내가 이 시대를 살아야 할지 답이 없었기에 무얼 하려고 해도, 목표를 정해 놓아도 집중할 수 없었다.

무엇	무엇/NP
때문에	때문/NNB+에/JKB
사는지,	살/VV+는지/EF+,/SP
왜	왜/MAG
내가	내/NP+가/JKS
이	이/MMD
시대를	시대/NNG+를/JKO
살아야	살/VV+아야/EC
할지	하/VX+ㄹ지/EF
답이	답/NNG+이/JKS
없었기에	없/VA+었/EP+기에/EC
무얼	무어/NP+ㄹ/JKO
하려고	하/VV+려고/EC
해도,	하/VX+아도/EC+,/SP
목표를	목표/NNG+를/JKO
정해	정하/VV+아/EC
놓아도	놓/VX+아도/EC
집중할	집중/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000022.53.17.1
방황 끝에 찾은 답은 '나는 이 세상에 우연히 던져진 오발탄이 아니라 아주 신중하고 선한 계획의 결과물이며 지금도 괜찮은 놈이다'였다.

방황	방황/NNG
끝에	끝/NNG+에/JKB
찾은	찾/VV+은/ETM
답은	답/NNG+은/JX
'나는	'/SS+나/NP+는/JX
이	이/MMD
세상에	세상/NNG+에/JKB
우연히	우연히/MAG
던져진	던지/VV+어/EC+지/VX+ㄴ/ETM
오발탄이	오발탄/NNG+이/JKC
아니라	아니/VCN+라/EC
아주	아주/MAG
신중하고	신중/NNG+하/XSA+고/EC
선한	선/NNG+하/XSA+ㄴ/ETM
계획의	계획/NNG+의/JKG
결과물이며	결과물/NNG+이/VCP+며/EC
지금도	지금/NNG+도/JX
괜찮은	괜찮/VA+은/ETM
놈이다'였다.	놈/NNB+이/VCP+다/EF+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.53.17.2
"그다음부터 무엇을 해도 신이 났고 두려움과 의심이 없어졌다"고 했다.

"그다음부터	"/SS+그다음/NNG+부터/JX
무엇을	무엇/NP+을/JKO
해도	하/VV+아도/EC
신이	신/NNG+이/JKS
났고	나/VV+았/EP+고/EC
두려움과	두려움/NNG+과/JC
의심이	의심/NNG+이/JKS
없어졌다"고	없어지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.18.1
이후 학과공부를 열심히 했고 내심 대학교수의 꿈을 키웠다.

이후	이후/NNG
학과공부를	학과/NNG+공부/NNG+를/JKO
열심히	열심히/MAG
했고	하/VV+았/EP+고/EC
내심	내심/NNG
대학교수의	대학교수/NNG+의/JKG
꿈을	꿈/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.18.2
그러나 방위복무 중 휴가를 받아 지도교수를 찾아갔다가 자신의 미래에 대해 고민하게 됐다.

그러나	그러나/MAJ
방위복무	방위/NNG+복무/NNG
중	중/NNB
휴가를	휴가/NNG+를/JKO
받아	받/VV+아/EC
지도교수를	지도/NNG+교수/NNG+를/JKO
찾아갔다가	찾아가/VV+았/EP+다가/EC
자신의	자신/NNG+의/JKG
미래에	미래/NNG+에/JKB
대해	대하/VV+아/EC
고민하게	고민/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.19.1
"교수님이 '학위를 받더라도 강단에 남는 것이 현실적으로 어렵지 않겠느냐'고 하셨어요.

"교수님이	"/SS+교수/NNG+님/XSN+이/JKS
'학위를	'/SS+학위/NNG+를/JKO
받더라도	받/VV+더라도/EC
강단에	강단/NNG+에/JKB
남는	남/VV+는/ETM
것이	것/NNB+이/JKS
현실적으로	현실/NNG+적/XSN+으로/JKB
어렵지	어렵/VA+지/EC
않겠느냐'고	않/VX+겠/EP+느냐/EF+'/SS+고/JKQ
하셨어요.	하/VV+시/EP+었/EP+어요/EF+./SF


# id : NWRW1800000022.53.19.2
많은 고민을 하다가 대안을 찾았는데 그게 사법시험이었습니다."

많은	많/VA+은/ETM
고민을	고민/NNG+을/JKO
하다가	하/VV+다가/EC
대안을	대안/NNG+을/JKO
찾았는데	찾/VV+았/EP+는데/EC
그게	그거/NP+이/JKS
사법시험이었습니다."	사법/NNG+시험/NNG+이/VCP+었/EP+습니다/EF+./SF+"/SS


# id : NWRW1800000022.53.20.1
복무를 마친 뒤 사법시험을 본격 준비, 이듬해인 1988년 사법시험 1차에 합격했고 한 해 뒤 2차에 합격했다.

복무를	복무/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
사법시험을	사법/NNG+시험/NNG+을/JKO
본격	본격/NNG
준비,	준비/NNG+,/SP
이듬해인	이듬해/NNG+이/VCP+ㄴ/ETM
1988년	1988/SN+년/NNB
사법시험	사법/NNG+시험/NNG
1차에	1/SN+차/NNB+에/JKB
합격했고	합격/NNG+하/XSV+았/EP+고/EC
한	한/MMN
해	해/NNB
2차에	2/SN+차/NNB+에/JKB
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.20.2
단기간 준비해 합격할 수 있었던 것은 평소 학과 공부를 열심히 해 둔 덕도 있지만 '나는 할 수 있다' 는 믿음이 내면에 깔렸기에 가능했다.

단기간	단기간/NNG
준비해	준비/NNG+하/XSV+아/EC
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
평소	평소/NNG
학과	학과/NNG
공부를	공부/NNG+를/JKO
열심히	열심히/MAG
해	하/VV+아/EC
둔	두/VX+ㄴ/ETM
덕도	덕/NNG+도/JX
있지만	있/VA+지만/EC
'나는	'/SS+나/NP+는/JX
할	하/VV+ㄹ/ETM
있다'	있/VA+다/EF+'/SS
는	는/ETM
믿음이	믿음/NNG+이/JKS
내면에	내면/NNG+에/JKB
깔렸기에	깔리/VV+었/EP+기에/EC
가능했다.	가능/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000022.53.21.1
"공부에는 자신감만한 에너지가 없습니다.

