# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.124
metadata : {}


# id : NWRW1800000025.124.1.1
“추신수와 비교할 만한 선수는 전성기때 이치로-게레로 정도”

“추신수와	“/SS+추신수/NNP+와/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
선수는	선수/NNG+는/JX
전성기때	전성기/NNG+때/NNG
이치로-게레로	이치로/NNP+-/SO+게레로/NNP
정도”	정도/NNG+”/SS


# id : NWRW1800000025.124.2.1
전국구 스타로 자리 잡은 ‘클리블랜드의 미래’ 추신수(28)를 띄우는 언론 보도가 연일 계속되고 있다.

전국구	전국구/NNG
스타로	스타/NNG+로/JKB
자리	자리/NNG
잡은	잡/VV+은/ETM
‘클리블랜드의	‘/SS+클리블랜드/NNP+의/JKG
미래’	미래/NNG+’/SS
추신수(28)를	추신수/NNP+(/SS+28/SN+)/SS+를/JKO
띄우는	띄우/VV+는/ETM
언론	언론/NNG
보도가	보도/NNG+가/JKS
연일	연일/MAG
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.124.2.2
전날 미국 일간지 USA투데이가 ‘인디언스, 추신수에게서 미래를 보다’는 제목의 인터넷판 기사를 내보낸 데 이어 30일에는 야후스포츠가 메이저리그 섹션을 통해 추신수의 활약을 집중 조명했다.

전날	전날/NNG
미국	미국/NNP
일간지	일간지/NNG
USA투데이가	USA투데이/NNP+가/JKS
‘인디언스,	‘/SS+인디언스/NNP+,/SP
추신수에게서	추신수/NNP+에게서/JKB
미래를	미래/NNG+를/JKO
보다’는	보/VV+다/EF+’/SS+는/ETM
제목의	제목/NNG+의/JKG
인터넷판	인터넷판/NNG
기사를	기사/NNG+를/JKO
내보낸	내보내/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
30일에는	30/SN+일/NNB+에/JKB+는/JX
야후스포츠가	야후스포츠/NNP+가/JKS
메이저리그	메이저리그/NNG
섹션을	섹션/NNG+을/JKO
통해	통하/VV+아/EC
추신수의	추신수/NNP+의/JKG
활약을	활약/NNG+을/JKO
집중	집중/NNG
조명했다.	조명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.124.3.1
추신수가 한국을 떠나 미국 프로야구 마이너리그에서부터 성공 기반을 다져 나가는 과정을 소개한 이 기사는 추신수의 에이전트를 맡은 메이저리그의 큰손 스콧 보라스의 말을 인용해 “그는 (시애틀의 일본인 타자) 스즈키 이치로보다 더 오래 풍부한 경력을 쌓을 것”이라고 치켜세웠다.

추신수가	추신수/NNP+가/JKS
한국을	한국/NNP+을/JKO
떠나	떠나/VV+아/EC
미국	미국/NNP
프로야구	프로/NNG+야구/NNG
마이너리그에서부터	마이너리그/NNG+에서부터/JKB
성공	성공/NNG
기반을	기반/NNG+을/JKO
다져	다지/VV+어/EC
나가는	나가/VX+는/ETM
과정을	과정/NNG+을/JKO
소개한	소개/NNG+하/XSV+ㄴ/ETM
이	이/MMD
기사는	기사/NNG+는/JX
추신수의	추신수/NNP+의/JKG
에이전트를	에이전트/NNG+를/JKO
맡은	맡/VV+은/ETM
메이저리그의	메이저리그/NNG+의/JKG
큰손	큰손/NNG
스콧	스콧/NNP
보라스의	보라스/NNP+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
“그는	“/SS+그/NP+는/JX
(시애틀의	(/SS+시애틀/NNP+의/JKG
일본인	일본인/NNG
타자)	타자/NNG+)/SS
스즈키	스즈키/NNP
이치로보다	이치로/NNP+보다/JKB
더	더/MAG
오래	오래/MAG
풍부한	풍부하/VA+ㄴ/ETM
경력을	경력/NNG+을/JKO
쌓을	쌓/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
치켜세웠다.	치켜세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.124.3.2
또 타율(0.338) 홈런(4개) 타점(15개) 도루(4개) 등 공격 전 부문에서 아메리칸리그 우익수 중 최고의 성적을 내고 있다면서 추신수의 강한 어깨와 비교할 만한 선수는 전성기의 블라디미르 게레로(35·텍사스)와 이치로(37) 정도뿐이라고 덧붙였다.

또	또/MAG
타율(0.338)	타율/NNG+(/SS+0/SN+./SP+338/SN+)/SS
홈런(4개)	홈런/NNG+(/SS+4/SN+개/NNB+)/SS
타점(15개)	타점/NNG+(/SS+15/SN+개/NNB+)/SS
도루(4개)	도루/NNG+(/SS+4/SN+개/NNB+)/SS
등	등/NNB
공격	공격/NNG
전	전/MMN
부문에서	부문/NNG+에서/JKB
아메리칸리그	아메리칸/NNP+리그/NNG
우익수	우익수/NNG
중	중/NNB
최고의	최고/NNG+의/JKG
성적을	성적/NNG+을/JKO
내고	내/VV+고/EC
있다면서	있/VX+다면서/EC
추신수의	추신수/NNP+의/JKG
강한	강하/VA+ㄴ/ETM
어깨와	어깨/NNG+와/JKB
비교할	비교/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
선수는	선수/NNG+는/JX
