# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.422
metadata : {}


# id : NWRW1800000030.422.1.1
[강원] '사랑의 밥'으로 전투력 향상

[강원]	[/SS+강원/NNP+]/SS
'사랑의	'/SS+사랑/NNG+의/JKG
밥'으로	밥/NNG+'/SS+으로/JKB
전투력	전투력/NNG
향상	향상/NNG


# id : NWRW1800000030.422.2.1
•22사단 김연숙 조리원 화제

•22사단	•/SW+22/SN+사단/NNG
김연숙	김연숙/NNP
조리원	조리원/NNG
화제	화제/NNG


# id : NWRW1800000030.422.3.1
군 장병을 위한 정성스런 식단으로 전투력 향상에 기여하는 조리원이 화제다.

군	군/NNG
장병을	장병/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정성스런	정성/NNG+스럽/XSA+ㄴ/ETM
식단으로	식단/NNG+으로/JKB
전투력	전투력/NNG
향상에	향상/NNG+에/JKB
기여하는	기여/NNG+하/XSV+는/ETM
조리원이	조리원/NNG+이/JKS
화제다.	화제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.422.4.1
육군 제22사단은 21일 군인이 아니면서도 사단 산하 북진부대에서 12년째 군 장병을 위한 조리원으로 근무하는 김연숙(47)씨가 장병에게 '이모님'으로 불리며 사랑을 받고 있다고 밝혔다.

육군	육군/NNG
제22사단은	제/XPN+22/SN+사단/NNG+은/JX
21일	21/SN+일/NNB
군인이	군인/NNG+이/JKC
아니면서도	아니/VCN+면서/EC+도/JX
사단	사단/NNG
산하	산하/NNG
북진부대에서	북진/NNG+부대/NNG+에서/JKB
12년째	12/SN+년/NNB+째/XSN
군	군/NNG
장병을	장병/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
조리원으로	조리원/NNG+으로/JKB
근무하는	근무/NNG+하/XSV+는/ETM
김연숙(47)씨가	김연숙/NNP+(/SS+47/SN+)/SS+씨/NNB+가/JKS
장병에게	장병/NNG+에게/JKB
'이모님'으로	'/SS+이모/NNG+님/XSN+'/SS+으로/JKB
불리며	불리/VV+며/EC
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.422.4.2
2000년 3월부터 북진부대 조리원으로 일하는 김씨는 단순히 음식의 간을 맞추고 조리를 감독하는 것에 그치지 않고 병사들의 고민까지 해결해 주고 있다.

2000년	2000/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
북진부대	북진/NNG+부대/NNG
조리원으로	조리원/NNG+으로/JKB
일하는	일/NNG+하/XSV+는/ETM
김씨는	김/NNP+씨/NNB+는/JX
단순히	단순히/MAG
음식의	음식/NNG+의/JKG
간을	간/NNG+을/JKO
맞추고	맞추/VV+고/EC
조리를	조리/NNG+를/JKO
감독하는	감독/NNG+하/XSV+는/ETM
것에	것/NNB+에/JKB
그치지	그치/VV+지/EC
않고	않/VX+고/EC
병사들의	병사/NNG+들/XSN+의/JKG
고민까지	고민/NNG+까지/JX
해결해	해결/NNG+하/XSV+아/EC
주고	주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.422.5.1
김씨는 밥을 먹는 모습만으로도 고민이 있는 병사를 가려내 해당 중대장에게 귀띔해 준다.

김씨는	김/NNP+씨/NNB+는/JX
밥을	밥/NNG+을/JKO
먹는	먹/VV+는/ETM
모습만으로도	모습/NNG+만/JX+으로/JKB+도/JX
고민이	고민/NNG+이/JKS
있는	있/VA+는/ETM
병사를	병사/NNG+를/JKO
가려내	가려내/VV+어/EC
해당	해당/NNG
중대장에게	중대장/NNG+에게/JKB
귀띔해	귀띔/NNG+하/XSV+아/EC
준다.	주/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.422.5.2
대부분은 휴가를 다녀오고 나서 침체해 있는 병사들이다.

대부분은	대/XPN+부분/NNG+은/JX
휴가를	휴가/NNG+를/JKO
다녀오고	다녀오/VV+고/EC
나서	나/VX+아서/EC
침체해	침체/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
병사들이다.	병사/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000030.422.5.3
그런 장병을 중대장에게 알려 면담을 통해 고민을 해결해 주는 식이다.

그런	그런/MMD
장병을	장병/NNG+을/JKO
중대장에게	중대장/NNG+에게/JKB
알려	알리/VV+어/EC
면담을	면담/NNG+을/JKO
통해	통하/VV+아/EC
고민을	고민/NNG+을/JKO
해결해	해결/NNG+하/XSV+아/EC
주는	주/VX+는/ETM
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.422.5.4
여자친구와 헤어진 병사, 집에 걱정거리가 생긴 병사 등 김씨는 눈은 쪽집게처럼 정확하게 이들의 고민을 찾아내고 있다.

여자친구와	여자/NNG+친구/NNG+와/JKB
헤어진	헤어지/VV+ㄴ/ETM
병사,	병사/NNG+,/SP
집에	집/NNG+에/JKB
걱정거리가	걱정거리/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
병사	병사/NNG
등	등/NNB
김씨는	김/NNP+씨/NNB+는/JX
눈은	눈/NNG+은/JX
쪽집게처럼	쪽집게/NNG+처럼/JKB
정확하게	정확/NNG+하/XSA+게/EC
이들의	이/NP+들/XSN+의/JKG
고민을	고민/NNG+을/JKO
찾아내고	찾아내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.422.6.1
장병의 급식도 김씨의 손을 거치면 전투력 향상의 식단으로 탈바꿈한다.

장병의	장병/NNG+의/JKG
급식도	급식/NNG+도/JX
김씨의	김/NNP+씨/NNB+의/JKG
손을	손/NNG+을/JKO
거치면	거치/VV+면/EC
전투력	전투력/NNG
향상의	향상/NNG+의/JKG
식단으로	식단/NNG+으로/JKB
탈바꿈한다.	탈바꿈/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.422.6.2
남거나 선호하는 음식재료를 이용해 추가 메뉴를 만들어 장병에게 제공하고, 생일을 맞은 병사들에게는 특별히 미역국과 계란 후라이 등을 만들어 주기도 한다.

남거나	남/VV+거나/EC
선호하는	선호/NNG+하/XSV+는/ETM
음식재료를	음식/NNG+재료/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
추가	추가/NNG
메뉴를	메뉴/NNG+를/JKO
만들어	만들/VV+어/EC
장병에게	장병/NNG+에게/JKB
제공하고,	제공/NNG+하/XSV+고/EC+,/SP
생일을	생일/NNG+을/JKO
맞은	맞/VV+은/ETM
병사들에게는	병사/NNG+들/XSN+에게/JKB+는/JX
특별히	특별히/MAG
미역국과	미역국/NNG+과/JC
계란	계란/NNG
후라이	후라이/NNG
등을	등/NNB+을/JKO
주기도	주/VX+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.422.7.1
스스로 개발한 메뉴로 급식의 질을 개선한다.

스스로	스스로/MAG
개발한	개발/NNG+하/XSV+ㄴ/ETM
메뉴로	메뉴/NNG+로/JKB
급식의	급식/NNG+의/JKG
질을	질/NNG+을/JKO
개선한다.	개선/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.422.7.2
얼마 전에는 김씨가 추천한 시금치 두부무침이 군단 표준 메뉴로 선정되기도 했다.

얼마	얼마/NNG
전에는	전/NNG+에/JKB+는/JX
김씨가	김/NNP+씨/NNB+가/JKS
추천한	추천/NNG+하/XSV+ㄴ/ETM
시금치	시금치/NNG
두부무침이	두부무침/NNG+이/JKS
군단	군단/NNG
표준	표준/NNG
메뉴로	메뉴/NNG+로/JKB
선정되기도	선정/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.422.7.3
장병의 이모이자 어머니이기도 한 김씨는 사단 모범식당 선발에 평가관으로도 활약하고 있다.

장병의	장병/NNG+의/JKG
