# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.39
metadata : {}


# id : NWRW1800000046.39.1.1
"친구가 싸우면 화해시키는 것처럼 韓·日갈등에 美가 나설 수도 있어"

"친구가	"/SS+친구/NNG+가/JKS
싸우면	싸우/VV+면/EC
화해시키는	화해/NNG+시키/XSV+는/ETM
것처럼	것/NNB+처럼/JKB
韓·日갈등에	韓/SH+·/SP+日/SH+갈등/NNG+에/JKB
美가	美/SH+가/JKS
나설	나서/VV+ㄹ/ETM
수도	수/NNB+도/JX
있어"	있/VA+어/EF+"/SS


# id : NWRW1800000046.39.2.1
'사사카와' 블레어 이사장… 대표적 親日단체지만 지난 8월 아베담화 비판

'사사카와'	'/SS+사사카와/NNP+'/SS
블레어	블레어/NNP
이사장…	이사장/NNG+…/SE
대표적	대표/NNG+적/XSN
親日단체지만	親日/SH+단체/NNG+이/VCP+지만/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
아베담화	아베/NNP+담화/NNG
비판	비판/NNG


# id : NWRW1800000046.39.3.1
대표적인 일본의 대미(對美) 로비 창구로 알려진 사사카와 평화재단 USA의 이사장인 데니스 블레어(68) 전 국가정보장(國家情報長·Director of National Intelligence)은 "역사를 제대로 가르치지 않으면 극단적인 시각에 빠져들기 쉽다"며 "잘한 것, 잘못한 점 모두를 제대로 알려야 한다"고 말했다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
일본의	일본/NNP+의/JKG
대미(對美)	대미/NNG+(/SS+對美/SH+)/SS
로비	로비/NNG
창구로	창구/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
사사카와	사사카와/NNP
평화재단	평화/NNG+재단/NNG
USA의	USA/SL+의/JKG
이사장인	이사장/NNG+이/VCP+ㄴ/ETM
데니스	데니스/NNP
블레어(68)	블레어/NNP+(/SS+68/SN+)/SS
전	전/MMD
국가정보장(國家情報長·Director	국가/NNG+정보장/NNG+(/SS+國家情報長/SH+·/SP+Director/SL
of	of/SL
National	National/SL
Intelligence)은	Intelligence/SL+)/SS+은/JX
"역사를	"/SS+역사/NNG+를/JKO
제대로	제대로/MAG
가르치지	가르치/VV+지/EC
않으면	않/VX+으면/EC
극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
시각에	시각/NNG+에/JKB
빠져들기	빠져들/VV+기/ETN
쉽다"며	쉽/VA+다/EF+"/SS+며/EC
"잘한	"/SS+잘/MAG+하/XSV+ㄴ/ETM
것,	것/NNB+,/SP
잘못한	잘못/MAG+하/XSV+ㄴ/ETM
점	점/NNG
모두를	모두/NNG+를/JKO
알려야	알리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.39.4.1
블레어 이사장은 8일(현지 시각) 조선일보와 가진 단독인터뷰에서 지난 8월 아베 담화를 강하게 비판한 이유를 밝혔다.

블레어	블레어/NNP
이사장은	이사장/NNG+은/JX
8일(현지	8/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
조선일보와	조선일보/NNP+와/JKB
가진	가지/VV+ㄴ/ETM
단독인터뷰에서	단독/NNG+인터뷰/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
아베	아베/NNP
담화를	담화/NNG+를/JKO
강하게	강하/VA+게/EC
비판한	비판/NNG+하/XSV+ㄴ/ETM
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.39.4.2
좀 더 양국 관계가 좋아질 수 있는데, 아쉬움이 있었다는 것이다.

좀	좀/MAG
더	더/MAG
양국	양국/NNG
관계가	관계/NNG+가/JKS
좋아질	좋/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
아쉬움이	아쉬움/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.4.3
