# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.437
metadata : {}


# id : NWRW1800000048.437.1.1
새정치, 오픈프라이머리 당론 채택 무산

새정치,	새정치/NNP+,/SP
오픈프라이머리	오픈프라이머리/NNG
당론	당론/NNG
채택	채택/NNG
무산	무산/NNG


# id : NWRW1800000048.437.2.1
의총 열었지만 찬반 의견 엇갈려

의총	의총/NNG
열었지만	열/VV+었/EP+지만/EC
찬반	찬반/NNG
의견	의견/NNG
엇갈려	엇갈리/VV+어/EF


# id : NWRW1800000048.437.3.1
‘현역의원 20% 물갈이’ 놓고 격론

‘현역의원	‘/SS+현역/NNG+의원/NNG
20%	20/SN+%/SW
물갈이’	물갈이/NNG+’/SS
놓고	놓/VV+고/EC
격론	격론/NNG


# id : NWRW1800000048.437.4.1
박지원, 문재인 만나 거취결단 촉구

박지원,	박지원/NNP+,/SP
문재인	문재인/NNP
만나	만나/VV+아/EC
거취결단	거취/NNG+결단/NNG
촉구	촉구/NNG


# id : NWRW1800000048.437.5.1
새정치민주연합이 12일 당내 갈등의 불씨인 오픈프라이머리(완전국민경선제) 도입 여부를 놓고 의원총회를 열었으나 찬반 의견이 엇갈려 당론 채택에 이르지 못했다.

새정치민주연합이	새정치민주연합/NNP+이/JKS
12일	12/SN+일/NNB
당내	당내/NNG
갈등의	갈등/NNG+의/JKG
불씨인	불씨/NNG+이/VCP+ㄴ/ETM
오픈프라이머리(완전국민경선제)	오픈프라이머리/NNG+(/SS+완전/NNG+국민/NNG+경선/NNG+제/XSN+)/SS
도입	도입/NNG
여부를	여부/NNG+를/JKO
놓고	놓/VV+고/EC
의원총회를	의원/NNG+총회/NNG+를/JKO
열었으나	열/VV+었/EP+으나/EC
찬반	찬반/NNG
의견이	의견/NNG+이/JKS
엇갈려	엇갈리/VV+어/EC
당론	당론/NNG
채택에	채택/NNG+에/JKB
이르지	이르/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.437.6.1
이날 의총은 최규성 의원이 지난달 18일 국회의원 79명의 서명을 받아 오픈프라이머리를 당론으로 채택할 것을 요구해 열렸다.

이날	이날/NNG
의총은	의총/NNG+은/JX
최규성	최규성/NNP
의원이	의원/NNG+이/JKS
지난달	지난달/NNG
18일	18/SN+일/NNB
국회의원	국회/NNG+의원/NNG
79명의	79/SN+명/NNB+의/JKG
서명을	서명/NNG+을/JKO
받아	받/VV+아/EC
오픈프라이머리를	오픈프라이머리/NNG+를/JKO
당론으로	당론/NNG+으로/JKB
채택할	채택/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
요구해	요구/NNG+하/XSV+아/EC
열렸다.	열리/VV+었/EP+다/EF+./SF
