# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.358
metadata : {}


# id : NWRW1800000030.358.1.1
[수도권Ⅱ] [우리동네 지명유래] (36) 양주시 불곡산

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SL+]/SS
[우리동네	[/SS+우리/NP+동네/NNG
지명유래]	지명/NNG+유래/NNG+]/SS
(36)	(/SS+36/SN+)/SS
양주시	양주시/NNP
불곡산	불곡산/NNP


# id : NWRW1800000030.358.2.1
•온 계곡이 회양목으로 붉게 물든 '붉은 골짜기'

•온	•/SW+온/MMN
계곡이	계곡/NNG+이/JKS
회양목으로	회양목/NNG+으로/JKB
붉게	붉/VA+게/EC
물든	물들/VV+ㄴ/ETM
'붉은	'/SS+붉/VA+은/ETM
골짜기'	골짜기/NNG+'/SS


# id : NWRW1800000030.358.3.1
양주시 유양동과 백석읍의 경계를 이루는 불곡산(佛谷山)은 흔히 '양주의 진산(鎭山)'으로 불린다.

양주시	양주시/NNP
유양동과	유양동/NNP+과/JC
백석읍의	백석읍/NNP+의/JKG
경계를	경계/NNG+를/JKO
이루는	이루/VV+는/ETM
불곡산(佛谷山)은	불곡산/NNP+(/SS+佛谷山/SH+)/SS+은/JX
흔히	흔히/MAG
'양주의	'/SS+양주/NNP+의/JKG
진산(鎭山)'으로	진산/NNG+(/SS+鎭山/SH+)/SS+'/SS+으로/JKB
불린다.	불리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.3.2
해발 468m 높이의 아담한 바위산이지만 해맞이 명소답게 전망이 빼어나다.

해발	해발/NNG
468m	468/SN+m/SW
높이의	높이/NNG+의/JKG
아담한	아담하/VA+ㄴ/ETM
바위산이지만	바위산/NNG+이/VCP+지만/EC
해맞이	해맞이/NNG
명소답게	명소/NNG+답/XSA+게/EC
전망이	전망/NNG+이/JKS
빼어나다.	빼어나/VA+다/EF+./SF


# id : NWRW1800000030.358.3.3
사방으로 양주, 의정부, 동두천 시내와 도봉산, 북한산이 내려다 보인다.

사방으로	사방/NNG+으로/JKB
양주,	양주/NNP+,/SP
의정부,	의정부/NNP+,/SP
동두천	동두천/NNP
시내와	시내/NNG+와/JC
도봉산,	도봉산/NNP+,/SP
북한산이	북한산/NNP+이/JKS
내려다	내리/VV+어다/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.4.1
불국산(佛國山)이라고도 불리는 불곡산은 불교와 관련된 이름 같지만 실은 산 기슭에 우거진 회양목에서 유래됐다고 한다.

불국산(佛國山)이라고도	불국산/NNP+(/SS+佛國山/SH+)/SS+이/VCP+라고/EC+도/JX
불리는	불리/VV+는/ETM
불곡산은	불곡산/NNP+은/JX
불교와	불교/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
이름	이름/NNG
같지만	같/VA+지만/EC
실은	실은/MAG
산	산/NNG
기슭에	기슭/NNG+에/JKB
우거진	우거지/VV+ㄴ/ETM
회양목에서	회양목/NNG+에서/JKB
유래됐다고	유래/NNG+되/XSV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.4.2
겨울이 되면 온 계곡이 회양목으로 붉게 물든다고 해서 불곡산이라고 불렸다고 한다.

겨울이	겨울/NNG+이/JKC
되면	되/VV+면/EC
온	온/MMN
계곡이	계곡/NNG+이/JKS
회양목으로	회양목/NNG+으로/JKB
붉게	붉/VA+게/EC
물든다고	물들/VV+ㄴ다고/EC
해서	하/VV+아서/EC
불곡산이라고	불곡산/NNP+이/VCP+라고/EC
불렸다고	불리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.4.3
불곡은 '붉은 골짜기'를 그대로 쓴 것이다.

불곡은	불곡/NNP+은/JX
'붉은	'/SS+붉/VA+은/ETM
골짜기'를	골짜기/NNG+'/SS+를/JKO
그대로	그대로/MAG
쓴	쓰/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.358.4.4
산 중턱에 있는 백화암(白華庵)도 898년 신라 도선국사가 창건할 당시에는 불곡사(佛谷寺)라고 불렸다.

산	산/NNG
중턱에	중턱/NNG+에/JKB
있는	있/VV+는/ETM
백화암(白華庵)도	백화암/NNP+(/SS+白華庵/SH+)/SS+도/JX
898년	898/SN+년/NNB
신라	신라/NNP
도선국사가	도선국사/NNP+가/JKS
창건할	창건/NNG+하/XSV+ㄹ/ETM
당시에는	당시/NNG+에/JKB+는/JX
불곡사(佛谷寺)라고	불곡사/NNP+(/SS+佛谷寺/SH+)/SS+이/VCP+라고/EC
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.358.4.5
하지만 계곡을 뒤덮었던 회양목은 현재 산 남동쪽 계곡에만 일부 군락을 이루고 있다.

하지만	하지만/MAJ
계곡을	계곡/NNG+을/JKO
뒤덮었던	뒤덮/VV+었/EP+던/ETM
회양목은	회양목/NNG+은/JX
현재	현재/MAG
산	산/NNG
남동쪽	남동쪽/NNG
계곡에만	계곡/NNG+에/JKB+만/JX
일부	일부/NNG
군락을	군락/NNG+을/JKO
이루고	이루/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.358.5.1
불곡산에는 임꺽정봉(450m) 등 조선 명종 때의 의적인 임꺽정과 관련된 지명이 많다.

불곡산에는	불곡산/NNP+에/JKB+는/JX
임꺽정봉(450m)	임꺽정봉/NNP+(/SS+450/SN+m/SW+)/SS
등	등/NNB
조선	조선/NNP
명종	명종/NNP
때의	때/NNG+의/JKG
의적인	의적/NNG+이/VCP+ㄴ/ETM
임꺽정과	임꺽정/NNP+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
지명이	지명/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000030.358.5.2
불곡산 아래 유양동(維楊洞)은 임꺽정이 태어난 곳으로 전해진다.

불곡산	불곡산/NNP
아래	아래/NNG
유양동(維楊洞)은	유양동/NNP+(/SS+維楊洞/SH+)/SS+은/JX
임꺽정이	임꺽정/NNP+이/JKS
태어난	태어나/VV+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000030.358.5.3
임꺽정의 생가 터도 보존돼 있다.

임꺽정의	임꺽정/NNP+의/JKG
생가	생가/NNG
터도	터/NNG+도/JX
보존돼	보존/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.358.5.4
양주시는 지난 2000년 고증위원회를 구성해 임꺽정과 관련된 학술 보고서를 내기도 했다.

양주시는	양주시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2000년	2000/SN+년/NNB
고증위원회를	고증/NNG+위원회/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
임꺽정과	임꺽정/NNP+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
학술	학술/NNG
보고서를	보고서/NNG+를/JKO
내기도	내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.358.5.5
불곡산 일대에는 홍명희의 소설 '임꺽정'에서 도적들의 소굴이었던 '청석골'과 비슷한 청송골, 청소골 등의 지명도 남아있다.

불곡산	불곡산/NNP
일대에는	일대/NNG+에/JKB+는/JX
홍명희의	홍명희/NNP+의/JKG
소설	소설/NNG
'임꺽정'에서	'/SS+임꺽정/NNP+'/SS+에서/JKB
도적들의	도적/NNG+들/XSN+의/JKG
소굴이었던	소굴/NNG+이/VCP+었/EP+던/ETM
'청석골'과	'/SS+청석골/NNP+'/SS+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
청송골,	청송골/NNP+,/SP
청소골	청소골/NNP
등의	등/NNB+의/JKG
지명도	지명/NNG+도/JX
남아있다.	남/VV+아/EC+있/VX+다/EF+./SF


# id : NWRW1800000030.358.5.6
이 일대는 전망이 뛰어나 관군들의 움직임을 살피는 데 유리했을 것으로 보인다.

이	이/MMD
일대는	일대/NNG+는/JX
전망이	전망/NNG+이/JKS
뛰어나	뛰어나/VA+아/EC
관군들의	관군/NNG+들/XSN+의/JKG
움직임을	움직임/NNG+을/JKO
살피는	살피/VV+는/ETM
데	데/NNB
유리했을	유리/NNG+하/XSA+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.6.1
불곡산은 서울과 가까우면서도 호젓하게 산행을 즐길 수 있는 곳이다.

불곡산은	불곡산/NNP+은/JX
서울과	서울/NNP+과/JKB
가까우면서도	가깝/VA+으면서/EC+도/JX
호젓하게	호젓하/VA+게/EC
산행을	산행/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.358.6.2
산행 시간도 3~4시간이면 충분하다.

산행	산행/NNG
시간도	시간/NNG+도/JX
3~4시간이면	3/SN+~/SO+4/SN+시간/NNB+이/VCP+면/EC
충분하다.	충분하/VA+다/EF+./SF


# id : NWRW1800000030.358.6.3
바위를 오르는 스릴은 덤이다.

바위를	바위/NNG+를/JKO
오르는	오르/VV+는/ETM
스릴은	스릴/NNG+은/JX
덤이다.	덤/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.358.6.4
불곡산 아래는 중요무형문화재 제2호인 양주별산대놀이 공연장도 있어 함께 들를 만하다.

불곡산	불곡산/NNP
아래는	아래/NNG+는/JX
중요무형문화재	중요/NNG+무형/NNG+문화재/NNG
제2호인	제/XPN+2/SN+호/NNB+이/VCP+ㄴ/ETM
양주별산대놀이	양주별산대놀이/NNP
공연장도	공연장/NNG+도/JX
있어	있/VA+어/EC
함께	함께/MAG
들를	들르/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000030.358.7.1
하지만 올해는 구제역 파동으로 연초에 열리던 해맞이 행사가 취소되고 5월 15일까지 입산이 통제된다.

하지만	하지만/MAJ
올해는	올해/NNG+는/JX
구제역	구제역/NNG
파동으로	파동/NNG+으로/JKB
연초에	연초/NNG+에/JKB
열리던	열리/VV+던/ETM
해맞이	해맞이/NNG
행사가	행사/NNG+가/JKS
취소되고	취소/NNG+되/XSV+고/EC
5월	5/SN+월/NNB
15일까지	15/SN+일/NNB+까지/JX
입산이	입산/NNG+이/JKS
통제된다.	통제/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.358.7.2
봄철 산불을 예방하고 구제역의 추가 확산을 막기 위해서다.

봄철	봄철/NNG
산불을	산불/NNG+을/JKO
예방하고	예방/NNG+하/XSV+고/EC
구제역의	구제역/NNG+의/JKG
추가	추가/NNG
확산을	확산/NNG+을/JKO
막기	막/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


