# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.91
metadata : {}


# id : NWRW1800000045.91.1.1
한림대, 한림케어전형, 사회배려대상자 면담으로 선발

한림대,	한림대/NNP+,/SP
한림케어전형,	한림/NNP+케어/NNG+전형/NNG+,/SP
사회배려대상자	사회/NNG+배려/NNG+대상자/NNG
면담으로	면담/NNG+으로/JKB
선발	선발/NNG


# id : NWRW1800000045.91.2.1
[학생부종합전형 필승전략]입학처 033-248-1302∼15

[학생부종합전형	[/SS+학생부/NNG+종합/NNG+전형/NNG
필승전략]입학처	필승/NNG+전략/NNG+]/SS+입학처/NNG
033-248-1302∼15	033/SN+-/SO+248/SN+-/SO+1302/SN+∼/SO+15/SN


# id : NWRW1800000045.91.3.1
올해 한림대는 수시모집에서 의과대학(간호학부·의예과) 학생부종합전형의 수능 최저학력기준을 폐지하거나 완화했다.

올해	올해/NNG
한림대는	한림대/NNP+는/JX
수시모집에서	수시/NNG+모집/NNG+에서/JKB
의과대학(간호학부·의예과)	의과/NNG+대학/NNG+(/SS+간호학부/NNG+·/SP+의예과/NNG+)/SS
학생부종합전형의	학생부/NNG+종합/NNG+전형/NNG+의/JKG
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
폐지하거나	폐지/NNG+하/XSV+거나/EC
완화했다.	완화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.91.3.2
또 지역인재전형도 전년보다 111명 늘린 200명을 선발한다.

또	또/MAG
지역인재전형도	지역/NNG+인재/NNG+전형/NNG+도/JX
전년보다	전년/NNG+보다/JKB
111명	111/SN+명/NNB
늘린	늘리/VV+ㄴ/ETM
200명을	200/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.4.1
2016학년도 학생부종합전형에서 가장 눈에 띄는 특징은 한림케어전형 신설과 의과대학 수능최저등급 폐지 및 완화다.

2016학년도	2016/SN+학년도/NNG
학생부종합전형에서	학생부/NNG+종합/NNG+전형/NNG+에서/JKB
가장	가장/MAG
눈에	눈/NNG+에/JKB
띄는	띄/VV+는/ETM
특징은	특징/NNG+은/JX
한림케어전형	한림/NNP+케어/NNG+전형/NNG
신설과	신설/NNG+과/JC
의과대학	의과/NNG+대학/NNG
수능최저등급	수능/NNG+최저/NNG+등급/NNG
폐지	폐지/NNG
및	및/MAG
완화다.	완화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.91.5.1
29명을 뽑는 한림케어전형은 입학사정관과의 심층면담을 통해 장학금을 지원하고 각종 프로그램에 우선 참여 기회를 부여해 학업 유지와 개인역량 강화를 지원한다.

29명을	29/SN+명/NNB+을/JKO
뽑는	뽑/VV+는/ETM
한림케어전형은	한림/NNP+케어/NNG+전형/NNG+은/JX
입학사정관과의	입학/NNG+사정관/NNG+과/JKB+의/JKG
심층면담을	심층/NNG+면담/NNG+을/JKO
통해	통하/VV+아/EC
장학금을	장학금/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
각종	각종/NNG
프로그램에	프로그램/NNG+에/JKB
우선	우선/MAG
참여	참여/NNG
기회를	기회/NNG+를/JKO
부여해	부여/NNG+하/XSV+아/EC
학업	학업/NNG
유지와	유지/NNG+와/JC
개인역량	개인/NNG+역량/NNG
강화를	강화/NNG+를/JKO
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.5.2
국가보훈대상자 및 대학이 정한 사회배려대상자가 지원할 수 있다.

국가보훈대상자	국가/NNG+보훈/NNG+대상자/NNG
및	및/MAG
대학이	대학/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
사회배려대상자가	사회/NNG+배려/NNG+대상자/NNG+가/JKS
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.91.6.1
간호학부는 2016학년도 전형에서 수능 최저학력기준을 폐지했다.

간호학부는	간호학부/NNG+는/JX
2016학년도	2016/SN+학년도/NNG
전형에서	전형/NNG+에서/JKB
수능	수능/NNG
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
폐지했다.	폐지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.91.6.2
의예과의 경우 전공역량우수자전형과 지역인재전형에서는 최저학력기준을 완화했고, 농어촌전형에서는 최저학력기준을 폐지했다.

의예과의	의예과/NNG+의/JKG
경우	경우/NNG
전공역량우수자전형과	전공/NNG+역량/NNG+우수자/NNG+전형/NNG+과/JC
지역인재전형에서는	지역/NNG+인재/NNG+전형/NNG+에서/JKB+는/JX
최저학력기준을	최저/NNG+학력/NNG+기준/NNG+을/JKO
완화했고,	완화/NNG+하/XSV+았/EP+고/EC+,/SP
농어촌전형에서는	농어촌/NNG+전형/NNG+에서/JKB+는/JX
폐지했다.	폐지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.91.6.3
의예과 수능최저등급은 국어(A), 수학(B), 영어, 과학탐구(2과목 평균) 중 3개 영역 합 4등급 이내다.

의예과	의예과/NNG
수능최저등급은	수능/NNG+최저/NNG+등급/NNG+은/JX
국어(A),	국어/NNG+(/SS+A/SL+)/SS+,/SP
수학(B),	수학/NNG+(/SS+B/SL+)/SS+,/SP
영어,	영어/NNP+,/SP
과학탐구(2과목	과학/NNG+탐구/NNG+(/SS+2/SN+과목/NNG
평균)	평균/NNG+)/SS
중	중/NNB
3개	3/SN+개/NNB
영역	영역/NNG
합	합/NNG
4등급	4/SN+등급/NNG
이내다.	이내/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.91.6.4
한림대는 의과대학 수능 최저등급기준 완화와 폐지를 통해 의대 지원자들의 부담이 완화될 것으로 기대하고 있다.

한림대는	한림대/NNP+는/JX
의과대학	의과/NNG+대학/NNG
수능	수능/NNG
최저등급기준	최저/NNG+등급/NNG+기준/NNG
완화와	완화/NNG+와/JC
폐지를	폐지/NNG+를/JKO
통해	통하/VV+아/EC
의대	의대/NNG
지원자들의	지원자/NNG+들/XSN+의/JKG
부담이	부담/NNG+이/JKS
완화될	완화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.91.7.1
학생부종합전형은 다단계로 진행된다.

학생부종합전형은	학생부/NNG+종합/NNG+전형/NNG+은/JX
다단계로	다단계/NNG+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.7.2
1단계 서류평가는 지원자별로 3명의 평가자가 자기소개서와 학교생활기록부를 정성 평가해 모집인원의 3배수 내외를 선발한다.

1단계	1/SN+단계/NNG
서류평가는	서류/NNG+평가/NNG+는/JX
지원자별로	지원자/NNG+별/XSN+로/JKB
3명의	3/SN+명/NNB+의/JKG
평가자가	평가자/NNG+가/JKS
자기소개서와	자기소개서/NNG+와/JC
학교생활기록부를	학교생활/NNG+기록부/NNG+를/JKO
정성	정성/NNG
평가해	평가/NNG+하/XSV+아/EC
모집인원의	모집/NNG+인원/NNG+의/JKG
3배수	3/SN+배수/NNG
내외를	내외/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.7.3
의예과는 6배수 안팎으로 선발한다.

의예과는	의예과/NNG+는/JX
6배수	6/SN+배수/NNG
안팎으로	안팎/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.7.4
서류평가영역은 학업성취역량(30%), 지식수용가능역량(20%), 성장잠재역량(20%), 인성역량(30%) 등 4개 영역으로 구분해 평가한다.

서류평가영역은	서류/NNG+평가/NNG+영역/NNG+은/JX
학업성취역량(30%),	학업/NNG+성취/NNG+역량/NNG+(/SS+30/SN+%/SW+)/SS+,/SP
지식수용가능역량(20%),	지식/NNG+수용/NNG+가능/NNG+역량/NNG+(/SS+20/SN+%/SW+)/SS+,/SP
성장잠재역량(20%),	성장/NNG+잠재/NNG+역량/NNG+(/SS+20/SN+%/SW+)/SS+,/SP
인성역량(30%)	인성/NNG+역량/NNG+(/SS+30/SN+%/SW+)/SS
등	등/NNB
4개	4/SN+개/NNB
영역으로	영역/NNG+으로/JKB
구분해	구분/NNG+하/XSV+아/EC
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.8.1
2단계 면접평가는 심층면접 방식으로 3명의 면접관이 15분 동안 수험생 1명에 대한 면접을 진행한다.

2단계	2/SN+단계/NNG
면접평가는	면접/NNG+평가/NNG+는/JX
심층면접	심층/NNG+면접/NNG
방식으로	방식/NNG+으로/JKB
3명의	3/SN+명/NNB+의/JKG
면접관이	면접관/NNG+이/JKS
15분	15/SN+분/NNB
동안	동안/NNG
수험생	수험/NNG+생/XSN
1명에	1/SN+명/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
면접을	면접/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.8.2
서류검증영역(30%), 인성영역(30%), 잠재력영역(40%) 등 3개 영역으로 구분해 평가한다.

서류검증영역(30%),	서류/NNG+검증/NNG+영역/NNG+(/SS+30/SN+%/SW+)/SS+,/SP
인성영역(30%),	인성/NNG+영역/NNG+(/SS+30/SN+%/SW+)/SS+,/SP
잠재력영역(40%)	잠재력/NNG+영역/NNG+(/SS+40/SN+%/SW+)/SS
등	등/NNB
3개	3/SN+개/NNB
영역으로	영역/NNG+으로/JKB
구분해	구분/NNG+하/XSV+아/EC
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.9.1
서류검증영역에서는 자기소개서 및 학생부 내용을 확인하고, 인성영역은 한림대 인재상에 따른 배려, 관용, 포용, 개방성을 평가한다.

서류검증영역에서는	서류/NNG+검증/NNG+영역/NNG+에서/JKB+는/JX
자기소개서	자기소개서/NNG
및	및/MAG
학생부	학생부/NNG
내용을	내용/NNG+을/JKO
확인하고,	확인/NNG+하/XSV+고/EC+,/SP
인성영역은	인성/NNG+영역/NNG+은/JX
한림대	한림대/NNP
인재상에	인재상/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
배려,	배려/NNG+,/SP
관용,	관용/NNG+,/SP
포용,	포용/NNG+,/SP
개방성을	개방/NNG+성/XSN+을/JKO
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.9.2
잠재력영역은 전공 적합성, 기초수학능력, 학업의지 등을 평가한다.

잠재력영역은	잠재력/NNG+영역/NNG+은/JX
전공	전공/NNG
