# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.6
metadata : {}


# id : NWRW1800000022.6.1.1
고속도로경유 서울행 광역버스 증차;판교 오가는 9006번 버스도 17일부터 운행

고속도로경유	고속/NNG+도로/NNG+경유/NNG
서울행	서울행/NNG
광역버스	광역/NNG+버스/NNG
증차;판교	증차/NNG+;/SW+판교/NNP
오가는	오가/VV+는/ETM
9006번	9006/SN+번/NNB
버스도	버스/NNG+도/JX
17일부터	17/SN+일/NNB+부터/JX
운행	운행/NNG


# id : NWRW1800000022.6.2.1
경기도는 최근 시작된 판교 신도시 입주에 발맞춰 판교에서 서울을 오가는 광역버스 4개 노선을 신설해 운행키로 했다.

경기도는	경기도/NNP+는/JX
최근	최근/MAG
시작된	시작/NNG+되/XSV+ㄴ/ETM
판교	판교/NNP
신도시	신/XPN+도시/NNG
입주에	입주/NNG+에/JKB
발맞춰	발맞추/VV+어/EC
판교에서	판교/NNP+에서/JKB
서울을	서울/NNP+을/JKO
오가는	오가/VV+는/ETM
광역버스	광역/NNG+버스/NNG
4개	4/SN+개/NNB
노선을	노선/NNG+을/JKO
신설해	신설/NNG+하/XSV+아/EC
운행키로	운행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.6.3.1
모두 43대의 버스가 투입되는 신설 노선의 번호는 9003번(성남 운중동~서울역), 9004번(운중동~강남역), 9005번(운중동~잠실역), 9006번(성남 테크노파크~사당역)이다.

모두	모두/MAG
43대의	43/SN+대/NNB+의/JKG
버스가	버스/NNG+가/JKS
투입되는	투입/NNG+되/XSV+는/ETM
신설	신설/NNG
노선의	노선/NNG+의/JKG
번호는	번호/NNG+는/JX
9003번(성남	9003/SN+번/NNB+(/SS+성남/NNP
운중동~서울역),	운중동/NNP+~/SO+서울역/NNP+)/SS+,/SP
9004번(운중동~강남역),	9004/SN+번/NNB+(/SS+운중동/NNP+~/SO+강남역/NNP+)/SS+,/SP
9005번(운중동~잠실역),	9005/SN+번/NNB+(/SS+운중동/NNP+~/SO+잠실역/NNP+)/SS+,/SP
9006번(성남	9006/SN+번/NNB+(/SS+성남/NNP
테크노파크~사당역)이다.	테크노파크/NNP+~/SO+사당역/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000022.6.3.2
이 가운데 9003번, 9004번, 9005번 노선은 지난달 29일부터 부분적으로 운행을 시작했으며 9006번은 오는 17일부터 운행할 예정이다.

이	이/MMD
가운데	가운데/NNG
9003번,	9003/SN+번/NNB+,/SP
9004번,	9004/SN+번/NNB+,/SP
9005번	9005/SN+번/NNB
노선은	노선/NNG+은/JX
지난달	지난달/NNG
29일부터	29/SN+일/NNB+부터/JX
부분적으로	부분/NNG+적/XSN+으로/JKB
운행을	운행/NNG+을/JKO
시작했으며	시작/NNG+하/XSV+았/EP+으며/EC
9006번은	9006/SN+번/NNB+은/JX
오는	오/VV+는/ETM
17일부터	17/SN+일/NNB+부터/JX
운행할	운행/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.6.4.1
경기도는 또 3월 말까지 경부고속도로를 경유해 서울을 오가는 10개 노선에도 56대의 광역버스를 추가 투입하기로 했다.

경기도는	경기도/NNP+는/JX
또	또/MAG
3월	3/SN+월/NNB
말까지	말/NNB+까지/JX
경부고속도로를	경부고속도로/NNP+를/JKO
경유해	경유/NNG+하/XSV+아/EC
서울을	서울/NNP+을/JKO
오가는	오가/VV+는/ETM
10개	10/SN+개/NNB
노선에도	노선/NNG+에/JKB+도/JX
56대의	56/SN+대/NNB+의/JKG
광역버스를	광역/NNG+버스/NNG+를/JKO
추가	추가/NNG
투입하기로	투입/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.6.4.2
이들 노선은 출퇴근 시간대에 이용객이 집중해 극심한 차내 혼잡으로 인해 승객들이 불편을 겪어왔다.

이들	이/NP+들/XSN
노선은	노선/NNG+은/JX
출퇴근	출퇴근/NNG
시간대에	시간대/NNG+에/JKB
이용객이	이용객/NNG+이/JKS
집중해	집중/NNG+하/XSV+아/EC
극심한	극심하/VA+ㄴ/ETM
차내	차내/NNG
혼잡으로	혼잡/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
승객들이	승객/NNG+들/XSN+이/JKS
불편을	불편/NNG+을/JKO
겪어왔다.	겪/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.6.5.1
증차되는 노선은 5000번(용인 동백~서울역), 5001번(용인 남동~강남역), 5005번(남동~서울역), 5800번(남동~강변역), 9000번(죽전~서울역), 5500-1번(경희대~서울역), 1005-1번(단국대~서울역), 5500-2번(경기대~서울역), 9001번(죽전~서울역), 1550-2번(수원대~양재역)이다.

증차되는	증차/NNG+되/XSV+는/ETM
노선은	노선/NNG+은/JX
5000번(용인	5000/SN+번/NNB+(/SS+용인/NNP
동백~서울역),	동백/NNP+~/SO+서울역/NNP+)/SS+,/SP
5001번(용인	5001/SN+번/NNB+(/SS+용인/NNP
남동~강남역),	남동/NNP+~/SO+강남역/NNP+)/SS+,/SP
5005번(남동~서울역),	5005/SN+번/NNB+(/SS+남동/NNP+~/SO+서울역/NNP+)/SS+,/SP
5800번(남동~강변역),	5800/SN+번/NNB+(/SS+남동/NNP+~/SO+강변역/NNP+)/SS+,/SP
9000번(죽전~서울역),	9000/SN+번/NNB+(/SS+죽전/NNP+~/SO+서울역/NNP+)/SS+,/SP
5500-1번(경희대~서울역),	5500/SN+-/SO+1/SN+번/NNB+(/SS+경희대/NNP+~/SO+서울역/NNP+)/SS+,/SP
1005-1번(단국대~서울역),	1005/SN+-/SO+1/SN+번/NNB+(/SS+단국대/NNP+~/SO+서울역/NNP+)/SS+,/SP
5500-2번(경기대~서울역),	5500/SN+-/SO+2/SN+번/NNB+(/SS+경기대/NNP+~/SO+서울역/NNP+)/SS+,/SP
9001번(죽전~서울역),	9001/SN+번/NNB+(/SS+죽전/NNP+~/SO+서울역/NNP+)/SS+,/SP
1550-2번(수원대~양재역)이다.	1550/SN+-/SO+2/SN+번/NNB+(/SS+수원대/NNP+~/SO+양재역/NNP+)/SS+이/VCP+다/EF+./SF


