# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.406
metadata : {}


# id : NWRW1800000046.406.1.1
[No-show 사라진 양심 '예약 부도'] (2부-4) "예약·위약금 받고, 양심고객은 할인해줘야"

[No-show	[/SS+No/SL+-/SO+show/SL
사라진	사라지/VV+ㄴ/ETM
양심	양심/NNG
'예약	'/SS+예약/NNG
부도']	부도/NNG+'/SS+]/SS
(2부-4)	(/SS+2부/NNB+-/SO+4/SN+)/SS
"예약·위약금	"/SS+예약/NNG+·/SP+위약금/NNG
받고,	받/VV+고/EC+,/SP
양심고객은	양심/NNG+고객/NNG+은/JX
할인해줘야"	할인/NNG+하/XSV+아/EC+주/VX+어야/EC+"/SS


# id : NWRW1800000046.406.2.1
노쇼방지' 전문가의 조언

노쇼방지'	노쇼/NNG+방지/NNG+'/SS
전문가의	전문가/NNG+의/JKG
조언	조언/NNG


# id : NWRW1800000046.406.3.1
전문가들은 한국에서 유독 심각한 '노쇼(예약 부도)' 문화를 뿌리 뽑기 위해선 노쇼 고객에 대한 '채찍'과 '당근'이 동시에 필요하다고 말한다.

전문가들은	전문가/NNG+들/XSN+은/JX
한국에서	한국/NNP+에서/JKB
유독	유독/MAG
심각한	심각하/VA+ㄴ/ETM
'노쇼(예약	'/SS+노쇼/NNG+(/SS+예약/NNG
부도)'	부도/NNG+)/SS+'/SS
문화를	문화/NNG+를/JKO
뿌리	뿌리/NNG
뽑기	뽑/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
노쇼	노쇼/NNG
고객에	고객/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
'채찍'과	'/SS+채찍/NNG+'/SS+과/JC
'당근'이	'/SS+당근/NNG+'/SS+이/JKS
동시에	동시/NNG+에/JKB
필요하다고	필요/NNG+하/XSA+다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.406.4.1
노쇼로 인한 서비스업종의 손실을 줄이기 위해 예약·위약금 등 최소한의 강제 장치를 도입하는 것과 더불어 예약을 잘 지키는 '양심 고객'에게 혜택을 줘야 한다는 것이다.

노쇼로	노쇼/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
서비스업종의	서비스/NNG+업종/NNG+의/JKG
손실을	손실/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
예약·위약금	예약/NNG+·/SP+위약금/NNG
등	등/NNB
최소한의	최소한/NNG+의/JKG
강제	강제/NNG
장치를	장치/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
더불어	더불/VV+어/EC
예약을	예약/NNG+을/JKO
잘	잘/MAG
지키는	지키/VV+는/ETM
'양심	'/SS+양심/NNG
고객'에게	고객/NNG+'/SS+에게/JKB
혜택을	혜택/NNG+을/JKO
줘야	주/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.406.5.1
