# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.185
metadata : {}


# id : NWRW1800000049.185.1.1
병역회피용 국적 포기자 상속-증여세 중과세 추진

병역회피용	병역/NNG+회피/NNG+용/XSN
국적	국적/NNG
포기자	포기자/NNG
상속-증여세	상속/NNG+-/SO+증여세/NNG
중과세	중과세/NNG
추진	추진/NNG


# id : NWRW1800000049.185.2.1
고위공직자 본인에 인사 불이익도

고위공직자	고위/NNG+공직자/NNG
본인에	본인/NNG+에/JKB
인사	인사/NNG
불이익도	불/XPN+이익/NNG+도/JX


# id : NWRW1800000049.185.3.1
정부가 대한민국 국적을 포기하고 병역의무를 벗어난 사람에게 재산 상속 시 불이익을 주는 한편 병역 회피를 위한 국적 포기를 원천 봉쇄하는 방안을 검토하고 있다.

정부가	정부/NNG+가/JKS
대한민국	대한민국/NNP
국적을	국적/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
병역의무를	병역/NNG+의무/NNG+를/JKO
벗어난	벗어나/VV+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
재산	재산/NNG
상속	상속/NNG
시	시/NNB
불이익을	불/XPN+이익/NNG+을/JKO
주는	주/VV+는/ETM
한편	한편/NNG
병역	병역/NNG
회피를	회피/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
국적	국적/NNG
포기를	포기/NNG+를/JKO
원천	원천/NNG
봉쇄하는	봉쇄/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.185.4.1
병무청은 지난달 ‘국적 변경 등을 통한 병역회피자 제재 방안 연구’라는 제목의 연구 용역입찰 공고를 냈다고 11일 밝혔다.

병무청은	병무청/NNG+은/JX
지난달	지난달/NNG
‘국적	‘/SS+국적/NNG
변경	변경/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
병역회피자	병역/NNG+회피자/NNG
제재	제재/NNG
방안	방안/NNG
연구’라는	연구/NNG+’/SS+이/VCP+라는/ETM
제목의	제목/NNG+의/JKG
연구	연구/NNG
용역입찰	용역/NNG+입찰/NNG
공고를	공고/NNG+를/JKO
냈다고	내/VV+었/EP+다고/EC
11일	11/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.185.4.2
이 연구용역 공고에 첨부된 제안요청서에는 병역의무를 이행하지 않고 국적을 이탈·상실한 사람에 대해 상속세 및 증여세 등을 중과세하는 방안이 포함됐다.

이	이/MMD
연구용역	연구/NNG+용역/NNG
공고에	공고/NNG+에/JKB
첨부된	첨부/NNG+되/XSV+ㄴ/ETM
제안요청서에는	제안/NNG+요청서/NNG+에/JKB+는/JX
병역의무를	병역/NNG+의무/NNG+를/JKO
이행하지	이행/NNG+하/XSV+지/EC
않고	않/VX+고/EC
국적을	국적/NNG+을/JKO
이탈·상실한	이탈/NNG+·/SP+상실/NNG+하/XSV+ㄴ/ETM
사람에	사람/NNG+에/JKB
대해	대하/VV+아/EC
상속세	상속세/NNG
및	및/MAG
증여세	증여세/NNG
등을	등/NNB+을/JKO
중과세하는	중과세/NNG+하/XSV+는/ETM
방안이	방안/NNG+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.185.5.1
2002년 미국 시민권을 받아 병역을 회피한 재미동포 가수 유승준에 대해 국내 입국 및 취업 금지 조치를 취한 것 외에도 ‘세금폭탄’을 통해 ‘제2의 유승준’을 확실히 막겠다는 것이다.

2002년	2002/SN+년/NNB
미국	미국/NNP
시민권을	시민/NNG+권/XSN+을/JKO
받아	받/VV+아/EC
병역을	병역/NNG+을/JKO
회피한	회피/NNG+하/XSV+ㄴ/ETM
재미동포	재미/NNG+동포/NNG
가수	가수/NNG
유승준에	유승준/NNP+에/JKB
대해	대하/VV+아/EC
국내	국내/NNG
입국	입국/NNG
및	및/MAG
취업	취업/NNG
금지	금지/NNG
조치를	조치/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
것	것/NNB
외에도	외/NNB+에/JKB+도/JX
‘세금폭탄’을	‘/SS+세금/NNG+폭탄/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
유승준’을	유승준/NNP+’/SS+을/JKO
확실히	확실히/MAG
막겠다는	막/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.185.6.1
군 입대를 앞두고 외국 국적을 취득한 사람에 대해 한국 국적 포기를 제한하는 방안도 검토 대상에 포함됐다.

군	군/NNG
입대를	입대/NNG+를/JKO
앞두고	앞두/VV+고/EC
외국	외국/NNG
국적을	국적/NNG+을/JKO
취득한	취득/NNG+하/XSV+ㄴ/ETM
사람에	사람/NNG+에/JKB
대해	대하/VV+아/EC
한국	한국/NNP
국적	국적/NNG
포기를	포기/NNG+를/JKO
제한하는	제한/NNG+하/XSV+는/ETM
방안도	방안/NNG+도/JX
검토	검토/NNG
대상에	대상/NNG+에/JKB
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.185.6.2
현행법상 한국에서 출생한 후 외국 국적을 취득하면 국적이 자동 상실돼 병역의무를 면할 수 있다.

현행법상	현행법/NNG+상/XSN
한국에서	한국/NNP+에서/JKB
출생한	출생/NNG+하/XSV+ㄴ/ETM
후	후/NNG
외국	외국/NNG
국적을	국적/NNG+을/JKO
취득하면	취득/NNG+하/XSV+면/EC
국적이	국적/NNG+이/JKS
자동	자동/NNG
상실돼	상실/NNG+되/XSV+어/EC
병역의무를	병역/NNG+의무/NNG+를/JKO
면할	면하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.185.6.3
이 규정을 고쳐 병역의무를 이행하지 않은 사람에 대해 이중국적을 허용해 군 복무를 마친 뒤 한국 국적을 포기하도록 하겠다는 것이다.

이	이/MMD
규정을	규정/NNG+을/JKO
고쳐	고치/VV+어/EC
병역의무를	병역/NNG+의무/NNG+를/JKO
이행하지	이행/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
사람에	사람/NNG+에/JKB
대해	대하/VV+아/EC
이중국적을	이중/NNG+국적/NNG+을/JKO
허용해	허용/NNG+하/XSV+아/EC
군	군/NNG
복무를	복무/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
한국	한국/NNP
국적을	국적/NNG+을/JKO
포기하도록	포기/NNG+하/XSV+도록/EC
하겠다는	하/VV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.185.6.4
또 제안요청서에는 고위 공직자의 아들이 한국 국적을 포기하고 병역의무에서 벗어날 경우 고위 공직자 본인에게 인사상 불이익을 주는 방안에 관한 연구도 포함됐다.

또	또/MAG
제안요청서에는	제안/NNG+요청서/NNG+에/JKB+는/JX
고위	고위/NNG
공직자의	공직자/NNG+의/JKG
아들이	아들/NNG+이/JKS
한국	한국/NNP
국적을	국적/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
병역의무에서	병역/NNG+의무/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
경우	경우/NNG
공직자	공직자/NNG
본인에게	본인/NNG+에게/JKB
인사상	인사/NNG+상/XSN
불이익을	불/XPN+이익/NNG+을/JKO
주는	주/VV+는/ETM
방안에	방안/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구도	연구/NNG+도/JX
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


