# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.154
metadata : {}


# id : NWRW1800000025.154.1.1
[경제 카페]개성공단 선발 vs 후발업체의 ‘극과 극 해석’

[경제	[/SS+경제/NNG
카페]개성공단	카페/NNG+]/SS+개성공단/NNP
선발	선발/NNG
vs	vs/SL
후발업체의	후발/NNG+업체/NNG+의/JKG
‘극과	‘/SS+극/NNG+과/JC
극	극/NNG
해석’	해석/NNG+’/SS


# id : NWRW1800000025.154.2.1
‘꿈보다 해몽?’

‘꿈보다	‘/SS+꿈/NNG+보다/JKB
해몽?’	해몽/NNG+?/SF+’/SS


# id : NWRW1800000025.154.3.1
요즘 개성공단을 둘러싸고 벌어지는 일련의 상황을 보면서 문득 생각난 말입니다.

요즘	요즘/NNG
개성공단을	개성공단/NNP+을/JKO
둘러싸고	둘러싸/VV+고/EC
벌어지는	벌어지/VV+는/ETM
일련의	일련/NNG+의/JKG
상황을	상황/NNG+을/JKO
보면서	보/VV+면서/EC
문득	문득/MAG
생각난	생각나/VV+ㄴ/ETM
말입니다.	말/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.3.2
북한의 애매모호한 행보에 대해 상반된 해석을 내놓고 있는 개성공단 입주기업들에도 해당되는 말일 수 있습니다.

북한의	북한/NNP+의/JKG
애매모호한	애매모호/NNG+하/XSA+ㄴ/ETM
행보에	행보/NNG+에/JKB
대해	대하/VV+아/EC
상반된	상반/NNG+되/XSV+ㄴ/ETM
해석을	해석/NNG+을/JKO
내놓고	내놓/VV+고/EC
있는	있/VX+는/ETM
개성공단	개성공단/NNP
입주기업들에도	입주/NNG+기업/NNG+들/XSN+에/JKB+도/JX
해당되는	해당/NNG+되/XSV+는/ETM
말일	말/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000025.154.3.3
지난달 29일 개성공단을 관리하는 북한 중앙특구개발지도총국이 설비 및 물자 반출을 제한하겠다고 통보하자 개성공단에 일찍 진출한 업체 관계자들은 “북한이 입주기업의 철수를 막아 공단을 유지하려는 것”이라는 희망 섞인 반응을 보였습니다.

지난달	지난달/NNG
29일	29/SN+일/NNB
개성공단을	개성공단/NNP+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
북한	북한/NNP
중앙특구개발지도총국이	중앙/NNG+특구/NNG+개발/NNG+지도/NNG+총국/NNG+이/JKS
설비	설비/NNG
및	및/MAG
물자	물자/NNG
반출을	반출/NNG+을/JKO
제한하겠다고	제한/NNG+하/XSV+겠/EP+다고/EC
통보하자	통보/NNG+하/XSV+자/EC
개성공단에	개성공단/NNP+에/JKB
일찍	일찍/MAG
진출한	진출/NNG+하/XSV+ㄴ/ETM
업체	업체/NNG
