# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.230
metadata : {}


# id : NWRW1800000038.230.1.1
'특급 용병'의 한국 생존법… 2S, 그리고 고추장

'특급	'/SS+특급/NNG
용병'의	용병/NNG+'/SS+의/JKG
한국	한국/NNP
생존법…	생존법/NNG+…/SE
2S,	2/SN+S/SL+,/SP
그리고	그리고/MAJ
고추장	고추장/NNG


# id : NWRW1800000038.230.2.1
男프로농구 SK 애런 헤인즈

男프로농구	男/SH+프로/NNG+농구/NNG
SK	SK/SL
애런	애런/NNP
헤인즈	헤인즈/NNP


# id : NWRW1800000038.230.3.1
애런 헤인즈(32·SK)는 KBL(한국농구연맹)의 외국인 선수 제도가 낳은 역대 최고의 성공 사례로 꼽힌다.

애런	애런/NNP
헤인즈(32·SK)는	헤인즈/NNP+(/SS+32/SN+·/SP+SK/SL+)/SS+는/JX
KBL(한국농구연맹)의	KBL/SL+(/SS+한국농구연맹/NNP+)/SS+의/JKG
외국인	외국인/NNG
선수	선수/NNG
제도가	제도/NNG+가/JKS
낳은	낳/VV+은/ETM
역대	역대/NNG
최고의	최고/NNG+의/JKG
성공	성공/NNG
사례로	사례/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.4.1
2008~2009시즌 처음 한국 땅을 밟은 이후 5시즌 연속 살아남았다.

2008~2009시즌	2008/SN+~/SO+2009/SN+시즌/NNG
처음	처음/NNG
한국	한국/NNP
땅을	땅/NNG+을/JKO
밟은	밟/VV+은/ETM
이후	이후/NNG
5시즌	5/SN+시즌/NNG
연속	연속/NNG
살아남았다.	살아남/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.4.2
체격 조건(키 200㎝·몸무게 91㎏)으로만 보면 '한국형 외국인 선수'와는 거리가 멀어 보인다.

체격	체격/NNG
조건(키	조건/NNG+(/SS+키/NNG
200㎝·몸무게	200/SN+㎝/SW+·/SP+몸무게/NNG
91㎏)으로만	91/SN+㎏/SW+)/SS+으로/JKB+만/JX
보면	보/VV+면/EC
'한국형	'/SS+한국/NNP+형/XSN
외국인	외국인/NNG
선수'와는	선수/NNG+'/SS+와/JKB+는/JX
거리가	거리/NNG+가/JKS
멀어	멀/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.4.3
국내 리그는 전통적으로 골밑에서 확실하게 득점을 올릴 수 있는 일대일 공격 능력이 있고, 많은 리바운드를 잡아내는 투사형 선수를 선호하는 경향이 있다.

국내	국내/NNG
리그는	리그/NNG+는/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
골밑에서	골/NNG+밑/NNG+에서/JKB
확실하게	확실하/VA+게/EC
득점을	득점/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일대일	일대일/NNG
공격	공격/NNG
능력이	능력/NNG+이/JKS
있고,	있/VA+고/EC+,/SP
많은	많/VA+은/ETM
리바운드를	리바운드/NNG+를/JKO
잡아내는	잡아내/VV+는/ETM
투사형	투사/NNG+형/XSN
선수를	선수/NNG+를/JKO
선호하는	선호/NNG+하/XSV+는/ETM
경향이	경향/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.230.4.4
프로 초창기에 7시즌 동안 코트를 누볐던 조니 맥도웰(전 현대)이 대표적이었다.

프로	프로/NNG
초창기에	초창기/NNG+에/JKB
7시즌	7/SN+시즌/NNG
동안	동안/NNG
코트를	코트/NNG+를/JKO
누볐던	누비/VV+었/EP+던/ETM
조니	조니/NNP
맥도웰(전	맥도웰/NNP+(/SS+전/MMD
현대)이	현대/NNP+)/SS+이/JKS
대표적이었다.	대표/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.230.5.1
헤인즈는 외곽 슈팅 능력은 좋은데 몸싸움에선 밀릴 것이라는 평가를 받는 선수였다.

헤인즈는	헤인즈/NNP+는/JX
외곽	외곽/NNG
슈팅	슈팅/NNG
능력은	능력/NNG+은/JX
좋은데	좋/VA+은데/EC
몸싸움에선	몸싸움/NNG+에서/JKB+ㄴ/JX
밀릴	밀리/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받는	받/VV+는/ETM
선수였다.	선수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.230.5.2
이런 이유 때문에 정식 드래프트를 통해 한국 프로팀에 뽑힌 적은 두 번뿐이었다.

이런	이런/MMD
이유	이유/NNG
때문에	때문/NNB+에/JKB
정식	정식/NNG
드래프트를	드래프트/NNG+를/JKO
통해	통하/VV+아/EC
한국	한국/NNP
프로팀에	프로/NNG+팀/NNG+에/JKB
뽑힌	뽑히/VV+ㄴ/ETM
적은	적/NNB+은/JX
두	두/MMN
번뿐이었다.	번/NNB+뿐/JX+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.230.5.3
교체 선수로 시즌 도중에 들어온 적이 세 번으로 더 많았다.

교체	교체/NNG
선수로	선수/NNG+로/JKB
시즌	시즌/NNG
도중에	도중/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
적이	적/NNB+이/JKS
세	세/MMN
번으로	번/NNB+으로/JKB
더	더/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.230.5.4
하지만 그는 기회가 올 때마다 제 몫을 했다.

하지만	하지만/MAJ
그는	그/NP+는/JX
기회가	기회/NNG+가/JKS
올	오/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
제	저/NP+의/JKG
몫을	몫/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.5.5
챔피언전 우승 경험도 했고, 득점왕에 두 번 올랐다.

챔피언전	챔피언전/NNG
우승	우승/NNG
경험도	경험/NNG+도/JX
했고,	하/VV+았/EP+고/EC+,/SP
득점왕에	득점왕/NNG+에/JKB
두	두/MMN
번	번/NNB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.5.6
이번 시즌엔 정규리그 선두를 달리는 SK에서 주득점원 역할을 하고 있다.

이번	이번/NNG
시즌엔	시즌/NNG+에/JKB+ㄴ/JX
정규리그	정규/NNG+리그/NNG
선두를	선두/NNG+를/JKO
달리는	달리/VV+는/ETM
SK에서	SK/SL+에서/JKB
주득점원	주득점원/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.230.6.1
헤인즈는 새로운 생존 모델을 제시하고 있는 비결에 대해 '2S'를 들었다.

헤인즈는	헤인즈/NNP+는/JX
새로운	새롭/VA+ㄴ/ETM
생존	생존/NNG
모델을	모델/NNG+을/JKO
제시하고	제시/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
비결에	비결/NNG+에/JKB
대해	대하/VV+아/EC
'2S'를	'/SS+2/SN+S/SL+'/SS+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.230.6.2
'스피드(Speed)'와 '스마트(Smart)'였다.

'스피드(Speed)'와	'/SS+스피드/NNG+(/SS+Speed/SL+)/SS+'/SS+와/JC
'스마트(Smart)'였다.	'/SS+스마트/NNG+(/SS+Smart/SL+)/SS+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.230.6.3
그는 빠른 발로 팀 공수 전략의 핵심 역할을 한다.

그는	그/NP+는/JX
빠른	빠르/VA+ㄴ/ETM
발로	발/NNG+로/JKB
팀	팀/NNG
공수	공수/NNG
전략의	전략/NNG+의/JKG
핵심	핵심/NNG
역할을	역할/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.6.4
공격을 할 땐 상대 외국인 선수를 외곽으로 끌고 나온 다음 순간적으로 골밑 돌파를 한다.

공격을	공격/NNG+을/JKO
할	하/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
상대	상대/NNG
외국인	외국인/NNG
선수를	선수/NNG+를/JKO
외곽으로	외곽/NNG+으로/JKB
끌고	끌/VV+고/EC
나온	나오/VV+ㄴ/ETM
다음	다음/NNG
순간적으로	순간/NNG+적/XSN+으로/JKB
골밑	골/NNG+밑/NNG
돌파를	돌파/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.6.5
상대 수비수가 붙지 않으면 성공률 높은 미들레인지 슛으로 득점한다.

상대	상대/NNG
수비수가	수비수/NNG+가/JKS
붙지	붙/VV+지/EC
않으면	않/VX+으면/EC
성공률	성공/NNG+률/XSN
높은	높/VA+은/ETM
미들레인지	미들레인지/NNG
슛으로	슛/NNG+으로/JKB
득점한다.	득점/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.6.6
이번 시즌부터는 '수비자 3초룰(수비자가 페인트 존에 3초 이상 머물 수 없는 규정)'이 없어져 수비하는 쪽에 유리해졌다.

이번	이번/NNG
시즌부터는	시즌/NNG+부터/JX+는/JX
'수비자	'/SS+수비자/NNG
3초룰(수비자가	3/SN+초/NNB+룰/NNG+(/SS+수비자/NNG+가/JKS
페인트	페인트/NNG
존에	존/NNG+에/JKB
3초	3/SN+초/NNB
이상	이상/NNG
머물	머물/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
규정)'이	규정/NNG+)/SS+'/SS+이/JKS
없어져	없어지/VV+어/EC
수비하는	수비/NNG+하/XSV+는/ETM
쪽에	쪽/NNB+에/JKB
유리해졌다.	유리/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.230.6.7
반면 공격수들은 예전처럼 정통적인 골밑 일대일 득점을 하기가 어려워졌다.

반면	반면/NNG
공격수들은	공격수/NNG+들/XSN+은/JX
예전처럼	예전/NNG+처럼/JKB
정통적인	정통/NNG+적/XSN+이/VCP+ㄴ/ETM
골밑	골/NNG+밑/NNG
일대일	일대일/NNG
득점을	득점/NNG+을/JKO
하기가	하/VV+기/ETN+가/JKS
어려워졌다.	어렵/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.230.6.8
헤인즈는 "다른 팀 외국인 선수들은 포스트 플레이가 힘들다고 하는데, 난 중거리 슛에 자신이 있어서 영향이 없다"고 말했다.

헤인즈는	헤인즈/NNP+는/JX
"다른	"/SS+다른/MMD
팀	팀/NNG
외국인	외국인/NNG
선수들은	선수/NNG+들/XSN+은/JX
포스트	포스트/NNG
플레이가	플레이/NNG+가/JKS
힘들다고	힘들/VA+다고/EC
하는데,	하/VV+는데/EC+,/SP
난	나/NP+ㄴ/JX
중거리	중거리/NNG
슛에	슛/NNG+에/JKB
자신이	자신/NNG+이/JKS
있어서	있/VA+어서/EC
영향이	영향/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.7.1
헤인즈는 영리하다.

헤인즈는	헤인즈/NNP+는/JX
영리하다.	영리하/VA+다/EF+./SF


# id : NWRW1800000038.230.7.2
그는 팀의 변형 지역 방어 전술에 있어서도 키 플레이어다.

그는	그/NP+는/JX
팀의	팀/NNG+의/JKG
변형	변형/NNG
지역	지역/NNG
방어	방어/NNG
전술에	전술/NNG+에/JKB
있어서도	있/VA+어서/EC+도/JX
키	키/NNG
플레이어다.	플레이어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.230.7.3
자유투 라인 부근에 있다가 순간적으로 골밑 쪽으로 협력 수비를 들어간다.

자유투	자유투/NNG
라인	라인/NNG
부근에	부근/NNG+에/JKB
있다가	있/VA+다가/EC
순간적으로	순간/NNG+적/XSN+으로/JKB
골밑	골/NNG+밑/NNG
쪽으로	쪽/NNB+으로/JKB
협력	협력/NNG
수비를	수비/NNG+를/JKO
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.7.4
그는 외국인 선발 제도가 팀당 '자유계약으로 1명 보유(월 5만달러)'에서 '드래프트로 2명 보유·1명 출전(1순위 3만5000달러·2순위 2만5000달러)'으로 바뀌면서 한국에 온 외국인 선수들의 수준이 떨어졌다고 했다.

그는	그/NP+는/JX
외국인	외국인/NNG
선발	선발/NNG
제도가	제도/NNG+가/JKS
팀당	팀/NNG+당/XSN
'자유계약으로	'/SS+자유/NNG+계약/NNG+으로/JKB
1명	1/SN+명/NNB
보유(월	보유/NNG+(/SS+월/NNG
5만달러)'에서	5/SN+만/NR+달러/NNB+)/SS+'/SS+에서/JKB
'드래프트로	'/SS+드래프트/NNG+로/JKB
2명	2/SN+명/NNB
보유·1명	보유/NNG+·/SP+1/SN+명/NNB
출전(1순위	출전/NNG+(/SS+1/SN+순위/NNG
3만5000달러·2순위	3/SN+만/NR+5000/SN+달러/NNB+·/SP+2/SN+순위/NNG
2만5000달러)'으로	2/SN+만/NR+5000/SN+달러/NNB+)/SS+'/SS+으로/JKB
바뀌면서	바뀌/VV+면서/EC
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
선수들의	선수/NNG+들/XSN+의/JKG
수준이	수준/NNG+이/JKS
떨어졌다고	떨어지/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.7.5
"지난 시즌 수준으로 돌아간다면 지금 뛰는 외국인 선수 중 80% 정도는 뛰지 못할 것"이라는 말도 했다.

"지난	"/SS+지나/VV+ㄴ/ETM
시즌	시즌/NNG
수준으로	수준/NNG+으로/JKB
돌아간다면	돌아가/VV+ㄴ다면/EC
지금	지금/MAG
뛰는	뛰/VV+는/ETM
외국인	외국인/NNG
선수	선수/NNG
중	중/NNB
80%	80/SN+%/SW
정도는	정도/NNG+는/JX
뛰지	뛰/VV+지/EC
못할	못하/VX+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
말도	말/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.7.6
헤인즈는 지난 시즌보다 이번 시즌 월봉이 1만5000달러 깎이게 되는 사실을 알면서도 드래프트에 나왔다.

헤인즈는	헤인즈/NNP+는/JX
지난	지나/VV+ㄴ/ETM
시즌보다	시즌/NNG+보다/JKB
이번	이번/NNG
시즌	시즌/NNG
월봉이	월봉/NNG+이/JKS
1만5000달러	1/SN+만/NR+5000/SN+달러/NNB
깎이게	깎이/VV+게/EC
되는	되/VV+는/ETM
사실을	사실/NNG+을/JKO
알면서도	알/VV+면서/EC+도/JX
드래프트에	드래프트/NNG+에/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.7.7
그는 더 이상 '아쉬울 때 부르는 선수'가 아니라 '검증된 선수'였다.

그는	그/NP+는/JX
더	더/MAG
이상	이상/NNG
'아쉬울	'/SS+아쉽/VA+ㄹ/ETM
때	때/NNG
부르는	부르/VV+는/ETM
선수'가	선수/NNG+'/SS+가/JKC
아니라	아니/VCN+라/EC
'검증된	'/SS+검증/NNG+되/XSV+ㄴ/ETM
선수'였다.	선수/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.230.8.1
헤인즈는 한국 생활에도 많이 적응했다.

헤인즈는	헤인즈/NNP+는/JX
한국	한국/NNP
생활에도	생활/NNG+에/JKB+도/JX
많이	많이/MAG
적응했다.	적응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.8.2
숙소에서 구단 직원과 마주치면 우리말로 "안녕하세요"라고 인사를 건넨다.

숙소에서	숙소/NNG+에서/JKB
구단	구단/NNG
직원과	직원/NNG+과/JKB
마주치면	마주치/VV+면/EC
우리말로	우리말/NNG+로/JKB
"안녕하세요"라고	"/SS+안녕/NNG+하/XSA+시/EP+어요/EF+"/SS+라고/JKQ
인사를	인사/NNG+를/JKO
건넨다.	건네/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.8.3
슛 연습을 할 땐 "드러가써(들어갔어)"라고 중얼거린다.

슛	슛/NNG
연습을	연습/NNG+을/JKO
할	하/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
"드러가써(들어갔어)"라고	"/SS+드러가/VV+았/EP+어/EF+(/SS+들어가/VV+았/EP+어/EF+)/SS+"/SS+라고/JKQ
중얼거린다.	중얼거리/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.230.8.4
현재 헤인즈의 부인은 첫 아이를 임신 중이다.

현재	현재/MAG
헤인즈의	헤인즈/NNP+의/JKG
부인은	부인/NNG+은/JX
첫	첫/MMN
아이를	아이/NNG+를/JKO
임신	임신/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.230.8.5
출산 예정일은 8월.

출산	출산/NNG
예정일은	예정일/NNG+은/JX
8월.	8/SN+월/NNB+./SF


# id : NWRW1800000038.230.8.6
