# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.99
metadata : {}


# id : NWRW1800000029.99.1.1
돼지-기계 담보로 은행대출 받는다… ‘동산대출’ 내년 6월 시행

돼지-기계	돼지/NNG+-/SO+기계/NNG
담보로	담보/NNG+로/JKB
은행대출	은행/NNG+대출/NNG
받는다…	받/VV+는다/EF+…/SE
‘동산대출’	‘/SS+동산/NNG+대출/NNG+’/SS
내년	내년/NNG
6월	6/SN+월/NNB
시행	시행/NNG


# id : NWRW1800000029.99.2.1
자금난 中企 숨통 트일 듯

자금난	자금난/NNG
中企	中企/SH
숨통	숨통/NNG
트일	트이/VV+ㄹ/ETM
듯	듯/NNB


# id : NWRW1800000029.99.3.1
경북 청도군에서 소 300마리를 키우는 축산업자 A 씨는 한우 수요가 더 늘 것으로 보고 사업 규모를 키우려 하지만 송아지 구입 대금을 마련할 길이 없다.

경북	경북/NNP
청도군에서	청도군/NNP+에서/JKB
소	소/NNG
300마리를	300/SN+마리/NNB+를/JKO
키우는	키우/VV+는/ETM
축산업자	축산업자/NNG
A	A/SL
씨는	씨/NNB+는/JX
한우	한우/NNG
수요가	수요/NNG+가/JKS
더	더/MAG
늘	늘/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
사업	사업/NNG
규모를	규모/NNG+를/JKO
키우려	키우/VV+려/EC
하지만	하/VX+지만/EC
송아지	송아지/NNG
구입	구입/NNG
대금을	대금/NNG+을/JKO
마련할	마련/NNG+하/XSV+ㄹ/ETM
길이	길/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.99.3.2
은행에서 부동산 담보로만 대출을 해주는 데다 낮은 신용등급 때문에 신용대출도 어렵기 때문이다.

은행에서	은행/NNG+에서/JKB
부동산	부동산/NNG
담보로만	담보/NNG+로/JKB+만/JX
대출을	대출/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
데다	데/NNB+다/JX
낮은	낮/VA+은/ETM
신용등급	신용/NNG+등급/NNG
때문에	때문/NNB+에/JKB
신용대출도	신용/NNG+대출/NNG+도/JX
어렵기	어렵/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.99.3.3
