# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.83
metadata : {}


# id : NWRW1800000049.83.1.1
[2016착한브랜드 대상]영림임업, 원칙을 준수하는 정직한 기업

[2016착한브랜드	[/SS+2016/SN+착하/VA+ㄴ/ETM+브랜드/NNG
대상]영림임업,	대상/NNG+]/SS+영림임업/NNP+,/SP
원칙을	원칙/NNG+을/JKO
준수하는	준수/NNG+하/XSV+는/ETM
정직한	정직/NNG+하/XSA+ㄴ/ETM
기업	기업/NNG


# id : NWRW1800000049.83.2.1
인테리어내장재 부문

인테리어내장재	인테리어/NNG+내장재/NNG
부문	부문/NNG


# id : NWRW1800000049.83.3.1
영림임업은 1984년 창립 이래 30여년 동안 인테리어 내장재 연구만을 고집해 온 업계 선두의 중소기업으로 영림 몰딩도어, 영림 프라임새시 브랜드를 선보이며 철저한 시장분석과 지속적인 기술개발로 오랜 시간 소비자들의 꾸준한 사랑을 받고 있다.

영림임업은	영림임업/NNP+은/JX
1984년	1984/SN+년/NNB
창립	창립/NNG
이래	이래/NNB
30여년	30/SN+여/XSN+년/NNB
동안	동안/NNG
인테리어	인테리어/NNG
내장재	내장재/NNG
연구만을	연구/NNG+만/JX+을/JKO
고집해	고집/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
업계	업계/NNG
선두의	선두/NNG+의/JKG
중소기업으로	중소기업/NNG+으로/JKB
영림	영림/NNP
몰딩도어,	몰딩/NNG+도어/NNG+,/SP
프라임새시	프라임새시/NNG
브랜드를	브랜드/NNG+를/JKO
선보이며	선보이/VV+며/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
시장분석과	시장/NNG+분석/NNG+과/JC
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
기술개발로	기술/NNG+개발/NNG+로/JKB
오랜	오랜/MMA
시간	시간/NNG
소비자들의	소비자/NNG+들/XSN+의/JKG
꾸준한	꾸준하/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.83.4.1
신제품 발표회를 통해 적극적인 소비자 의견 수렴을 바탕으로 개발된 몰딩, 도어, 새시 등 다양한 영림의 제품은 소비자의 기호에 맞는 다채로운 공간 연출이 가능하도록 디자인, 사이즈, 색상 등을 맞춤형으로 운영하는 것이 특징이다.

신제품	신/XPN+제품/NNG
발표회를	발표회/NNG+를/JKO
통해	통하/VV+아/EC
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
소비자	소비자/NNG
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
개발된	개발/NNG+되/XSV+ㄴ/ETM
몰딩,	몰딩/NNG+,/SP
도어,	도어/NNG+,/SP
새시	새시/NNG
등	등/NNB
