# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.353
metadata : {}


# id : NWRW1800000041.353.1.1
제약업계 ‘리베이트 투아웃제’ 시행 100일

제약업계	제약업/NNG+계/XSN
‘리베이트	‘/SS+리베이트/NNG
투아웃제’	투아웃/NNG+제/XSN+’/SS
시행	시행/NNG
100일	100/SN+일/NNB


# id : NWRW1800000041.353.2.1
대형사들 “시범케이스 될라” 몸사리기… 중소업체들 “지금이 기회” 공격적 영업

대형사들	대형사/NNG+들/XSN
“시범케이스	“/SS+시범/NNG+케이스/NNG
될라”	되/VV+ㄹ라/EF+”/SS
몸사리기…	몸/NNG+사리/VV+기/ETN+…/SE
중소업체들	중소/NNG+업체/NNG+들/XSN
“지금이	“/SS+지금/NNG+이/JKS
기회”	기회/NNG+”/SS
공격적	공격/NNG+적/XSN
영업	영업/NNG


# id : NWRW1800000041.353.3.1
7월 2일 정부가 도입한 ‘리베이트 투아웃제’가 시행된 지 100일을 넘기면서 제약업계의 영업 행태에도 변화의 바람이 불고 있다.

7월	7/SN+월/NNB
2일	2/SN+일/NNB
정부가	정부/NNG+가/JKS
도입한	도입/NNG+하/XSV+ㄴ/ETM
‘리베이트	‘/SS+리베이트/NNG
투아웃제’가	투아웃/NNG+제/XSN+’/SS+가/JKS
시행된	시행/NNG+되/XSV+ㄴ/ETM
지	지/NNB
100일을	100/SN+일/NNB+을/JKO
넘기면서	넘기/VV+면서/EC
제약업계의	제약업/NNG+계/XSN+의/JKG
영업	영업/NNG
행태에도	행태/NNG+에/JKB+도/JX
변화의	변화/NNG+의/JKG
바람이	바람/NNG+이/JKS
불고	불/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.3.2
리베이트 투아웃제는 제약사가 특정 의약품을 채택한 병원이나 의사에 리베이트를 제공한 사실이 두 차례 적발되면 해당 제품을 건강보험 급여 대상에서 제외하는 제도다.

리베이트	리베이트/NNG
투아웃제는	투아웃/NNG+제/XSN+는/JX
제약사가	제약사/NNG+가/JKS
특정	특정/NNG
의약품을	의약품/NNG+을/JKO
채택한	채택/NNG+하/XSV+ㄴ/ETM
병원이나	병원/NNG+이나/JC
의사에	의사/NNG+에/JKB
리베이트를	리베이트/NNG+를/JKO
제공한	제공/NNG+하/XSV+ㄴ/ETM
사실이	사실/NNG+이/JKS
두	두/MMN
차례	차례/NNG
적발되면	적발/NNG+되/XSV+면/EC
해당	해당/NNG
제품을	제품/NNG+을/JKO
건강보험	건강/NNG+보험/NNG
급여	급여/NNG
대상에서	대상/NNG+에서/JKB
제외하는	제외/NNG+하/XSV+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.353.3.3
보험 혜택을 받지 못하면 제품의 가격이 크게 올라 사실상 시장에서 퇴출될 수 있다는 점에서 상당수 제약사는 민감하게 받아들이고 있다.

보험	보험/NNG
혜택을	혜택/NNG+을/JKO
받지	받/VV+지/EC
못하면	못하/VX+면/EC
제품의	제품/NNG+의/JKG
가격이	가격/NNG+이/JKS
크게	크/VA+게/EC
올라	오르/VV+아/EC
사실상	사실상/MAG
시장에서	시장/NNG+에서/JKB
퇴출될	퇴출/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
상당수	상당수/NNG
제약사는	제약사/NNG+는/JX
민감하게	민감/NNG+하/XSA+게/EC
받아들이고	받아들이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.4.1
특히 대형 제약업체들이 처벌 대상이 되지 않기 위해 영업사원 단속을 강화하고 있다.

특히	특히/MAG
대형	대형/NNG
제약업체들이	제약업체/NNG+들/XSN+이/JKS
처벌	처벌/NNG
대상이	대상/NNG+이/JKC
되지	되/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
영업사원	영업/NNG+사원/NNG
단속을	단속/NNG+을/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.4.2
대웅제약 이종욱 사장은 사내에 “‘공정거래 자율준수 프로그램(CP)’ 교육은 필수”라고 공표한 뒤 지난달 말 하반기 영업교육을 진행했다.

대웅제약	대웅제약/NNP
이종욱	이종욱/NNP
사장은	사장/NNG+은/JX
사내에	사내/NNG+에/JKB
“‘공정거래	“/SS+‘/SS+공정/NNG+거래/NNG
자율준수	자율/NNG+준수/NNG
프로그램(CP)’	프로그램/NNG+(/SS+CP/SL+)/SS+’/SS
교육은	교육/NNG+은/JX
필수”라고	필수/NNG+”/SS+라고/JKQ
공표한	공표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
지난달	지난달/NNG
말	말/NNB
하반기	하반기/NNG
영업교육을	영업/NNG+교육/NNG+을/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.353.4.3
동아ST는 임직원들의 불법 리베이트를 감시하는 전담조직을 대표이사 직속으로 개편했으며 유한양행과 종근당도 영업 부서와 분리된 CP 전담조직을 강화했다.

동아ST는	동아/NNP+ST/SL+는/JX
임직원들의	임직원/NNG+들/XSN+의/JKG
불법	불법/NNG
리베이트를	리베이트/NNG+를/JKO
감시하는	감시/NNG+하/XSV+는/ETM
전담조직을	전담/NNG+조직/NNG+을/JKO
대표이사	대표/NNG+이사/NNG
직속으로	직속/NNG+으로/JKB
개편했으며	개편/NNG+하/XSV+았/EP+으며/EC
유한양행과	유한양행/NNP+과/JC
종근당도	종근당/NNP+도/JX
영업	영업/NNG
부서와	부서/NNG+와/JKB
분리된	분리/NNG+되/XSV+ㄴ/ETM
CP	CP/SL
강화했다.	강화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.353.4.4
한 제약업체 관계자는 “리베이트 투아웃제 첫 처벌 대상이 아직 나오지 않아 더 조심스러워 하고 있다”고 말했다.

한	한/MMN
제약업체	제약업체/NNG
관계자는	관계자/NNG+는/JX
“리베이트	“/SS+리베이트/NNG
투아웃제	투아웃/NNG+제/XSN
첫	첫/MMN
처벌	처벌/NNG
대상이	대상/NNG+이/JKS
아직	아직/MAG
나오지	나오/VV+지/EC
않아	않/VX+아/EC
더	더/MAG
조심스러워	조심/NNG+스럽/XSA+어/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.353.5.1
반면 중소업체들은 대형 업체들이 움직이지 않는 지금을 기회로 보는 분위기다.

반면	반면/NNG
중소업체들은	중소/NNG+업체/NNG+들/XSN+은/JX
대형	대형/NNG
업체들이	업체/NNG+들/XSN+이/JKS
움직이지	움직이/VV+지/EC
않는	않/VX+는/ETM
지금을	지금/NNG+을/JKO
기회로	기회/NNG+로/JKB
보는	보/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.353.5.2
8월에는 CMG제약과 동화약품이, 지난달 15일에는 태평양제약이 수억 원의 리베이트를 제공하다 적발됐다.

8월에는	8/SN+월/NNB+에/JKB+는/JX
CMG제약과	CMG제약/NNP+과/JC
동화약품이,	동화약품/NNP+이/JKS+,/SP
지난달	지난달/NNG
15일에는	15/SN+일/NNB+에/JKB+는/JX
태평양제약이	태평양제약/NNP+이/JKS
수억	수억/NR
원의	원/NNB+의/JKG
리베이트를	리베이트/NNG+를/JKO
제공하다	제공/NNG+하/XSV+다/EC
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.353.5.3
한 차례 더 적발되면 리베이트 투아웃제를 적용받지만 중소 제약사들 사이에는 ‘약이 안 팔려 망하나 리베이트 영업을 하다 문을 닫나 마찬가지’라는 인식이 퍼져 있다.

한	한/MMN
차례	차례/NNG
더	더/MAG
적발되면	적발/NNG+되/XSV+면/EC
리베이트	리베이트/NNG
투아웃제를	투아웃/NNG+제/XSN+를/JKO
적용받지만	적용/NNG+받/XSV+지만/EC
중소	중소/NNG
제약사들	제약사/NNG+들/XSN
사이에는	사이/NNG+에/JKB+는/JX
‘약이	‘/SS+약/NNG+이/JKS
안	안/MAG
팔려	팔리/VV+어/EC
망하나	망하/VV+나/EC
영업을	영업/NNG+을/JKO
하다	하/VV+다/EC
문을	문/NNG+을/JKO
닫나	닫/VV+나/EC
마찬가지’라는	마찬가지/NNG+’/SS+이/VCP+라는/ETM
인식이	인식/NNG+이/JKS
퍼져	퍼지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.6.1
리베이트 투아웃제를 영업보다 연구개발에 집중하는 기회로 삼으려는 제약사들도 있다.

리베이트	리베이트/NNG
투아웃제를	투아웃/NNG+제/XSN+를/JKO
영업보다	영업/NNG+보다/JKB
연구개발에	연구/NNG+개발/NNG+에/JKB
집중하는	집중/NNG+하/XSV+는/ETM
기회로	기회/NNG+로/JKB
삼으려는	삼/VV+으려는/ETM
제약사들도	제약사/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.353.6.2
삼진제약의 에이즈 치료제인 ‘피리미딘다이온 화합물’은 8월 미국식품의약국(FDA)의 허가를 받아 임상실험에 돌입했다.

삼진제약의	삼진제약/NNP+의/JKG
에이즈	에이즈/NNG
치료제인	치료제/NNG+이/VCP+ㄴ/ETM
‘피리미딘다이온	‘/SS+피리미딘다이온/NNG
화합물’은	화합물/NNG+’/SS+은/JX
8월	8/SN+월/NNB
미국식품의약국(FDA)의	미국식품의약국/NNP+(/SS+FDA/SL+)/SS+의/JKG
허가를	허가/NNG+를/JKO
받아	받/VV+아/EC
임상실험에	임상/NNG+실험/NNG+에/JKB
돌입했다.	돌입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.353.6.3
삼진제약은 최근 먹는 안구건조증 치료제를 개발해 정부로부터 2년간 17억 원을 지원받기도 했다.

삼진제약은	삼진제약/NNP+은/JX
최근	최근/MAG
먹는	먹/VV+는/ETM
안구건조증	안구/NNG+건조증/NNG
치료제를	치료제/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
정부로부터	정부/NNG+로부터/JKB
