# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.21
metadata : {}


# id : NWRW1800000046.21.1.1
[깨알지식] 아시아人 승진 차별의 벽 '대나무 천장(bamboo ceiling)'

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
아시아人	아시아/NNP+人/SH
승진	승진/NNG
차별의	차별/NNG+의/JKG
벽	벽/NNG
'대나무	'/SS+대나무/NNG
천장(bamboo	천장/NNG+(/SS+bamboo/SL
ceiling)'	ceiling/SL+)/SS+'/SS


# id : NWRW1800000046.21.2.1
호주 법조계에서 아시아계가 '대나무 천장 (bamboo ceiling)'에 가로막혀 고위직으로 진출하지 못하는 현상이 두드러지고 있다고 영국 일간 가디언이 최근 보도했다.

호주	호주/NNP
법조계에서	법조/NNG+계/XSN+에서/JKB
아시아계가	아시아/NNP+계/XSN+가/JKS
'대나무	'/SS+대나무/NNG
천장	천장/NNG
(bamboo	(/SS+bamboo/SL
ceiling)'에	ceiling/SL+)/SS+'/SS+에/JKB
가로막혀	가로막히/VV+어/EC
고위직으로	고위직/NNG+으로/JKB
진출하지	진출/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
현상이	현상/NNG+이/JKS
두드러지고	두드러지/VV+고/EC
있다고	있/VX+다고/EC
영국	영국/NNP
일간	일간/NNG
가디언이	가디언/NNP+이/JKS
최근	최근/MAG
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.21.3.1
'대나무 천장'은 서구 사회에서 아시아 국적이나 아시아계 이민자의 고위직 상승을 막는 보이지 않는 장벽을 일컫는 신조어다.

'대나무	'/SS+대나무/NNG
천장'은	천장/NNG+'/SS+은/JX
서구	서구/NNG
사회에서	사회/NNG+에서/JKB
아시아	아시아/NNP
국적이나	국적/NNG+이나/JC
아시아계	아시아/NNP+계/XSN
이민자의	이민자/NNG+의/JKG
고위직	고위직/NNG
상승을	상승/NNG+을/JKO
막는	막/VV+는/ETM
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
장벽을	장벽/NNG+을/JKO
일컫는	일컫/VV+는/ETM
신조어다.	신조어/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.21.3.2
한인 이민자 출신으로 JP모건에서 인사 업무를 해온 제인 현(Jane Hyun)이 2005년 발간한 책 '대나무 천장 부수기(Breaking the Bamboo Ceiling)'에 처음 등장한 이후, 아시아계 차별 문제를 논할 때 자주 사용돼왔다.

한인	한인/NNG
이민자	이민자/NNG
출신으로	출신/NNG+으로/JKB
JP모건에서	JP모건/NNP+에서/JKB
인사	인사/NNG
업무를	업무/NNG+를/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
제인	제인/NNP
현(Jane	현/NNP+(/SS+Jane/SL
Hyun)이	Hyun/SL+)/SS+이/JKS
2005년	2005/SN+년/NNB
발간한	발간/NNG+하/XSV+ㄴ/ETM
책	책/NNG
'대나무	'/SS+대나무/NNG
천장	천장/NNG
부수기(Breaking	부수/VV+기/ETN+(/SS+Breaking/SL
the	the/SL
Bamboo	Bamboo/SL
Ceiling)'에	Ceiling/SL+)/SS+'/SS+에/JKB
처음	처음/NNG
등장한	등장/NNG+하/XSV+ㄴ/ETM
이후,	이후/NNG+,/SP
아시아계	아시아/NNP+계/XSN
차별	차별/NNG
문제를	문제/NNG+를/JKO
논할	논하/VV+ㄹ/ETM
때	때/NNG
자주	자주/MAG
