# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.75
metadata : {}


# id : NWRW1800000037.75.1.1
[에너지가 미래다]가볍게 입고 ‘빼고 끄고 걷는’ 절전 캠페인 전개

[에너지가	[/SS+에너지/NNG+가/JKS
미래다]가볍게	미래/NNG+이/VCP+다/EF+]/SS+가볍/VA+게/EC
입고	입/VV+고/EC
‘빼고	‘/SS+빼/VV+고/EC
끄고	끄/VV+고/EC
걷는’	걷/VV+는/ETM+’/SS
절전	절전/NNG
캠페인	캠페인/NNG
전개	전개/NNG


# id : NWRW1800000037.75.2.1
삼성전자는 정부의 절전대책에 동참하기 위해 지난해에 이어 올여름에도 임직원들이 재킷 없이 깃이 달린 반팔 티셔츠(폴로셔츠)를 입을 수 있게 하는 등 다양한 노력을 기울이고 있다.

삼성전자는	삼성전자/NNP+는/JX
정부의	정부/NNG+의/JKG
절전대책에	절전/NNG+대책/NNG+에/JKB
동참하기	동참/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
지난해에	지난해/NNG+에/JKB
이어	잇/VV+어/EC
올여름에도	올여름/NNG+에/JKB+도/JX
임직원들이	임직원/NNG+들/XSN+이/JKS
재킷	재킷/NNG
없이	없이/MAG
깃이	깃/NNG+이/JKS
달린	달리/VV+ㄴ/ETM
반팔	반팔/NNG
티셔츠(폴로셔츠)를	티셔츠/NNG+(/SS+폴로셔츠/NNG+)/SS+를/JKO
입을	입/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
하는	하/VX+는/ETM
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
노력을	노력/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.75.2.2
삼성의 기본 복장규정은 넥타이를 매지 않은 정장, 상·하의가 다른 콤비 정장 등 ‘비즈니스 캐주얼’이지만 직원들이 시원하게 일할 수 있게 하고 에너지 절감에도 일조할 수 있도록 9월 말까지 ‘노 재킷’을 허용했다.

삼성의	삼성/NNP+의/JKG
기본	기본/NNG
복장규정은	복장/NNG+규정/NNG+은/JX
넥타이를	넥타이/NNG+를/JKO
매지	매/VV+지/EC
않은	않/VX+은/ETM
정장,	정장/NNG+,/SP
상·하의가	상·하의/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
콤비	콤비/NNG
정장	정장/NNG
등	등/NNB
‘비즈니스	‘/SS+비즈니스/NNG
캐주얼’이지만	캐주얼/NNG+’/SS+이/VCP+지만/EC
직원들이	직원/NNG+들/XSN+이/JKS
시원하게	시원하/VA+게/EC
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하고	하/VX+고/EC
에너지	에너지/NNG
절감에도	절감/NNG+에/JKB+도/JX
일조할	일조/NNG+하/XSV+ㄹ/ETM
있도록	있/VA+도록/EC
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
‘노	‘/SS+노/NNG
재킷’을	재킷/NNG+’/SS+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.75.3.1
이에 따라 격식을 갖춰 정장을 입어야 했던 삼성전자 서초사옥 직원들의 옷차림이 한층 가벼워졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
격식을	격식/NNG+을/JKO
갖춰	갖추/VV+어/EC
정장을	정장/NNG+을/JKO
입어야	입/VV+어야/EC
했던	하/VX+았/EP+던/ETM
삼성전자	삼성전자/NNP
서초사옥	서초/NNP+사옥/NNG
직원들의	직원/NNG+들/XSN+의/JKG
옷차림이	옷차림/NNG+이/JKS
한층	한층/MAG
가벼워졌다.	가볍/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.75.3.2
경기 수원, 용인, 화성시 등 연구개발(R&D)센터 직원들은 평소에도 상대적으로 간소한 복장으로 일해 왔다.

경기	경기/NNP
수원,	수원/NNP+,/SP
용인,	용인/NNP+,/SP
화성시	화성시/NNP
등	등/NNB
연구개발(R&D)센터	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS+센터/NNG
직원들은	직원/NNG+들/XSN+은/JX
평소에도	평소/NNG+에/JKB+도/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
간소한	간소하/VA+ㄴ/ETM
복장으로	복장/NNG+으로/JKB
일해	일/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.75.4.1
복장 간소화 외에 다양한 에너지 절감 정책을 시행한다.

복장	복장/NNG
간소화	간소/NNG+화/XSN
외에	외/NNB+에/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
에너지	에너지/NNG
절감	절감/NNG
정책을	정책/NNG+을/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.75.4.2
8월까지 오후 2∼5시 피크시간대에 실내온도를 28도로 유지하고 조명도 70% 소등하기로 했다.

8월까지	8/SN+월/NNB+까지/JX
오후	오후/NNG
2∼5시	2/SN+∼/SO+5/SN+시/NNB
피크시간대에	피크/NNG+시간대/NNG+에/JKB
실내온도를	실내/NNG+온도/NNG+를/JKO
28도로	28/SN+도/NNB+로/JKB
유지하고	유지/NNG+하/XSV+고/EC
조명도	조명/NNG+도/JX
70%	70/SN+%/SW
소등하기로	소등/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.75.4.3
전력소모가 심한 반도체 생산라인의 경우 생산 라인을 중단할 수 없기 때문에 최소치인 에너지 절감 3%를 목표로 세웠다.

전력소모가	전력/NNG+소모/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
반도체	반도체/NNG
생산라인의	생산/NNG+라인/NNG+의/JKG
경우	경우/NNG
생산	생산/NNG
라인을	라인/NNG+을/JKO
중단할	중단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
최소치인	최소/NNG+치/XSN+이/VCP+ㄴ/ETM
에너지	에너지/NNG
절감	절감/NNG
3%를	3/SN+%/SW+를/JKO
목표로	목표/NNG+로/JKB
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.75.4.4
일반 빌딩이나 연구소, 영업센터의 경우 평균 20%의 에너지 절감이 가능할 것으로 예측했다.

일반	일반/NNG
빌딩이나	빌딩/NNG+이나/JC
연구소,	연구소/NNG+,/SP
영업센터의	영업/NNG+센터/NNG+의/JKG
경우	경우/NNG
평균	평균/NNG
20%의	20/SN+%/SW+의/JKG
에너지	에너지/NNG
절감이	절감/NNG+이/JKS
가능할	가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.75.4.5
또 냉동기 가동 부하 감소와 생산량 조절, 제조 사업장이 보유하고 있는 발전기 가동 등을 통한 절전을 시행한다.

또	또/MAG
