# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.138
metadata : {}


# id : NWRW1800000032.138.1.1
일 자위대, 남수단에 장기파병 결정

일	일/NNP
자위대,	자위대/NNG+,/SP
남수단에	남수단/NNP+에/JKB
장기파병	장기/NNG+파병/NNG
결정	결정/NNG


# id : NWRW1800000032.138.2.1
“5년간 평화유지활동 계획”

“5년간	“/SS+5/SN+년/NNB+간/XSN
평화유지활동	평화/NNG+유지/NNG+활동/NNG
계획”	계획/NNG+”/SS


# id : NWRW1800000032.138.3.1
무기사용규제원칙 재검토

무기사용규제원칙	무기/NNG+사용/NNG+규제/NNG+원칙/NNG
재검토	재/XPN+검토/NNG


# id : NWRW1800000032.138.4.1
일본 정부가 육상자위대에 유엔 평화유지활동(PKO)을 위해 남수단에 파견나갈 준비를 하도록 1일 지시했다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
육상자위대에	육상/NNG+자위대/NNG+에/JKB
유엔	유엔/NNP
평화유지활동(PKO)을	평화/NNG+유지/NNG+활동/NNG+(/SS+PKO/SL+)/SS+을/JKO
위해	위하/VV+아/EC
남수단에	남수단/NNP+에/JKB
파견나갈	파견/NNG+나가/VV+ㄹ/ETM
준비를	준비/NNG+를/JKO
하도록	하/VV+도록/EC
1일	1/SN+일/NNB
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.4.2
이번 파병은 이례적으로 5년간 장기주둔할 계획 아래 준비되고 있다.

이번	이번/NNG
파병은	파병/NNG+은/JX
이례적으로	이례/NNG+적/XSN+으로/JKB
5년간	5/SN+년/NNB+간/XSN
장기주둔할	장기/NNG+주둔/NNG+하/XSV+ㄹ/ETM
계획	계획/NNG
아래	아래/NNG
준비되고	준비/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.138.4.3
일본의 집권 민주당은 이에 맞춰 피케이오 활동 참가 자위대의 무기사용 원칙도 본격 재검토에 착수했다.

일본의	일본/NNP+의/JKG
집권	집권/NNG
민주당은	민주당/NNP+은/JX
이에	이/NP+에/JKB
맞춰	맞추/VV+어/EC
피케이오	피케이오/NNG
활동	활동/NNG
참가	참가/NNG
자위대의	자위대/NNG+의/JKG
무기사용	무기/NNG+사용/NNG
원칙도	원칙/NNG+도/JX
본격	본격/NNG
재검토에	재/XPN+검토/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.4.4
일본이 자위대의 국외 활동에 갈수록 적극성을 보이는 모습이다.

일본이	일본/NNP+이/JKS
자위대의	자위대/NNG+의/JKG
국외	국외/NNG
활동에	활동/NNG+에/JKB
갈수록	가/VV+ㄹ수록/EC
적극성을	적극/NNG+성/XSN+을/JKO
보이는	보이/VV+는/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.138.5.1
2일 일본 언론 보도를 보면, 일본 정부는 전날 각료회의에서 남수단에 육상자위대 시설부대를 파견한다는 방침을 확인했다.

2일	2/SN+일/NNB
일본	일본/NNP
언론	언론/NNG
보도를	보도/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
정부는	정부/NNG+는/JX
전날	전날/NNG
각료회의에서	각료/NNG+회의/NNG+에서/JKB
남수단에	남수단/NNP+에/JKB
육상자위대	육상/NNG+자위대/NNG
시설부대를	시설/NNG+부대/NNG+를/JKO
파견한다는	파견/NNG+하/XSV+ㄴ다는/ETM
방침을	방침/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.5.2
이에 따라 이치카와 야스오 방위상이 육상자위대에 장비의 확보 등 파견 준비를 이날 지시했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
이치카와	이치카와/NNP
야스오	야스오/NNP
방위상이	방위상/NNG+이/JKS
육상자위대에	육상/NNG+자위대/NNG+에/JKB
장비의	장비/NNG+의/JKG
확보	확보/NNG
등	등/NNB
파견	파견/NNG
준비를	준비/NNG+를/JKO
이날	이날/NNG
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.5.3
파견 병력은 300명 규모로, 12월에 구체적인 계획을 각료회의에서 의결한 뒤 내년 1월 제1진이 주둔지인 남수단의 수도 주바로 떠날 예정이다.

파견	파견/NNG
병력은	병력/NNG+은/JX
300명	300/SN+명/NNB
규모로,	규모/NNG+로/JKB+,/SP
12월에	12/SN+월/NNB+에/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
계획을	계획/NNG+을/JKO
각료회의에서	각료/NNG+회의/NNG+에서/JKB
의결한	의결/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
내년	내년/NNG
1월	1/SN+월/NNB
제1진이	제/XPN+1/SN+진/NNG+이/JKS
주둔지인	주둔지/NNG+이/VCP+ㄴ/ETM
남수단의	남수단/NNP+의/JKG
수도	수도/NNG
주바로	주바/NNP+로/JKB
떠날	떠나/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.138.5.4
앞서 반기문 유엔 사무총장은 지난 9월 일본에 남수단 파병을 요청한 바 있다.

앞서	앞서/MAG
반기문	반기문/NNP
유엔	유엔/NNP
사무총장은	사무총장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
일본에	일본/NNP+에/JKB
남수단	남수단/NNP
파병을	파병/NNG+을/JKO
요청한	요청/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.138.6.1
<산케이신문>은 이번 파병에 대해 “5년가량 주둔해 활동하는 것을 상정하고 있다”며 “이례적으로 매우 긴 것”이라고 설명했다.

<산케이신문>은	</SS+산케이신문/NNP+>/SS+은/JX
이번	이번/NNG
파병에	파병/NNG+에/JKB
대해	대하/VV+아/EC
“5년가량	“/SS+5/SN+년/NNB+가량/XSN
주둔해	주둔/NNG+하/XSV+아/EC
활동하는	활동/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
상정하고	상정/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“이례적으로	“/SS+이례/NNG+적/XSN+으로/JKB
매우	매우/MAG
긴	길/VA+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.6.2
일본은 지난 1992년 캄보디아에 자위대를 처음 파병한 이래 지금까지 10개국에서 평화유지활동에 참가했으나, 동티모르에 주둔했던 것이 2년4개월로 가장 길었다.

일본은	일본/NNP+은/JX
지난	지나/VV+ㄴ/ETM
1992년	1992/SN+년/NNB
캄보디아에	캄보디아/NNP+에/JKB
자위대를	자위대/NNG+를/JKO
처음	처음/NNG
파병한	파병/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
지금까지	지금/NNG+까지/JX
10개국에서	10/SN+개국/NNB+에서/JKB
평화유지활동에	평화/NNG+유지/NNG+활동/NNG+에/JKB
참가했으나,	참가/NNG+하/XSV+았/EP+으나/EC+,/SP
동티모르에	동티모르/NNP+에/JKB
주둔했던	주둔/NNG+하/XSV+았/EP+던/ETM
것이	것/NNB+이/JKS
2년4개월로	2/SN+년/NNB+4/SN+개월/NNB+로/JKB
가장	가장/MAG
길었다.	길/VA+었/EP+다/EF+./SF


# id : NWRW1800000032.138.7.1
이치카와 방위상은 기자회견에서 “자위대가 확실히 족적을 남기는 역할을 맡을 것”이라고 말했다.

이치카와	이치카와/NNP
방위상은	방위상/NNG+은/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“자위대가	“/SS+자위대/NNG+가/JKS
확실히	확실히/MAG
족적을	족적/NNG+을/JKO
남기는	남기/VV+는/ETM
역할을	역할/NNG+을/JKO
맡을	맡/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.7.2
<산케이신문>은 “자위대는 남수단에서 국가 건설 과정에 적극 관여하게 될 것”이라며 “이를 통해 아프리카에서 권익 확보에 적극적으로 나서고 있는 중국과 외교에서 차별화를 꾀할 것”이라고 전했다.

<산케이신문>은	</SS+산케이신문/NNP+>/SS+은/JX
“자위대는	“/SS+자위대/NNG+는/JX
남수단에서	남수단/NNP+에서/JKB
국가	국가/NNG
건설	건설/NNG
과정에	과정/NNG+에/JKB
적극	적극/NNG
관여하게	관여/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
통해	통하/VV+아/EC
아프리카에서	아프리카/NNP+에서/JKB
권익	권익/NNG
확보에	확보/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
나서고	나서/VV+고/EC
있는	있/VX+는/ETM
중국과	중국/NNP+과/JKB
외교에서	외교/NNG+에서/JKB
차별화를	차별/NNG+화/XSN+를/JKO
꾀할	꾀하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.8.1
이번에 파견하는 자위대의 장기주둔을 계기로 민주당은 1일 내각·외무·방위 부문 합동회의를 열어 자위대의 무기사용을 매우 엄격히 규제한 이른바 ‘파병 5원칙’도 재검토에 착수했다.

