# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.369
metadata : {}


# id : NWRW1800000045.369.1.1
“사찰 논란 SKT회선은 내부 실험용” “명확한 근거 대라”

“사찰	“/SS+사찰/NNG
논란	논란/NNG
SKT회선은	SKT/SL+회선/NNG+은/JX
내부	내부/NNG
실험용”	실험/NNG+용/XSN+”/SS
“명확한	“/SS+명확하/VA+ㄴ/ETM
근거	근거/NNG
대라”	대/VV+라/EF+”/SS


# id : NWRW1800000045.369.2.1
[‘국정원 해킹’ 상임위 보고] 국정원-野, 정보위 5시간 공방

[‘국정원	[/SS+‘/SS+국정원/NNG
해킹’	해킹/NNG+’/SS
상임위	상임위/NNG
보고]	보고/NNG+]/SS
국정원-野,	국정원/NNG+-/SO+野/SH+,/SP
정보위	정보위/NNG
5시간	5/SN+시간/NNB
공방	공방/NNG


# id : NWRW1800000045.369.3.1
27일 국회 정보위원회에서는 국가정보원의 ‘자료 제출이 제대로 됐는지’가 쟁점이 됐다.

27일	27/SN+일/NNB
국회	국회/NNG
정보위원회에서는	정보/NNG+위원회/NNG+에서/JKB+는/JX
국가정보원의	국가/NNG+정보원/NNG+의/JKG
‘자료	‘/SS+자료/NNG
제출이	제출/NNG+이/JKS
제대로	제대로/MAG
됐는지’가	되/VV+었/EP+는지/EC+’/SS+가/JKS
쟁점이	쟁점/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.3.2
국정원은 로그파일(사용기록) 원본 등의 자료 제출을 요구한 야당의 주장에 “(보안상) 안 된다”고 선을 그었다.

국정원은	국정원/NNG+은/JX
로그파일(사용기록)	로그/NNG+파일/NNG+(/SS+사용/NNG+기록/NNG+)/SS
원본	원본/NNG
등의	등/NNB+의/JKG
자료	자료/NNG
제출을	제출/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
야당의	야당/NNG+의/JKG
주장에	주장/NNG+에/JKB
“(보안상)	“/SS+(/SS+보안/NNG+상/XSN+)/SS
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
선을	선/NNG+을/JKO
그었다.	긋/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.3.3
이에 야당은 의사진행 발언 등을 통해 불만을 토로하며 강력히 반발했다.

이에	이/NP+에/JKB
야당은	야당/NNG+은/JX
의사진행	의사/NNG+진행/NNG
발언	발언/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
불만을	불만/NNG+을/JKO
토로하며	토로/NNG+하/XSV+며/EC
강력히	강력히/MAG
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.4.1
○ ‘부실 자료 제출’ 두고 갑론을박

○	○/SW
‘부실	‘/SS+부실/NNG
자료	자료/NNG
제출’	제출/NNG+’/SS
두고	두/VV+고/EC
갑론을박	갑론을박/NNG


# id : NWRW1800000045.369.5.1
국정원의 해킹 프로그램 의혹 사건의 진상 규명을 위한 정보위 전체회의는 27일 오후 2시부터 5시간 반가량 긴장된 분위기 속에서 진행됐다.

국정원의	국정원/NNG+의/JKG
해킹	해킹/NNG
프로그램	프로그램/NNG
의혹	의혹/NNG
사건의	사건/NNG+의/JKG
진상	진상/NNG
규명을	규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정보위	정보위/NNG
전체회의는	전체/NNG+회의/NNG+는/JX
27일	27/SN+일/NNB
오후	오후/NNG
2시부터	2/SN+시/NNB+부터/JX
5시간	5/SN+시간/NNB
반가량	반/NNG+가량/XSN
긴장된	긴장/NNG+되/XSV+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.5.2
여야 의원들은 이병호 국가정보원장의 현안보고 내용을 놓고 엇갈린 평가를 내놓으며 날카로운 신경전을 벌였다.

여야	여야/NNG
의원들은	의원/NNG+들/XSN+은/JX
이병호	이병호/NNP
국가정보원장의	국가/NNG+정보원장/NNG+의/JKG
현안보고	현안/NNG+보고/NNG
내용을	내용/NNG+을/JKO
놓고	놓/VV+고/EC
엇갈린	엇갈리/VV+ㄴ/ETM
평가를	평가/NNG+를/JKO
내놓으며	내놓/VV+으며/EC
날카로운	날카롭/VA+ㄴ/ETM
신경전을	신경전/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.6.1
정보위 여당 간사인 새누리당 이철우 의원은 임모 과장이 삭제한 51개 자료와 관련해 “누가 들어도 알아듣기 쉽게 삭제한 부분에 대한 설명이 있었다”며 “대북·대테러용으로 10개, 31개는 국정원 공용폰과 컴퓨터에서 사용한 실험용이고, 10개는 실패한 것들”이라고 설명했다.

정보위	정보위/NNG
여당	여당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
이철우	이철우/NNP
의원은	의원/NNG+은/JX
임모	임/NNP+모/NP
과장이	과장/NNG+이/JKS
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
51개	51/SN+개/NNB
자료와	자료/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“누가	“/SS+누구/NP+가/JKS
들어도	듣/VV+어도/EC
알아듣기	알아듣/VV+기/ETN
쉽게	쉽/VA+게/EC
부분에	부분/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
설명이	설명/NNG+이/JKS
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“대북·대테러용으로	“/SS+대북/NNG+·/SP+대테러/NNG+용/XSN+으로/JKB
10개,	10/SN+개/NNB+,/SP
31개는	31/SN+개/NNB+는/JX
국정원	국정원/NNG
공용폰과	공용/NNG+폰/NNG+과/JC
컴퓨터에서	컴퓨터/NNG+에서/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
실험용이고,	실험/NNG+용/XSN+이/VCP+고/EC+,/SP
10개는	10/SN+개/NNB+는/JX
실패한	실패/NNG+하/XSV+ㄴ/ETM
것들”이라고	것/NNB+들/XSN+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.6.2
임 과장은 17일 오전 1시부터 3시 사이에 관련 자료를 삭제한 것으로 보고됐다.

임	임/NNP
과장은	과장/NNG+은/JX
17일	17/SN+일/NNB
오전	오전/NNG
1시부터	1/SN+시/NNB+부터/JX
3시	3/SN+시/NNB
사이에	사이/NNG+에/JKB
관련	관련/NNG
자료를	자료/NNG+를/JKO
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고됐다.	보고/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.6.3
임 과장이 스스로 목숨을 끊으려고 이튿날 오전 5시께 집을 나서기 약 28시간 전의 일.

임	임/NNP
과장이	과장/NNG+이/JKS
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊으려고	끊/VV+으려고/EC
이튿날	이튿날/NNG
오전	오전/NNG
5시께	5/SN+시/NNB+께/XSN
집을	집/NNG+을/JKO
나서기	나서/VV+기/ETN
약	약/MMA
28시간	28/SN+시간/NNB
전의	전/NNG+의/JKG
일.	일/NNG+./SF


# id : NWRW1800000045.369.7.1
같은 당 박민식 의원도 “국정원에서 대국민 사찰 논란과 관련해 사실이 아니라는 것을 상당히 설득력 있게 답변했다”며 “수긍할 만한 부분이 있었고 상식적으로도 들어보면 맞는 설명이 많았다”고 말했다.

같은	같/VA+은/ETM
당	당/NNG
박민식	박민식/NNP
의원도	의원/NNG+도/JX
“국정원에서	“/SS+국정원/NNG+에서/JKB
대국민	대국민/NNG
사찰	사찰/NNG
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
사실이	사실/NNG+이/JKC
아니라는	아니/VCN+라는/ETM
것을	것/NNB+을/JKO
상당히	상당히/MAG
설득력	설득력/NNG
있게	있/VA+게/EC
답변했다”며	답변/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“수긍할	“/SS+수긍/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
부분이	부분/NNG+이/JKS
