# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.81
metadata : {}


# id : NWRW1800000026.81.1.1
[금융회사의 글로벌 & 고객만족 경영] 현대카드, 비씨카드;현대카드_고객만족 최우선… 시장점유 확대, 비씨카드_해외 수수료 없애… 5천억원 절감

[금융회사의	[/SS+금융/NNG+회사/NNG+의/JKG
글로벌	글로벌/NNG
&	&/SW
고객만족	고객/NNG+만족/NNG
경영]	경영/NNG+]/SS
현대카드,	현대카드/NNP+,/SP
비씨카드;현대카드_고객만족	비씨카드/NNP+;/SP+현대카드/NNP+_/SS+고객/NNG+만족/NNG
최우선…	최/XPN+우선/NNG+…/SE
시장점유	시장/NNG+점유/NNG
확대,	확대/NNG+,/SP
비씨카드_해외	비씨카드/NNP+_/SS+해외/NNG
수수료	수수료/NNG
없애…	없애/VV+어/EC+…/SE
5천억원	5/SN+천억/NR+원/NNB
절감	절감/NNG


# id : NWRW1800000026.81.2.1
2009년 말까지 고객만족과 관련된 문제점들을 찾아 보고하고 다른 사원들과 공유한다면 가급적 관리책임을 묻지 않겠습니다.

2009년	2009/SN+년/NNB
말까지	말/NNB+까지/JX
고객만족과	고객/NNG+만족/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
문제점들을	문제점/NNG+들/XSN+을/JKO
찾아	찾/VV+아/EC
보고하고	보고/NNG+하/XSV+고/EC
다른	다른/MMD
사원들과	사원/NNG+들/XSN+과/JKB
공유한다면	공유/NNG+하/XSV+ㄴ다면/EC
가급적	가급적/MAG
관리책임을	관리/NNG+책임/NNG+을/JKO
묻지	묻/VV+지/EC
않겠습니다.	않/VX+겠/EP+습니다/EF+./SF


# id : NWRW1800000026.81.2.2
다만 이후에 이와 관련한 문제점이 드러나면 가중 문책하겠습니다.

다만	다만/MAG
이후에	이후/NNG+에/JKB
이와	이/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
문제점이	문제점/NNG+이/JKS
드러나면	드러나/VV+면/EC
가중	가중/NNG
문책하겠습니다.	문책/NNG+하/XSV+겠/EP+습니다/EF+./SF


# id : NWRW1800000026.81.3.1
정태영 현대캐피탈·현대카드 사장이 작년 8월 사내 인트라넷에 올린 글의 일부다.

정태영	정태영/NNP
현대캐피탈·현대카드	현대캐피탈/NNP+·/SP+현대카드/NNP
사장이	사장/NNG+이/JKS
작년	작년/NNG
8월	8/SN+월/NNB
사내	사내/NNG
인트라넷에	인트라넷/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글의	글/NNG+의/JKG
일부다.	일부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.3.2
정 사장은 작년과 올해를 '고객만족 원년'으로 선포하고 전 직원들에게 이 같은 고해성사를 주문했다.

정	정/NNP
사장은	사장/NNG+은/JX
작년과	작년/NNG+과/JC
올해를	올해/NNG+를/JKO
