# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.343
metadata : {}


# id : NWRW1800000025.343.1.1
[대구/경북]“취업 본부 덕에 자신감 생겼어요”

[대구/경북]“취업	[/SS+대구/NNP+//SP+경북/NNP+]/SS+“/SS+취업/NNG
본부	본부/NNG
덕에	덕/NNG+에/JKB
자신감	자신감/NNG
생겼어요”	생기/VV+었/EP+어요/EF+”/SS


# id : NWRW1800000025.343.2.1
“여기서 준비하면 취업이 더 잘될 것 같은 느낌이 드네요.

“여기서	“/SS+여기/NP+서/JKB
준비하면	준비/NNG+하/XSV+면/EC
취업이	취업/NNG+이/JKS
더	더/MAG
잘될	잘/MAG+되/XSV+ㄹ/ETM
것	것/NNB
같은	같/VA+은/ETM
느낌이	느낌/NNG+이/JKS
드네요.	들/VV+네/EF+요/JX+./SF


# id : NWRW1800000025.343.2.2
도서관과는 분위기가 아주 다릅니다.”

도서관과는	도서관/NNG+과/JKB+는/JX
분위기가	분위기/NNG+가/JKS
아주	아주/MAG
다릅니다.”	다르/VA+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000025.343.2.3
요즘 대구가톨릭대 학생들이 가장 즐겨 찾는 공간은 교문 오른쪽에 들어선 ‘취업·창업센터’다.

요즘	요즘/NNG
대구가톨릭대	대구가톨릭대/NNP
학생들이	학생/NNG+들/XSN+이/JKS
가장	가장/MAG
즐겨	즐기/VV+어/EC
찾는	찾/VV+는/ETM
공간은	공간/NNG+은/JX
교문	교문/NNG
오른쪽에	오른쪽/NNG+에/JKB
들어선	들어서/VV+ㄴ/ETM
‘취업·창업센터’다.	‘/SS+취업/NNG+·/SP+창업/NNG+센터/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000025.343.2.4
30일 개소식을 열지만 운영은 9월부터 시작했다.

30일	30/SN+일/NNB
개소식을	개소식/NNG+을/JKO
열지만	열/VV+지만/EC
운영은	운영/NNG+은/JX
9월부터	9/SN+월/NNB+부터/JX
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.343.2.5
이 센터 앞에서 만난 학생들은 “취업정보와 준비를 위한 모든 자료 및 시설이 한곳에 모여 있어 매우 유익하다”고 입을 모았다.

이	이/MMD
센터	센터/NNG
앞에서	앞/NNG+에서/JKB
