# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.114
metadata : {}


# id : NWRW1800000048.114.1.1
미, 발트3국에 탱크 등 중화기 비축

미,	미/NNP+,/SP
발트3국에	발트/NNP+3국/NNG+에/JKB
탱크	탱크/NNG
등	등/NNB
중화기	중화기/NNG
비축	비축/NNG


# id : NWRW1800000048.114.2.1
‘옛 소련 영향권’ 동유럽 나토국에

‘옛	‘/SS+옛/MMA
소련	소련/NNP
영향권’	영향/NNG+권/XSN+’/SS
동유럽	동유럽/NNP
나토국에	나토국/NNG+에/JKB


# id : NWRW1800000048.114.3.1
상시 배치는 처음…러에 강력 경고

상시	상시/NNG
배치는	배치/NNG+는/JX
처음…러에	처음/NNG+…/SE+러/NNP+에/JKB
강력	강력/NNG
경고	경고/NNG


# id : NWRW1800000048.114.4.1
미국이 옛 소련의 자치공화국이었던 발트해 3국을 포함한 동유럽 국가에 탱크 등 중화기를 미리 비축하는 정책을 추진 중이다.

미국이	미국/NNP+이/JKS
옛	옛/MMA
소련의	소련/NNP+의/JKG
자치공화국이었던	자치/NNG+공화국/NNG+이/VCP+었/EP+던/ETM
발트해	발트해/NNP
3국을	3국/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
동유럽	동유럽/NNP
국가에	국가/NNG+에/JKB
탱크	탱크/NNG
등	등/NNB
중화기를	중화기/NNG+를/JKO
미리	미리/MAG
비축하는	비축/NNG+하/XSV+는/ETM
정책을	정책/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.114.4.2
미국이 소련의 공식 세력권이었던 동유럽의 신입 북대서양조약기구(NATO·나토) 국가에 중화기를 상시 배치하는 것은 처음이다.

미국이	미국/NNP+이/JKS
소련의	소련/NNP+의/JKG
공식	공식/NNG
세력권이었던	세력/NNG+권/XSN+이/VCP+었/EP+던/ETM
동유럽의	동유럽/NNP+의/JKG
신입	신입/NNG
북대서양조약기구(NATO·나토)	북대서양조약기구/NNP+(/SS+NATO/SL+·/SP+나토/NNP+)/SS
국가에	국가/NNG+에/JKB
중화기를	중화기/NNG+를/JKO
상시	상시/NNG
배치하는	배치/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.114.5.1
미 국방부는 발트해 및 동유럽 국가에 5000여명의 미군이 사용하는 탱크와 보병 전투차량 등 중화기 비축을 준비 중이라고 미국 관리들이 밝혔다고 <뉴욕 타임스>와 <워싱턴 포스트>가 13일 보도했다.

미	미/NNP
국방부는	국방부/NNG+는/JX
발트해	발트해/NNP
및	및/MAG
동유럽	동유럽/NNP
국가에	국가/NNG+에/JKB
5000여명의	5000/SN+여/XSN+명/NNB+의/JKG
미군이	미군/NNG+이/JKS
사용하는	사용/NNG+하/XSV+는/ETM
탱크와	탱크/NNG+와/JC
보병	보병/NNG
전투차량	전투/NNG+차량/NNG
등	등/NNB
중화기	중화기/NNG
비축을	비축/NNG+을/JKO
준비	준비/NNG
중이라고	중/NNB+이/VCP+라고/EC
미국	미국/NNP
관리들이	관리/NNG+들/XSN+이/JKS
밝혔다고	밝히/VV+었/EP+다고/EC
<뉴욕	</SS+뉴욕/NNP
타임스>와	타임스/NNP+>/SS+와/JC
<워싱턴	</SS+워싱턴/NNP
포스트>가	포스트/NNG+>/SS+가/JKS
13일	13/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.114.5.2
이는 미국이 러시아와 국경을 맞댄 나토 회원국을 방위할 것이라고 블라디미르 푸틴 러시아 대통령에게 가장 명확한 메시지를 보낸 것이라고 <뉴욕 타임스>는 평했다.

이는	이/NP+는/JX
미국이	미국/NNP+이/JKS
러시아와	러시아/NNP+와/JKB
국경을	국경/NNG+을/JKO
맞댄	맞대/VV+ㄴ/ETM
나토	나토/NNP
회원국을	회원국/NNG+을/JKO
방위할	방위/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
블라디미르	블라디미르/NNP
푸틴	푸틴/NNP
러시아	러시아/NNP
대통령에게	대통령/NNG+에게/JKB
가장	가장/MAG
명확한	명확하/VA+ㄴ/ETM
메시지를	메시지/NNG+를/JKO
보낸	보내/VV+ㄴ/ETM
<뉴욕	</SS+뉴욕/NNP
타임스>는	타임스/NNP+>/SS+는/JX
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.114.6.1
미국과 서유럽 국가들의 군사동맹인 나토가 2004년 발트해 3국인 에스토니아·라트비아·리투아니아까지 확장된 뒤에도, 미국과 동맹국들은 과거 소련의 영향권이던 동유럽 지역에 군사장비의 영구 배치를 피해왔다.

미국과	미국/NNP+과/JC
서유럽	서유럽/NNP
국가들의	국가/NNG+들/XSN+의/JKG
군사동맹인	군사/NNG+동맹/NNG+이/VCP+ㄴ/ETM
나토가	나토/NNP+가/JKS
2004년	2004/SN+년/NNB
발트해	발트해/NNP
3국인	3국/NNG+이/VCP+ㄴ/ETM
에스토니아·라트비아·리투아니아까지	에스토니아/NNP+·/SP+라트비아/NNP+·/SP+리투아니아/NNP+까지/JX
확장된	확장/NNG+되/XSV+ㄴ/ETM
뒤에도,	뒤/NNG+에/JKB+도/JX+,/SP
동맹국들은	동맹국/NNG+들/XSN+은/JX
과거	과거/NNG
소련의	소련/NNP+의/JKG
영향권이던	영향/NNG+권/XSN+이/VCP+던/ETM
동유럽	동유럽/NNP
지역에	지역/NNG+에/JKB
군사장비의	군사/NNG+장비/NNG+의/JKG
영구	영구/NNG
배치를	배치/NNG+를/JKO
피해왔다.	피하/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.114.6.2
나토 사령관을 지낸 제임스 스태브리디스 미국 터프츠대의 플레처외교대학원장은 “이는 아주 의미있는 정책 변화다”라고 짚었다.

나토	나토/NNP
사령관을	사령관/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
제임스	제임스/NNP
스태브리디스	스태브리디스/NNP
미국	미국/NNP
터프츠대의	터프츠대/NNP+의/JKG
플레처외교대학원장은	플레처/NNP+외교/NNG+대학원장/NNG+은/JX
“이는	“/SS+이/NP+는/JX
아주	아주/MAG
의미있는	의미/NNG+있/VA+는/ETM
정책	정책/NNG
변화다”라고	변화/NNG+이/VCP+다/EF+”/SS+라고/JKQ
짚었다.	짚/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.114.7.1
발트해 국가 등에 중화기를 미리 배치하자는 정책은 앞서도 논의됐으나, 1997년 나토와 러시아 사이에 맺은 ‘협력과 안보에 관한 상호관계 조약’의 정신에 어긋난다는 러시아 쪽의 반발로 인해 실현되지 못했다.

발트해	발트해/NNP
국가	국가/NNG
등에	등/NNB+에/JKB
중화기를	중화기/NNG+를/JKO
미리	미리/MAG
배치하자는	배치/NNG+하/XSV+자는/ETM
정책은	정책/NNG+은/JX
앞서도	앞서/MAG+도/JX
논의됐으나,	논의/NNG+되/XSV+었/EP+으나/EC+,/SP
1997년	1997/SN+년/NNB
나토와	나토/NNP+와/JC
러시아	러시아/NNP
사이에	사이/NNG+에/JKB
맺은	맺/VV+은/ETM
‘협력과	‘/SS+협력/NNG+과/JC
안보에	안보/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
상호관계	상호/NNG+관계/NNG
조약’의	조약/NNG+’/SS+의/JKG
정신에	정신/NNG+에/JKB
어긋난다는	어긋나/VV+ㄴ다는/ETM
쪽의	쪽/NNB+의/JKG
반발로	반발/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
실현되지	실현/NNG+되/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.114.7.2
이 조약에서 나토는 러시아와 인접한 국가들에 “실질적인 전투력의 추가적인 상시 주둔”을 추구하지 않겠다고 다짐했다.

이	이/MMD
조약에서	조약/NNG+에서/JKB
나토는	나토/NNP+는/JX
러시아와	러시아/NNP+와/JKB
인접한	인접/NNG+하/XSV+ㄴ/ETM
국가들에	국가/NNG+들/XSN+에/JKB
“실질적인	“/SS+실질/NNG+적/XSN+이/VCP+ㄴ/ETM
전투력의	전투력/NNG+의/JKG
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
상시	상시/NNG
주둔”을	주둔/NNG+”/SS+을/JKO
추구하지	추구/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.114.7.3
이 조약은 또 “나토와 러시아는 상대를 적으로 간주하지 않는다”고 밝혔다.

이	이/MMD
조약은	조약/NNG+은/JX
또	또/MAG
“나토와	“/SS+나토/NNP+와/JC
러시아는	러시아/NNP+는/JX
상대를	상대/NNG+를/JKO
적으로	적/NNG+으로/JKB
간주하지	간주/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.114.7.4
그러나, 나토 안에서는 최근 크림반도 합병 등 점증하는 러시아의 공격적 행위가 이 조약을 실질적으로 고려할 가치가 없는 것으로 만들었다는 주장이 나오고 있다.

그러나,	그러나/MAJ+,/SP
나토	나토/NNP
안에서는	안/NNG+에서/JKB+는/JX
최근	최근/NNG
크림반도	크림반도/NNP
합병	합병/NNG
등	등/NNB
점증하는	점증/NNG+하/XSV+는/ETM
러시아의	러시아/NNP+의/JKG
공격적	공격/NNG+적/XSN
행위가	행위/NNG+가/JKS
이	이/MMD
조약을	조약/NNG+을/JKO
실질적으로	실질/NNG+적/XSN+으로/JKB
고려할	고려/NNG+하/XSV+ㄹ/ETM
가치가	가치/NNG+가/JKS
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
만들었다는	만들/VV+었/EP+다는/ETM
주장이	주장/NNG+이/JKS
나오고	나오/VV+고/EC
