# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.216
metadata : {}


# id : NWRW1800000029.216.1.1
대중목욕탕서 주부 감전 사망

대중목욕탕서	대중목욕탕/NNG+서/JKB
주부	주부/NNG
감전	감전/NNG
사망	사망/NNG


# id : NWRW1800000029.216.2.1
욕조에 전기 흘러… 누전 추정

욕조에	욕조/NNG+에/JKB
전기	전기/NNG
흘러…	흐르/VV+어/EF+…/SE
누전	누전/NNG
추정	추정/NNG


# id : NWRW1800000029.216.3.1
대중목욕탕에서 목욕하던 40대 주부가 욕탕 안에서 감전사해 경찰이 수사에 나섰다.

대중목욕탕에서	대중목욕탕/NNG+에서/JKB
목욕하던	목욕/NNG+하/XSV+던/ETM
40대	40/SN+대/NNB
주부가	주부/NNG+가/JKS
욕탕	욕탕/NNG
안에서	안/NNG+에서/JKB
감전사해	감전사/NNG+하/XSV+아/EC
경찰이	경찰/NNG+이/JKS
수사에	수사/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.216.4.1
서울 광진경찰서와 광진소방서 등에 따르면 27일 오전 11시경 광진구 화양동 R사우나클럽 내 욕탕에서 목욕을 하던 최모 씨(48·여)가 갑자기 심장마비를 일으켜 병원으로 옮겨졌으나 숨졌다.

서울	서울/NNP
광진경찰서와	광진경찰서/NNP+와/JC
광진소방서	광진소방서/NNP
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
27일	27/SN+일/NNB
오전	오전/NNG
11시경	11/SN+시/NNB+경/XSN
광진구	광진구/NNP
화양동	화양동/NNP
R사우나클럽	R사우나클럽/NNG
내	내/NNB
욕탕에서	욕탕/NNG+에서/JKB
목욕을	목욕/NNG+을/JKO
하던	하/VV+던/ETM
최모	최/NNP+모/NP
씨(48·여)가	씨/NNB+(/SS+48/SN+·/SP+여/NNG+)/SS+가/JKS
갑자기	갑자기/MAG
심장마비를	심장/NNG+마비/NNG+를/JKO
일으켜	일으키/VV+어/EC
병원으로	병원/NNG+으로/JKB
옮겨졌으나	옮기/VV+어/EC+지/VX+었/EP+으나/EC
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.216.4.2
당시 탕 안에는 최 씨 혼자 있었다.

당시	당시/NNG
탕	탕/NNG
안에는	안/NNG+에/JKB+는/JX
최	최/NNP
씨	씨/NNB
혼자	혼자/MAG
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.216.5.1
경찰에 따르면 당시 목욕탕 안에 있던 목격자들은 “욕탕에 혼자 있던 최 씨가 갑자기 의식을 잃고 떠올랐다”며 “구하기 위해 욕탕에 들어가려 했지만 물에 전기가 흘러 조치가 늦었다”고 진술했다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
당시	당시/NNG
목욕탕	목욕탕/NNG
안에	안/NNG+에/JKB
있던	있/VA+던/ETM
목격자들은	목격자/NNG+들/XSN+은/JX
“욕탕에	“/SS+욕탕/NNG+에/JKB
혼자	혼자/MAG
최	최/NNP
씨가	씨/NNB+가/JKS
갑자기	갑자기/MAG
의식을	의식/NNG+을/JKO
잃고	잃/VV+고/EC
떠올랐다”며	떠오르/VV+았/EP+다/EF+”/SS+며/EC
“구하기	“/SS+구하/VV+기/ETN
위해	위하/VV+아/EC
욕탕에	욕탕/NNG+에/JKB
들어가려	들어가/VV+려/EC
했지만	하/VX+았/EP+지만/EC
물에	물/NNG+에/JKB
전기가	전기/NNG+가/JKS
흘러	흐르/VV+어/EC
조치가	조치/NNG+가/JKS
늦었다”고	늦/VA+었/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.216.5.2
당시 현장에서는 이모 씨가 최 씨를 구하기 위해 탕 안에 들어갔다가 감전돼 병원으로 옮겨졌다.

당시	당시/NNG
현장에서는	현장/NNG+에서/JKB+는/JX
이모	이/NNP+모/NP
씨가	씨/NNB+가/JKS
최	최/NNP
씨를	씨/NNB+를/JKO
구하기	구하/VV+기/ETN
위해	위하/VV+아/EC
탕	탕/NNG
안에	안/NNG+에/JKB
들어갔다가	들어가/VV+았/EP+다가/EC
감전돼	감전/NNG+되/XSV+어/EC
병원으로	병원/NNG+으로/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.216.5.3
다행히 이 씨는 큰 부상 없이 퇴원했다.

다행히	다행히/MAG
이	이/NNP
씨는	씨/NNB+는/JX
큰	크/VA+ㄴ/ETM
부상	부상/NNG
없이	없이/MAG
퇴원했다.	퇴원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.216.5.4
경찰은 일단 욕탕 안에 설치된 방울욕조 시설에서 누전이 일어난 것으로 보고 정확한 사고 경위를 조사하고 있다.

경찰은	경찰/NNG+은/JX
일단	일단/MAG
욕탕	욕탕/NNG
안에	안/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
방울욕조	방울/NNG+욕조/NNG
시설에서	시설/NNG+에서/JKB
누전이	누전/NNG+이/JKS
일어난	일어나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
사고	사고/NNG
경위를	경위/NNG+를/JKO
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.216.6.1
일각에서는 이번 사고가 욕탕 내 전기설비 안전점검에 대한 기준이 없기 때문에 발생했다는 지적도 나오고 있다.

일각에서는	일각/NNG+에서/JKB+는/JX
이번	이번/NNG
사고가	사고/NNG+가/JKS
욕탕	욕탕/NNG
내	내/NNB
전기설비	전기/NNG+설비/NNG
안전점검에	안전/NNG+점검/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기준이	기준/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
발생했다는	발생/NNG+하/XSV+았/EP+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.216.6.2
목욕탕을 감독하는 구와 전기 안전을 담당하는 한국전기안전공사는 욕탕 내 전기설비 안전점검에 대해 “우리 책임이 아니다”라고 말했다.

목욕탕을	목욕탕/NNG+을/JKO
감독하는	감독/NNG+하/XSV+는/ETM
구와	구/NNG+와/JC
전기	전기/NNG
안전을	안전/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
한국전기안전공사는	한국전기안전공사/NNP+는/JX
욕탕	욕탕/NNG
내	내/NNB
전기설비	전기/NNG+설비/NNG
안전점검에	안전/NNG+점검/NNG+에/JKB
대해	대하/VV+아/EC
“우리	“/SS+우리/NP
책임이	책임/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.216.7.1
광진구 보건위생과는 “지난달 중순 해당 목욕탕에 대한 위생점검을 했지만 욕탕 내 전기설비는 점검 대상이 아니다”라고 말했다.

광진구	광진구/NNP
보건위생과는	보건/NNG+위생과/NNG+는/JX
“지난달	“/SS+지난달/NNG
중순	중순/NNG
해당	해당/NNG
목욕탕에	목욕탕/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
위생점검을	위생/NNG+점검/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
욕탕	욕탕/NNG
내	내/NNB
전기설비는	전기/NNG+설비/NNG+는/JX
점검	점검/NNG
대상이	대상/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.216.7.2
한국전기안전공사 동부지사 역시 “해당 목욕탕 건물에 대해 3월 안전점검을 했지만 욕탕 내부 전기시설까지 점검하지는 않는다”고 말했다.

한국전기안전공사	한국전기안전공사/NNP
동부지사	동부/NNG+지사/NNG
역시	역시/MAG
“해당	“/SS+해당/NNG
목욕탕	목욕탕/NNG
건물에	건물/NNG+에/JKB
대해	대하/VV+아/EC
3월	3/SN+월/NNB
안전점검을	안전/NNG+점검/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
욕탕	욕탕/NNG
내부	내부/NNG
전기시설까지	전기/NNG+시설/NNG+까지/JX
점검하지는	점검/NNG+하/XSV+지/EC+는/JX
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


