# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.81
metadata : {}


# id : NWRW1800000056.81.1.1
미·중 첫 경제대화, 빈손으로 막내려

미·중	미/NNP+·/SP+중/NNP
첫	첫/MMN
경제대화,	경제/NNG+대화/NNG+,/SP
빈손으로	빈손/NNG+으로/JKB
막내려	막/NNG+내리/VV+어/EF


# id : NWRW1800000056.81.2.1
[한겨레] 회담 뒤 기자회견 돌연 취소…공동성명도 없어

[한겨레]	[/SS+한겨레/NNP+]/SS
회담	회담/NNG
뒤	뒤/NNG
기자회견	기자/NNG+회견/NNG
돌연	돌연/MAG
취소…공동성명도	취소/NNG+…/SE+공동/NNG+성명/NNG+도/JX
없어	없/VA+어/EF


# id : NWRW1800000056.81.3.1
미 고위당국자 “무역·경제 의제 합의에 실패”

미	미/NNP
고위당국자	고위/NNG+당국자/NNG
“무역·경제	“/SS+무역/NNG+·/SP+경제/NNG
의제	의제/NNG
합의에	합의/NNG+에/JKB
실패”	실패/NNG+”/SS


# id : NWRW1800000056.81.4.1
무역적자 핵심 갈등…접점 찾기 쉽지 않아

무역적자	무역/NNG+적자/NNG
핵심	핵심/NNG
갈등…접점	갈등/NNG+…/SE+접점/NNG
찾기	찾/VV+기/ETN
쉽지	쉽/VA+지/EC
않아	않/VX+아/EF


# id : NWRW1800000056.81.5.1
도널드 트럼프 미국 대통령과 시진핑 중국 국가주석의 지난 4월 마라라고 정상회담에서 합의된 이후 처음 열린 ‘미-중 포괄적 경제대화’가 빈손으로 끝났다.

도널드	도널드/NNP
트럼프	트럼프/NNP
미국	미국/NNP
대통령과	대통령/NNG+과/JC
시진핑	시진핑/NNP
중국	중국/NNP
국가주석의	국가주석/NNG+의/JKG
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
마라라고	마라라고/NNP
정상회담에서	정상/NNG+회담/NNG+에서/JKB
합의된	합의/NNG+되/XSV+ㄴ/ETM
이후	이후/NNG
처음	처음/NNG
열린	열리/VV+ㄴ/ETM
‘미-중	‘/SS+미/NNP+-/SO+중/NNP
포괄적	포괄/NNG+적/XSN
경제대화’가	경제/NNG+대화/NNG+’/SS+가/JKS
빈손으로	빈손/NNG+으로/JKB
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.5.2
지난달 말 이후 급격히 악화되기 시작한 미-중 관계의 단면이라는 지적이 나온다.

지난달	지난달/NNG
말	말/NNB
이후	이후/NNG
급격히	급격히/MAG
악화되기	악화/NNG+되/XSV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
미-중	미/NNP+-/SO+중/NNP
관계의	관계/NNG+의/JKG
단면이라는	단면/NNG+이/VCP+라는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.81.5.3
향후 양국 관계도 특별한 전환점이 없는 한 갈등과 불확실성이 커지는 국면으로 빠져들 가능성이 높아졌다.

향후	향후/NNG
양국	양국/NNG
관계도	관계/NNG+도/JX
특별한	특별/NNG+하/XSA+ㄴ/ETM
전환점이	전환점/NNG+이/JKS
없는	없/VA+는/ETM
한	한/NNG
갈등과	갈등/NNG+과/JC
불확실성이	불확실/NNG+성/XSN+이/JKS
커지는	커지/VV+는/ETM
국면으로	국면/NNG+으로/JKB
빠져들	빠지/VV+어/EC+들/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.81.6.1
19일 워싱턴에서 열린 포괄적 경제대화에는 미국 쪽에서 스티븐 므누신 재무장관과 윌버 로스 상무장관, 재러드 쿠슈너 백악관 선임고문 등이 참석했다.

19일	19/SN+일/NNB
워싱턴에서	워싱턴/NNP+에서/JKB
