# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.403
metadata : {}


# id : NWRW1800000028.403.1.1
“한화, 비계열사 수천억 부당지원” /검찰, 정황 포착…재무책임자 조사

“한화,	“/SS+한화/NNP+,/SP
비계열사	비/XPN+계열사/NNG
수천억	수천억/NR
부당지원”	부당/NNG+지원/NNG+”/SS
/검찰,	//SP+검찰/NNG+,/SP
정황	정황/NNG
포착…재무책임자	포착/NNG+…/SE+재무/NNG+책임자/NNG
조사	조사/NNG


# id : NWRW1800000028.403.2.1
한화그룹의 비자금 조성 의혹을 수사중인 서울서부지검 형사5부(부장 이원곤)는 17일 그룹 쪽이 계열사를 동원해 비계열사에 수천억원을 부당지원한 정황을 포착하고 수사를 벌이고 있다.

한화그룹의	한화그룹/NNP+의/JKG
비자금	비자금/NNG
조성	조성/NNG
의혹을	의혹/NNG+을/JKO
수사중인	수사/NNG+중/NNB+이/VCP+ㄴ/ETM
서울서부지검	서울서부지검/NNP
형사5부(부장	형사/NNG+5/SN+부/NNG+(/SS+부장/NNG
이원곤)는	이원곤/NNP+)/SS+는/JX
17일	17/SN+일/NNB
그룹	그룹/NNG
쪽이	쪽/NNB+이/JKS
계열사를	계열사/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
비계열사에	비/XPN+계열사/NNG+에/JKB
수천억원을	수천억/NR+원/NNB+을/JKO
부당지원한	부당/NNG+지원/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착하고	포착/NNG+하/XSV+고/EC
수사를	수사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.403.3.1
검찰은 이런 정황을 확인하기 위해 이날 그룹의 재무분야를 총괄해온 홍동옥(62) 여천엔시시(NCC) 사장을 참고인 신분으로 불러 조사했다.

검찰은	검찰/NNG+은/JX
이런	이런/MMD
정황을	정황/NNG+을/JKO
확인하기	확인/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
이날	이날/NNG
그룹의	그룹/NNG+의/JKG
재무분야를	재무/NNG+분야/NNG+를/JKO
총괄해온	총괄/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
홍동옥(62)	홍동옥/NNP+(/SS+62/SN+)/SS
여천엔시시(NCC)	여천엔시시/NNP+(/SS+NCC/SL+)/SS
사장을	사장/NNG+을/JKO
참고인	참고인/NNG
신분으로	신분/NNG+으로/JKB
불러	부르/VV+어/EC
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


