# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.91
metadata : {}


# id : NWRW1800000033.91.1.1
[이제는 공존이다]롯데그룹 - ‘협력업체 성장이 곧 경쟁력’… 매달 협력사 직원 300여명 교육

[이제는	[/SS+이제/NNG+는/JX
공존이다]롯데그룹	공존/NNG+이/VCP+다/EF+]/SS+롯데그룹/NNP
-	-/SO
‘협력업체	‘/SS+협력/NNG+업체/NNG
성장이	성장/NNG+이/JKS
곧	곧/MAG
경쟁력’…	경쟁력/NNG+’/SS+…/SE
매달	매달/MAG
협력사	협력사/NNG
직원	직원/NNG
300여명	300/SN+여/XSN+명/NNB
교육	교육/NNG


# id : NWRW1800000033.91.2.1
롯데그룹은 ‘작지만 강한’ 협력업체 육성에 초점을 맞추고 있다.

롯데그룹은	롯데그룹/NNP+은/JX
‘작지만	‘/SS+작/VA+지만/EC
강한’	강하/VA+ㄴ/ETM+’/SS
협력업체	협력/NNG+업체/NNG
육성에	육성/NNG+에/JKB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.91.2.2
협력업체의 경쟁력 강화가 지속가능한 경영의 원동력이 된다는 판단 때문이다.

협력업체의	협력/NNG+업체/NNG+의/JKG
경쟁력	경쟁력/NNG
강화가	강화/NNG+가/JKS
지속가능한	지속/NNG+가능/NNG+하/XSA+ㄴ/ETM
경영의	경영/NNG+의/JKG
원동력이	원동력/NNG+이/JKC
된다는	되/VV+ㄴ다는/ETM
판단	판단/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.91.2.3
2010년 출범한 동반성장 추진 사무국은 계열사와의 업무 프로세스, 거래약관 등을 점검하고 있다.

2010년	2010/SN+년/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
동반성장	동반/NNG+성장/NNG
추진	추진/NNG
사무국은	사무국/NNG+은/JX
계열사와의	계열사/NNG+와/JKB+의/JKG
업무	업무/NNG
프로세스,	프로세스/NNG+,/SP
거래약관	거래/NNG+약관/NNG
등을	등/NNB+을/JKO
점검하고	점검/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.91.3.1
지난해 4월에는 신동빈 롯데그룹 회장이 참석한 가운데 ‘롯데그룹-협력사 공정거래 및 동반성장 협약’을 체결했다.

지난해	지난해/NNG
4월에는	4/SN+월/NNB+에/JKB+는/JX
신동빈	신동빈/NNP
롯데그룹	롯데그룹/NNP
회장이	회장/NNG+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
‘롯데그룹-협력사	‘/SS+롯데그룹/NNP+-/SO+협력사/NNG
공정거래	공정/NNG+거래/NNG
및	및/MAG
동반성장	동반/NNG+성장/NNG
협약’을	협약/NNG+’/SS+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.91.3.2
롯데그룹은 △유통 협력업체 해외 판로(販路) 지원 및 상생형 매장 강화 △자금지원 강화 및 대금결제 조건 개선 △동반성장 기업문화 정착 선도 등을 약속했다.

롯데그룹은	롯데그룹/NNP+은/JX
△유통	△/SW+유통/NNG
협력업체	협력/NNG+업체/NNG
해외	해외/NNG
판로(販路)	판로/NNG+(/SS+販路/SH+)/SS
지원	지원/NNG
및	및/MAG
상생형	상생/NNG+형/XSN
매장	매장/NNG
강화	강화/NNG
△자금지원	△/SW+자금/NNG+지원/NNG
대금결제	대금/NNG+결제/NNG
조건	조건/NNG
개선	개선/NNG
△동반성장	△/SW+동반/NNG+성장/NNG
기업문화	기업/NNG+문화/NNG
정착	정착/NNG
선도	선도/NNG
등을	등/NNB+을/JKO
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.91.4.1
우선 롯데그룹은 중소 협력사들에 해외 판로를 열어줘 이들의 글로벌 경쟁력을 키울 계획이다.

우선	우선/MAG
롯데그룹은	롯데그룹/NNP+은/JX
중소	중소/NNG
협력사들에	협력사/NNG+들/XSN+에/JKB
해외	해외/NNG
판로를	판로/NNG+를/JKO
열어줘	열/VV+어/EC+주/VX+어/EC
이들의	이/NP+들/XSN+의/JKG
글로벌	글로벌/NNG
경쟁력을	경쟁력/NNG+을/JKO
키울	키우/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.91.4.2
이를 위해 롯데가 진출해있는 중국, 러시아, 베트남, 인도네시아 등의 점포를 적극 활용하고 있다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
롯데가	롯데/NNP+가/JKS
진출해있는	진출/NNG+하/XSV+아/EC+있/VX+는/ETM
중국,	중국/NNP+,/SP
러시아,	러시아/NNP+,/SP
베트남,	베트남/NNP+,/SP
인도네시아	인도네시아/NNP
등의	등/NNB+의/JKG
점포를	점포/NNG+를/JKO
적극	적극/NNG
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.91.4.3
지난해 7월부터 롯데마트가 선발한 우수 협력업체는 중국, 베트남, 인도네시아의 롯데마트 매장에 단계적으로 입점했다.

지난해	지난해/NNG
7월부터	7/SN+월/NNB+부터/JX
롯데마트가	롯데마트/NNP+가/JKS
선발한	선발/NNG+하/XSV+ㄴ/ETM
우수	우수/NNG
협력업체는	협력/NNG+업체/NNG+는/JX
중국,	중국/NNP+,/SP
베트남,	베트남/NNP+,/SP
인도네시아의	인도네시아/NNP+의/JKG
롯데마트	롯데마트/NNP
매장에	매장/NNG+에/JKB
단계적으로	단계/NNG+적/XSN+으로/JKB
입점했다.	입점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.91.5.1
롯데백화점도 중국과 러시아 매장에 협력업체 상품의 비중을 확대하고 중소브랜드 전문 숍, 동반성장PB 브랜드 등을 늘려나갈 계획이다.

롯데백화점도	롯데백화점/NNP+도/JX
중국과	중국/NNP+과/JC
러시아	러시아/NNP
매장에	매장/NNG+에/JKB
협력업체	협력/NNG+업체/NNG
상품의	상품/NNG+의/JKG
비중을	비중/NNG+을/JKO
확대하고	확대/NNG+하/XSV+고/EC
중소브랜드	중소/NNG+브랜드/NNG
전문	전문/NNG
숍,	숍/NNG+,/SP
동반성장PB	동반/NNG+성장/NNG+PB/SL
브랜드	브랜드/NNG
등을	등/NNB+을/JKO
늘려나갈	늘리/VV+어/EC+나가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.91.6.1
롯데그룹은 1500억 원 규모의 동반성장펀드를 지난해 6월 2690억 원으로 크게 늘렸다.

롯데그룹은	롯데그룹/NNP+은/JX
1500억	1500/SN+억/NR
