# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.189
metadata : {}


# id : NWRW1800000052.189.1.1
노란색 ‘쿱’ 택시 잘~ 나갑니다

노란색	노란색/NNG
‘쿱’	‘/SS+쿱/NNP+’/SS
택시	택시/NNG
잘~	잘/MAG+~/SO
나갑니다	나가/VV+ㅂ니다/EF


# id : NWRW1800000052.189.2.1
서울협동조합택시 수입 최고

서울협동조합택시	서울협동조합택시/NNP
수입	수입/NNG
최고	최고/NNG


# id : NWRW1800000052.189.3.1
택시기사 조합원 가입 줄이어

택시기사	택시/NNG+기사/NNG
조합원	조합원/NNG
가입	가입/NNG
줄이어	줄이/VV+어/EF


# id : NWRW1800000052.189.4.1
“가동률 높고 출자금 배당 덕”

“가동률	“/SS+가동/NNG+률/XSN
높고	높/VA+고/EC
출자금	출자금/NNG
배당	배당/NNG
덕”	덕/NNG+”/SS


# id : NWRW1800000052.189.5.1
‘쿱’(COOP) 로고를 붙이고 노란색으로 도색된 ‘협동조합 택시’가 운행 6개월 만에 높은 경영성과를 보이며 주목받고 있다.

‘쿱’(COOP)	‘/SS+쿱/NNP+’/SS+(/SS+COOP/SL+)/SS
로고를	로고/NNG+를/JKO
붙이고	붙이/VV+고/EC
노란색으로	노란색/NNG+으로/JKB
도색된	도색/NNG+되/XSV+ㄴ/ETM
‘협동조합	‘/SS+협동조합/NNG
택시’가	택시/NNG+’/SS+가/JKS
운행	운행/NNG
6개월	6/SN+개월/NNB
만에	만/NNB+에/JKB
높은	높/VA+은/ETM
경영성과를	경영/NNG+성과/NNG+를/JKO
보이며	보이/VV+며/EC
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.189.5.2
수입이 업계 최고 수준으로 뛰어오르며 이 조합에 가입하려고 택시기사들이 ‘줄’을 서는 풍경까지 연출되고 있다.

수입이	수입/NNG+이/JKS
업계	업계/NNG
최고	최고/NNG
수준으로	수준/NNG+으로/JKB
뛰어오르며	뛰어오르/VV+며/EC
이	이/MMD
조합에	조합/NNG+에/JKB
가입하려고	가입/NNG+하/XSV+려고/EC
택시기사들이	택시/NNG+기사/NNG+들/XSN+이/JKS
‘줄’을	‘/SS+줄/NNG+’/SS+을/JKO
서는	서/VV+는/ETM
풍경까지	풍경/NNG+까지/JX
연출되고	연출/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.189.6.1
