# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.22
metadata : {}


# id : NWRW1800000025.22.1.1
[인문사회]‘왜 그랬을까’… 인간행동의 비밀을 벗기다

[인문사회]‘왜	[/SS+인문/NNG+사회/NNG+]/SS+‘/SS+왜/MAG
그랬을까’…	그렇/VA+었/EP+을까/EF+’/SS+…/SE
인간행동의	인간/NNG+행동/NNG+의/JKG
비밀을	비밀/NNG+을/JKO
벗기다	벗기/VV+다/EF


# id : NWRW1800000025.22.2.1
◇ 오래된 연장통·전중환 지음 256쪽·1만5000원·사이언스북스

◇	◇/SW
오래된	오래/MAG+되/XSA+ㄴ/ETM
연장통·전중환	연장/NNG+통/NNG+·/SP+전중환/NNP
지음	짓/VV+음/ETN
256쪽·1만5000원·사이언스북스	256/SN+쪽/NNG+·/SP+1/SN+만/NR+5000/SN+원/NNB+·/SP+사이언스북스/NNP


# id : NWRW1800000025.22.3.1
◇ 심리학의 힘·전우영 지음 384쪽·1만3800원·북하우스

◇	◇/SW
심리학의	심리학/NNG+의/JKG
힘·전우영	힘/NNG+·/SP+전우영/NNP
지음	짓/VV+음/ETN
384쪽·1만3800원·북하우스	384/SN+쪽/NNG+·/SP+1/SN+만/NR+3800/SN+원/NNB+·/SP+북하우스/NNP


# id : NWRW1800000025.22.4.1
재미있게 풀어 쓴 심리학책 두 권이 나왔다.

재미있게	재미있/VA+게/EC
풀어	풀/VV+어/EC
쓴	쓰/VV+ㄴ/ETM
심리학책	심리학/NNG+책/NNG
두	두/MMN
권이	권/NNB+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.4.2
두 권 모두 일상 행동과 사회현상의 분석으로 인간의 심리를 파헤쳤다.

두	두/MMN
권	권/NNB
모두	모두/MAG
일상	일상/NNG
행동과	행동/NNG+과/JC
사회현상의	사회/NNG+현상/NNG+의/JKG
분석으로	분석/NNG+으로/JKB
인간의	인간/NNG+의/JKG
심리를	심리/NNG+를/JKO
파헤쳤다.	파헤치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.22.5.1
‘오랜된 연장통’은 진화심리학의 관점에서 쓴 책이다.

‘오랜된	‘/SS+오랜/MAG+되/XSV+ㄴ/ETM
연장통’은	연장/NNG+통/NNG+’/SS+은/JX
진화심리학의	진화/NNG+심리학/NNG+의/JKG
관점에서	관점/NNG+에서/JKB
쓴	쓰/VV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.5.2
진화심리학은 다윈의 진화론을 바탕으로 한다.

진화심리학은	진화/NNG+심리학/NNG+은/JX
다윈의	다윈/NNP+의/JKG
진화론을	진화/NNG+론/XSN+을/JKO
바탕으로	바탕/NNG+으로/JKB
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.5.3
이에 따르면 인간의 마음은 좋은 번식 상대를 고르는 등 진화과정에서 지속적으로 맞닥뜨려야 했던 현실적인 문제들을 잘 해결할 수 있도록 자연선택에 의해 설계된 수많은 심리 기제(機制·작용이나 원리)들의 집합이다.

이에	이/NP+에/JKB
따르면	따르/VV+면/EC
인간의	인간/NNG+의/JKG
마음은	마음/NNG+은/JX
좋은	좋/VA+은/ETM
번식	번식/NNG
상대를	상대/NNG+를/JKO
고르는	고르/VV+는/ETM
등	등/NNB
진화과정에서	진화/NNG+과정/NNG+에서/JKB
지속적으로	지속/NNG+적/XSN+으로/JKB
맞닥뜨려야	맞닥뜨리/VV+어야/EC
했던	하/VX+았/EP+던/ETM
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
문제들을	문제/NNG+들/XSN+을/JKO
잘	잘/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
자연선택에	자연/NNG+선택/NNG+에/JKB
의해	의하/VV+아/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
수많은	수많/VA+은/ETM
심리	심리/NNG
기제(機制·작용이나	기제/NNG+(/SS+機制/SH+·/SP+작용/NNG+이나/JC
원리)들의	원리/NNG+)/SS+들/XSN+의/JKG
집합이다.	집합/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.6.1
경희대 학부대학 교수인 저자는 “판자를 자르기 위한 톱, 구멍을 뚫기 위한 드릴처럼 인간의 마음은 각각의 문제를 해결하게끔 특수화된 수많은 공구가 담긴 연장통”이라고 말한다.

경희대	경희대/NNP
학부대학	학부/NNG+대학/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
“판자를	“/SS+판자/NNG+를/JKO
자르기	자르/VV+기/ETN
위한	위하/VV+ㄴ/ETM
톱,	톱/NNG+,/SP
구멍을	구멍/NNG+을/JKO
뚫기	뚫/VV+기/ETN
드릴처럼	드릴/NNG+처럼/JKB
인간의	인간/NNG+의/JKG
마음은	마음/NNG+은/JX
각각의	각각/NNG+의/JKG
문제를	문제/NNG+를/JKO
해결하게끔	해결/NNG+하/XSV+게끔/EC
특수화된	특수/NNG+화/XSN+되/XSV+ㄴ/ETM
수많은	수많/VA+은/ETM
공구가	공구/NNG+가/JKS
담긴	담기/VV+ㄴ/ETM
연장통”이라고	연장/NNG+통/NNG+”/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.7.1
야구장에서 원정팀 선수들을 윽박지르는 홈팬들, 외국인 혐오증은 병균에 대한 심리적 방어로 설명이 가능하다.

야구장에서	야구장/NNG+에서/JKB
원정팀	원정/NNG+팀/NNG
선수들을	선수/NNG+들/XSN+을/JKO
윽박지르는	윽박지르/VV+는/ETM
홈팬들,	홈/NNG+팬/NNG+들/XSN+,/SP
외국인	외국인/NNG
혐오증은	혐오증/NNG+은/JX
병균에	병균/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심리적	심리/NNG+적/XSN
방어로	방어/NNG+로/JKB
설명이	설명/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000025.22.7.2
인류는 끊임없이 세균의 침입에 맞서 싸워왔는데 지역에 따라 균이 달라 면역계도 다르게 진화했다.

인류는	인류/NNG+는/JX
끊임없이	끊임없이/MAG
세균의	세균/NNG+의/JKG
침입에	침입/NNG+에/JKB
맞서	맞서/VV+어/EC
싸워왔는데	싸우/VV+어/EC+오/VX+았/EP+는데/EC
지역에	지역/NNG+에/JKB
따라	따르/VV+아/EC
균이	균/NNG+이/JKS
달라	다르/VA+아/EC
면역계도	면역/NNG+계/XSN+도/JX
다르게	다르/VA+게/EC
진화했다.	진화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.7.3
저자는 “한 지역의 토착 병균을 잘 다스리는 유사한 면역력을 지닌 사람들은 다른 지역의 토착 세균에 적응한 외부인과 함부로 접촉했다가는 새로운 세균에 무방비로 노출될 수도 있기 때문에 이런 배타적인 성향이 나타난다”고 말한다.

저자는	저자/NNG+는/JX
“한	“/SS+한/MMN
지역의	지역/NNG+의/JKG
토착	토착/NNG
병균을	병균/NNG+을/JKO
잘	잘/MAG
다스리는	다스리/VV+는/ETM
유사한	유사/NNG+하/XSA+ㄴ/ETM
면역력을	면역력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
사람들은	사람/NNG+들/XSN+은/JX
다른	다른/MMD
세균에	세균/NNG+에/JKB
적응한	적응/NNG+하/XSV+ㄴ/ETM
외부인과	외부인/NNG+과/JKB
함부로	함부로/MAG
접촉했다가는	접촉/NNG+하/XSV+았/EP+다가/EC+는/JX
새로운	새롭/VA+ㄴ/ETM
무방비로	무/XPN+방비/NNG+로/JKB
노출될	노출/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
이런	이런/MMD
배타적인	배타/NNG+적/XSN+이/VCP+ㄴ/ETM
성향이	성향/NNG+이/JKS
나타난다”고	나타나/VV+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.8.1
인간에게 고기는 약이자 독이다.

인간에게	인간/NNG+에게/JKB
고기는	고기/NNG+는/JX
약이자	약/NNG+이/VCP+자/EC
독이다.	독/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.8.2
최고의 영양분이기도 하지만 상하기 쉬워 조심해야 한다.

최고의	최고/NNG+의/JKG
영양분이기도	영양분/NNG+이/VCP+기/ETN+도/JX
하지만	하지만/MAJ
상하기	상하/VV+기/ETN
쉬워	쉽/VA+어/EC
조심해야	조심/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.22.8.3
진화인류학자 대니얼 페슬러의 조사에 의하면 78개 문화권의 금기음식 중 85%가 고기였다.

진화인류학자	진화/NNG+인류학자/NNG
대니얼	대니얼/NNP
페슬러의	페슬러/NNP+의/JKG
조사에	조사/NNG+에/JKB
의하면	의하/VV+면/EC
78개	78/SN+개/NNB
문화권의	문화/NNG+권/XSN+의/JKG
금기음식	금기/NNG+음식/NNG
중	중/NNB
85%가	85/SN+%/SW+가/JKS
고기였다.	고기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.22.8.4
유대인은 돼지고기와 조개를, 북미 나바호 인디언들은 물고기를 금한다.

유대인은	유대인/NNP+은/JX
돼지고기와	돼지고기/NNG+와/JC
조개를,	조개/NNG+를/JKO+,/SP
북미	북미/NNP
나바호	나바호/NNP
인디언들은	인디언/NNG+들/XSN+은/JX
물고기를	물고기/NNG+를/JKO
금한다.	금하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.8.5
생물학자 새뮤얼 플랙스먼은 각국 5432명의 임신부를 조사했는데 가장 구역질을 일으키는 음식은 역시 고기였다.

