# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.286
metadata : {}


# id : NWRW1800000022.286.1.1
日 민주당, 자민당에 더블스코어 승리 가능성

日	日/SH
민주당,	민주당/NNP+,/SP
자민당에	자민당/NNP+에/JKB
더블스코어	더블/NNG+스코어/NNG
승리	승리/NNG
가능성	가능/NNG+성/XSN


# id : NWRW1800000022.286.2.1
일본 정치에 '혁명적' 상황이 임박했다.

일본	일본/NNP
정치에	정치/NNG+에/JKB
'혁명적'	'/SS+혁명/NNG+적/XSN+'/SS
상황이	상황/NNG+이/JKS
임박했다.	임박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.286.2.2
8·30 일본 총선거가 9일 앞으로 다가온 가운데, 야당인 민주당이 과반수를 훨씬 웃도는 압도적 의석을 차지할 것이라는 전망이 잇따라 나오고 있다.

8·30	8/SN+·/SP+30/SN
일본	일본/NNP
총선거가	총선거/NNG+가/JKS
9일	9/SN+일/NNB
앞으로	앞/NNG+으로/JKB
다가온	다가오/VV+ㄴ/ETM
가운데,	가운데/NNG+,/SP
야당인	야당/NNG+이/VCP+ㄴ/ETM
민주당이	민주당/NNP+이/JKS
과반수를	과반수/NNG+를/JKO
훨씬	훨씬/MAG
웃도는	웃돌/VV+는/ETM
압도적	압도/NNG+적/XSN
의석을	의석/NNG+을/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
잇따라	잇따르/VV+아/EC
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.286.2.3
이와 함께 여당인 자민당은 궤멸적 상황에 몰릴 가능성이 커지고 있다.

이와	이/NP+와/JKB
함께	함께/MAG
여당인	여당/NNG+이/VCP+ㄴ/ETM
자민당은	자민당/NNP+은/JX
궤멸적	궤멸/NNG+적/XSN
상황에	상황/NNG+에/JKB
몰릴	몰리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.286.3.1
20일 아사히(朝日)신문은 자체 여론조사 및 각 선거구 정보를 종합, 민주당이 전체 480석 가운데 300석 가까운 의석을 얻을 수 있을 것이라고 보도했다.

20일	20/SN+일/NNB
아사히(朝日)신문은	아사히/NNP+(/SS+朝日/SH+)/SS+신문/NNG+은/JX
자체	자체/NNG
여론조사	여론/NNG+조사/NNG
및	및/MAG
각	각/MMD
선거구	선거구/NNG
정보를	정보/NNG+를/JKO
종합,	종합/NNG+,/SP
민주당이	민주당/NNP+이/JKS
전체	전체/NNG
480석	480/SN+석/NNB
가운데	가운데/NNG
300석	300/SN+석/NNB
가까운	가깝/VA+ㄴ/ETM
의석을	의석/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.286.3.2
300개 소선거구 가운데 200석 이상을 얻을 가능성이 크며, 180명의 비례대표 중에서도 80석가량을 얻을 것으로 전망했다.

300개	300/SN+개/NNB
소선거구	소/XPN+선거구/NNG
가운데	가운데/NNG
200석	200/SN+석/NNB
이상을	이상/NNG+을/JKO
얻을	얻/VV+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크며,	크/VA+며/EC+,/SP
180명의	180/SN+명/NNB+의/JKG
비례대표	비례/NNG+대표/NNG
중에서도	중/NNB+에서/JKB+도/JX
80석가량을	80/SN+석/NNB+가량/XSN+을/JKO
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.286.4.1
이에 비해 자민당은 소선거구에서 100석에 못 미치며 비례대표에서도 50~60석에 머물러 총 150석 안팎에 머무를 가능성이 큰 것으로 전망됐다.

이에	이/NP+에/JKB
비해	비/NNG+하/XSV+아/EC
자민당은	자민당/NNP+은/JX
소선거구에서	소/XPN+선거구/NNG+에서/JKB
100석에	100/SN+석/NNB+에/JKB
못	못/MAG
미치며	미치/VV+며/EC
비례대표에서도	비례/NNG+대표/NNG+에서/JKB+도/JX
50~60석에	50/SN+~/SO+60/SN+석/NNB+에/JKB
머물러	머무르/VV+어/EC
총	총/MMA
150석	150/SN+석/NNB
안팎에	안팎/NNG+에/JKB
머무를	머무르/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
