# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.30
metadata : {}


# id : NWRW1800000021.30.1.1
나이지리아, 석유 분배 계약 파기… 석유公 “소송 제기”

나이지리아,	나이지리아/NNP+,/SP
석유	석유/NNG
분배	분배/NNG
계약	계약/NNG
파기…	파기/NNG+…/SE
석유公	석유/NNG+公/SH
“소송	“/SS+소송/NNG
제기”	제기/NNG+”/SS


# id : NWRW1800000021.30.2.1
노무현 대통령 정부 당시 한국이 탐사권을 갖게 된 해상광구에 대해 나이지리아 정부가 계약 무효를 통보해왔다.

노무현	노무현/NNP
대통령	대통령/NNG
정부	정부/NNG
당시	당시/NNG
한국이	한국/NNP+이/JKS
탐사권을	탐사/NNG+권/XSN+을/JKO
갖게	갖/VV+게/EC
된	되/VV+ㄴ/ETM
해상광구에	해상/NNG+광구/NNG+에/JKB
대해	대하/VV+아/EC
나이지리아	나이지리아/NNP
정부가	정부/NNG+가/JKS
계약	계약/NNG
무효를	무효/NNG+를/JKO
통보해왔다.	통보/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.30.2.2
이는 국제계약 관행상 매우 이례적인 일이다.

이는	이/NP+는/JX
국제계약	국제/NNG+계약/NNG
관행상	관행/NNG+상/XSN
매우	매우/MAG
이례적인	이례/NNG+적/XSN+이/VCP+ㄴ/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.30.3.1
한국석유공사는 29일 “나이지리아 심해(深海) 2개 광구에 참여한 한국 컨소시엄이 나이지리아 석유부로부터 최근 분양 계약 무효 통보를 받았다”며 “계약까지 끝낸 광구를 무효화한 것은 처음 당하는 일”이라고 밝혔다.

한국석유공사는	한국석유공사/NNP+는/JX
29일	29/SN+일/NNB
“나이지리아	“/SS+나이지리아/NNP
심해(深海)	심해/NNG+(/SS+深海/SH+)/SS
2개	2/SN+개/NNB
광구에	광구/NNG+에/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
한국	한국/NNP
컨소시엄이	컨소시엄/NNG+이/JKS
나이지리아	나이지리아/NNP
석유부로부터	석유부/NNG+로부터/JKB
최근	최근/MAG
분양	분양/NNG
계약	계약/NNG
무효	무효/NNG
통보를	통보/NNG+를/JKO
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
“계약까지	“/SS+계약/NNG+까지/JX
끝낸	끝내/VV+ㄴ/ETM
광구를	광구/NNG+를/JKO
무효화한	무효/NNG+화/XSN+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음	처음/NNG
당하는	당하/VV+는/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.30.4.1
