# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.296
metadata : {}


# id : NWRW1800000033.296.1.1
[오늘과 내일/이형삼]피의자 없는 ‘밤샘 수사’

[오늘과	[/SS+오늘/NNG+과/JC
내일/이형삼]피의자	내일/NNG+//SP+이형삼/NNP+]/SS+피의자/NNG
없는	없/VA+는/ETM
‘밤샘	‘/SS+밤샘/NNG
수사’	수사/NNG+’/SS


# id : NWRW1800000033.296.2.1
“10원 한 장 받은 적 없다”며 큰소리치던 사람들이 검찰청 문턱만 넘어갔다 하면 몇억 원씩 받았다고 다 털어놓고 구치소로 가던 시절이 있었다.

“10원	“/SS+10/SN+원/NNB
한	한/MMN
장	장/NNB
받은	받/VV+은/ETM
적	적/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
큰소리치던	큰소리치/VV+던/ETM
사람들이	사람/NNG+들/XSN+이/JKS
검찰청	검찰청/NNG
문턱만	문턱/NNG+만/JX
넘어갔다	넘어가/VV+았/EP+다/EF
하면	하/VV+면/EC
몇억	몇/NR+억/NR
원씩	원/NNB+씩/XSN
받았다고	받/VV+았/EP+다고/EC
다	다/MAG
털어놓고	털어놓/VV+고/EC
구치소로	구치소/NNG+로/JKB
가던	가/VV+던/ETM
시절이	시절/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.296.2.2
1990년대 초 검은돈 추적의 귀재로 불린 어느 검사의 방은 ‘두 발로 들어가서 네 발로 나온다’고 했다.

1990년대	1990/SN+년대/NNB
초	초/NNB
검은돈	검은돈/NNG
추적의	추적/NNG+의/JKG
귀재로	귀재/NNG+로/JKB
불린	불리/VV+ㄴ/ETM
어느	어느/MMD
검사의	검사/NNG+의/JKG
방은	방/NNG+은/JX
‘두	‘/SS+두/MMN
발로	발/NNG+로/JKB
들어가서	들어가/VV+아서/EC
네	네/MMN
나온다’고	나오/VV+ㄴ다/EF+’/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.296.2.3
혼쭐이 빠져 기어 나온다는 게 아니라 수사관이 겨드랑이를 끼고 나온다는, 즉 구속된다는 의미였다.

혼쭐이	혼쭐/NNG+이/JKS
빠져	빠지/VV+어/EC
기어	기/VV+어/EC
나온다는	나오/VV+ㄴ다는/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
수사관이	수사관/NNG+이/JKS
겨드랑이를	겨드랑이/NNG+를/JKO
끼고	끼/VV+고/EC
나온다는,	나오/VV+ㄴ다는/ETM+,/SP
즉	즉/MAG
구속된다는	구속/NNG+되/XSV+ㄴ다는/ETM
의미였다.	의미/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.296.2.4
거악(巨惡)을 척결하는 검찰은 수사할 맛이 났고 이를 지켜보는 국민은 통쾌했다.

거악(巨惡)을	거악/NNG+(/SS+巨惡/SH+)/SS+을/JKO
척결하는	척결/NNG+하/XSV+는/ETM
검찰은	검찰/NNG+은/JX
수사할	수사/NNG+하/XSV+ㄹ/ETM
맛이	맛/NNG+이/JKS
났고	나/VV+았/EP+고/EC
이를	이/NP+를/JKO
지켜보는	지켜보/VV+는/ETM
국민은	국민/NNG+은/JX
통쾌했다.	통쾌/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000033.296.3.1
