# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.185
metadata : {}


# id : NWRW1800000054.185.1.1
흉터 안 남는 대장암 수술

흉터	흉터/NNG
안	안/MAG
남는	남/VV+는/ETM
대장암	대장암/NNG
수술	수술/NNG


# id : NWRW1800000054.185.2.1
세계 최초로 항문 통해 대장·직장 전체절제 성공

세계	세계/NNG
최초로	최초/NNG+로/JKB
항문	항문/NNG
통해	통하/VV+아/EC
대장·직장	대장/NNG+·/SP+직장/NNG
전체절제	전체/NNG+절제/NNG
성공	성공/NNG


# id : NWRW1800000054.185.3.1
대전에 사는 최모(70)씨는 지난 2월 배 안에서 암덩어리가 3개나 발견됐다.

대전에	대전/NNP+에/JKB
사는	살/VV+는/ETM
최모(70)씨는	최/NNP+모/NP+(/SS+70/SN+)/SS+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
배	배/NNG
안에서	안/NNG+에서/JKB
암덩어리가	암/NNG+덩어리/NNG+가/JKS
3개나	3/SN+개/NNB+나/JX
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.185.3.2
직장, 직장 바로 윗부분인 S자 결장, 배 오른쪽 대장에 각각 암이 자리 잡았다.

직장,	직장/NNG+,/SP
직장	직장/NNG
바로	바로/MAG
윗부분인	윗부분/NNG+이/VCP+ㄴ/ETM
S자	S/SL+자/NNG
결장,	결장/NNG+,/SP
배	배/NNG
오른쪽	오른쪽/NNG
대장에	대장/NNG+에/JKB
각각	각각/MAG
암이	암/NNG+이/JKS
자리	자리/NNG
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.185.3.3
대장과 직장에 암이 따로따로 발생한 희귀한 경우였다.

대장과	대장/NNG+과/JC
직장에	직장/NNG+에/JKB
암이	암/NNG+이/JKS
따로따로	따로따로/MAG
발생한	발생/NNG+하/XSV+ㄴ/ETM
희귀한	희귀/NNG+하/XSA+ㄴ/ETM
경우였다.	경우/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.185.3.4
최씨는 대장과 직장 전체를 잘라내고 대장을 덮는 장막과 대장 주변 림프절도 제거하는 대수술을 받았다.

최씨는	최/NNP+씨/NNB+는/JX
대장과	대장/NNG+과/JC
직장	직장/NNG
전체를	전체/NNG+를/JKO
잘라내고	자르/VV+아/EC+내/VX+고/EC
대장을	대장/NNG+을/JKO
덮는	덮/VV+는/ETM
장막과	장막/NNG+과/JC
대장	대장/NNG
주변	주변/NNG
림프절도	림프절/NNG+도/JX
제거하는	제거/NNG+하/XSV+는/ETM
대수술을	대/XPN+수술/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.185.3.5
하지만 그의 몸에는 수술 흉터가 전혀 남지 않았다.

하지만	하지만/MAJ
그의	그/NP+의/JKG
몸에는	몸/NNG+에/JKB+는/JX
수술	수술/NNG
흉터가	흉터/NNG+가/JKS
전혀	전혀/MAG
남지	남/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.185.4.1
집도의 가톨릭대 의대 대전성모병원 외과 이상철 교수가 항문을 통한 대장암 수술을 성공적으로 끝냈기 때문이다.

집도의	집도의/NNG
가톨릭대	가톨릭대/NNP
의대	의대/NNG
대전성모병원	대전성모병원/NNP
외과	외과/NNG
이상철	이상철/NNP
교수가	교수/NNG+가/JKS
항문을	항문/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
대장암	대장암/NNG
수술을	수술/NNG+을/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
끝냈기	끝내/VV+었/EP+기/ETN
