# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.175
metadata : {}


# id : NWRW1800000028.175.1.1
‘정당 위에 괸당’<친인척 뜻하는 제주도 말> 영향력 /지지층 응집력이 승부처

‘정당	‘/SS+정당/NNG
위에	위/NNG+에/JKB
괸당’<친인척	괸당/NF+’/SS+</SS+친인척/NNG
뜻하는	뜻/NNG+하/XSV+는/ETM
제주도	제주도/NNP
말>	말/NNG+>/SS
영향력	영향력/NNG
/지지층	//SP+지지/NNG+층/XSN
응집력이	응집력/NNG+이/JKS
승부처	승부처/NNG


# id : NWRW1800000028.175.2.1
2006년 제주지사 선거 당시 한나라당 현명관 후보는 중앙당의 대대적인 지원유세에도 평생 공무원 생활을 제주도에서 해온 무소속 김태환 후보를 당해내지 못했다.

2006년	2006/SN+년/NNB
제주지사	제주/NNP+지사/NNG
선거	선거/NNG
당시	당시/NNG
한나라당	한나라당/NNP
현명관	현명관/NNP
후보는	후보/NNG+는/JX
중앙당의	중앙당/NNG+의/JKG
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
지원유세에도	지원/NNG+유세/NNG+에/JKB+도/JX
평생	평생/NNG
공무원	공무원/NNG
생활을	생활/NNG+을/JKO
제주도에서	제주도/NNP+에서/JKB
해온	하/VV+아/EC+오/VX+ㄴ/ETM
무소속	무/XPN+소속/NNG
김태환	김태환/NNP
후보를	후보/NNG+를/JKO
당해내지	당하/VV+아/EC+내/VX+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.175.2.2
현 후보는 주로 서울에서 활동한 반면, 김 후보는 지역 연고가 깊다는 점이 승부를 갈랐다.

현	현/NNP
후보는	후보/NNG+는/JX
주로	주로/MAG
서울에서	서울/NNP+에서/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
반면,	반면/NNG+,/SP
김	김/NNP
지역	지역/NNG
연고가	연고/NNG+가/JKS
깊다는	깊/VA+다는/ETM
점이	점/NNG+이/JKS
승부를	승부/NNG+를/JKO
갈랐다.	가르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.2.3
정당 위에 ‘괸당’(친인척을 뜻하는 제주도 말)이 있다는 말이 그래서 나왔다.

정당	정당/NNG
위에	위/NNG+에/JKB
‘괸당’(친인척을	‘/SS+괸당/NF+’/SS+(/SS+친인척/NNG+을/JKO
뜻하는	뜻/NNG+하/XSV+는/ETM
제주도	제주도/NNP
말)이	말/NNG+)/SS+이/JKS
있다는	있/VA+다는/ETM
말이	말/NNG+이/JKS
그래서	그렇/VA+어서/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.3.1
29일 오후 제주시청 일대는 통행이 어려울 정도로 인파가 붐볐다.

29일	29/SN+일/NNB
오후	오후/NNG
제주시청	제주시청/NNP
일대는	일대/NNG+는/JX
통행이	통행/NNG+이/JKS
어려울	어렵/VA+ㄹ/ETM
정도로	정도/NNG+로/JKB
인파가	인파/NNG+가/JKS
붐볐다.	붐비/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.175.3.2
대학생 등 젊은 층들이 많이 찾아 ‘시청 대학로’로 불리는 이곳에서 30분 간격으로 고희범 민주당 후보와 우근민, 현명관 무소속 후보의 유세전이 펼쳐졌다.

대학생	대학/NNG+생/XSN
등	등/NNB
젊은	젊/VA+은/ETM
층들이	층/NNG+들/XSN+이/JKS
많이	많이/MAG
찾아	찾/VV+아/EC
‘시청	‘/SS+시청/NNG
대학로’로	대학로/NNP+’/SS+로/JKB
불리는	불리/VV+는/ETM
이곳에서	이곳/NP+에서/JKB
30분	30/SN+분/NNB
간격으로	간격/NNG+으로/JKB
고희범	고희범/NNP
민주당	민주당/NNP
후보와	후보/NNG+와/JC
우근민,	우근민/NNP+,/SP
현명관	현명관/NNP
무소속	무/XPN+소속/NNG
후보의	후보/NNG+의/JKG
유세전이	유세전/NNG+이/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.175.3.3
고 후보는 문화적 가치와 자연자원 등 제주도 유무형 자산의 활용을 강조했다.

고	고/NNP
후보는	후보/NNG+는/JX
문화적	문화/NNG+적/XSN
가치와	가치/NNG+와/JC
자연자원	자연/NNG+자원/NNG
등	등/NNB
제주도	제주도/NNP
유무형	유무형/NNG
자산의	자산/NNG+의/JKG
활용을	활용/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.3.4
행정 전문가인 우 후보는 기초자치단체장을 직접 뽑는 기초자치권 부활을 내세웠다.

행정	행정/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
우	우/NNP
후보는	후보/NNG+는/JX
기초자치단체장을	기초/NNG+자치/NNG+단체장/NNG+을/JKO
직접	직접/MAG
뽑는	뽑/VV+는/ETM
기초자치권	기초/NNG+자치/NNG+권/XSN
부활을	부활/NNG+을/JKO
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.175.3.5
대기업 최고경영자 출신의 현 후보는 경제도지사가 되겠다고 호소했다.

대기업	대/XPN+기업/NNG
최고경영자	최고/NNG+경영자/NNG
출신의	출신/NNG+의/JKG
현	현/NNP
후보는	후보/NNG+는/JX
경제도지사가	경제/NNG+도지사/NNG+가/JKC
되겠다고	되/VV+겠/EP+다고/EC
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.4.1
유세장을 찾은 지지층부터 확연한 차이가 났다.

유세장을	유세장/NNG+을/JKO
찾은	찾/VV+은/ETM
지지층부터	지지/NNG+층/XSN+부터/JX
확연한	확연하/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.175.4.2
야권 단일후보인 고 후보 쪽에는 국민참여당, 민노당, 시민사회단체 관계자들이 눈에 많이 띄었다.

야권	야권/NNG
단일후보인	단일/NNG+후보/NNG+이/VCP+ㄴ/ETM
고	고/NNP
후보	후보/NNG
쪽에는	쪽/NNB+에/JKB+는/JX
국민참여당,	국민참여당/NNP+,/SP
민노당,	민노당/NNP+,/SP
시민사회단체	시민/NNG+사회단체/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
눈에	눈/NNG+에/JKB
많이	많이/MAG
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.175.4.3
4차례나 제주지사를 지낸 우 후보 쪽 지지자들은 도내 전 지역에서 참석한 것으로 보였다.

4차례나	4/SN+차례/NNG+나/JX
