# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.111
metadata : {}


# id : NWRW1800000053.111.1.1
“센 척하는 어른들, 여리고 상처 많아”

“센	“/SS+세/VA+ㄴ/ETM
척하는	척/NNB+하/XSV+는/ETM
어른들,	어른/NNG+들/XSN+,/SP
여리고	여리/VA+고/EC
상처	상처/NNG
많아”	많/VA+아/EF+”/SS


# id : NWRW1800000053.111.2.1
연극 ‘그와 그녀의 목요일’의 그녀, 배우 윤유선-진경

연극	연극/NNG
‘그와	‘/SS+그/NP+와/JC
그녀의	그녀/NP+의/JKG
목요일’의	목요일/NNG+’/SS+의/JKG
그녀,	그녀/NP+,/SP
배우	배우/NNG
윤유선-진경	윤유선/NNP+-/SO+진경/NNP


# id : NWRW1800000053.111.3.1
때론 사랑을, 때론 우정을 나누는가 하면 천적처럼 맹렬하게 싸운다.

때론	때로/MAG+ㄴ/JX
사랑을,	사랑/NNG+을/JKO+,/SP
우정을	우정/NNG+을/JKO
나누는가	나누/VV+는가/EF
하면	하/VV+면/EC
천적처럼	천적/NNG+처럼/JKB
맹렬하게	맹렬하/VA+게/EC
싸운다.	싸우/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.111.3.2
결혼 외에 어지간한 건 함께한 50대 남녀가 목요일마다 만나 이야기를 나눈다.

결혼	결혼/NNG
외에	외/NNB+에/JKB
어지간한	어지간하/VA+ㄴ/ETM
건	거/NNB+ㄴ/JX
함께한	함께/MAG+하/XSV+ㄴ/ETM
50대	50/SN+대/NNB
남녀가	남녀/NNG+가/JKS
목요일마다	목요일/NNG+마다/JX
만나	만나/VV+아/EC
이야기를	이야기/NNG+를/JKO
나눈다.	나누/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.111.3.3
주제는 역사, 비겁함, 죽음 등으로 거창하지만 매번 말다툼으로 번지고, 그동안 감춰 두었던 가슴속 이야기를 조금씩 풀어낸다.

주제는	주제/NNG+는/JX
역사,	역사/NNG+,/SP
비겁함,	비겁하/VA+ㅁ/ETN+,/SP
죽음	죽음/NNG
등으로	등/NNB+으로/JKB
거창하지만	거창하/VA+지만/EC
매번	매번/MAG
말다툼으로	말다툼/NNG+으로/JKB
번지고,	번지/VV+고/EC+,/SP
그동안	그동안/NNG
감춰	감추/VV+어/EC
두었던	두/VX+었/EP+던/ETM
가슴속	가슴속/NNG
이야기를	이야기/NNG+를/JKO
조금씩	조금/NNG+씩/XSN
풀어낸다.	풀어내/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.111.3.4
27일 막을 여는 연극 ‘그와 그녀의 목요일’(극본·연출 황재헌)이다.

27일	27/SN+일/NNB
막을	막/NNG+을/JKO
여는	열/VV+는/ETM
연극	연극/NNG
‘그와	‘/SS+그/NP+와/JC
그녀의	그녀/NP+의/JKG
목요일’(극본·연출	목요일/NNG+’/SS+(/SS+극본/NNG+·/SP+연출/NNG
황재헌)이다.	황재헌/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.111.4.1
여주인공 연옥 역에 더블 캐스팅 된 배우 윤유선(48)과 진경(45)을 서울 종로구 대학로의 한 카페에서 최근 만났다.

여주인공	여주인공/NNG
연옥	연옥/NNP
역에	역/NNG+에/JKB
더블	더블/NNG
캐스팅	캐스팅/NNG
된	되/VV+ㄴ/ETM
배우	배우/NNG
윤유선(48)과	윤유선/NNP+(/SS+48/SN+)/SS+과/JC
진경(45)을	진경/NNP+(/SS+45/SN+)/SS+을/JKO
서울	서울/NNP
종로구	종로구/NNP
대학로의	대학로/NNP+의/JKG
한	한/MMN
카페에서	카페/NNG+에서/JKB
최근	최근/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.4.2
두 사람은 드라마 ‘참 좋은 시절’(2014년)에 함께 출연한 후 가까워졌다.

두	두/MMN
사람은	사람/NNG+은/JX
드라마	드라마/NNG
‘참	‘/SS+참/MAG
좋은	좋/VA+은/ETM
시절’(2014년)에	시절/NNG+’/SS+(/SS+2014/SN+년/NNB+)/SS+에/JKB
함께	함께/MAG
출연한	출연/NNG+하/XSV+ㄴ/ETM
후	후/NNG
가까워졌다.	가깝/VA+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.111.5.1
두 사람이 연기하는 연옥은 은퇴한 국제 분쟁 전문 기자로, 센 것 같지만 실은 여리고 상처가 많다.

두	두/MMN
사람이	사람/NNG+이/JKS
연기하는	연기/NNG+하/XSV+는/ETM
연옥은	연옥/NNP+은/JX
은퇴한	은퇴/NNG+하/XSV+ㄴ/ETM
국제	국제/NNG
분쟁	분쟁/NNG
전문	전문/NNG
기자로,	기자/NNG+로/JKB+,/SP
센	세/VA+ㄴ/ETM
것	것/NNB
같지만	같/VA+지만/EC
실은	실은/MAG
여리고	여리/VA+고/EC
상처가	상처/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000053.111.5.2
11년 만에 연극 무대에 서는 윤 씨는 “20대 때 ‘사랑에 속고 돈에 울고’에 출연한 후 연극의 매력을 알게 됐다”며 “드라마나 영화에서 해 보지 않은 역할을 찾고 있었는데, 연옥이 딱 그런 캐릭터다”라고 말했다.

11년	11/SN+년/NNB
만에	만/NNB+에/JKB
연극	연극/NNG
무대에	무대/NNG+에/JKB
서는	서/VV+는/ETM
윤	윤/NNP
씨는	씨/NNB+는/JX
“20대	“/SS+20/SN+대/NNB
때	때/NNG
‘사랑에	‘/SS+사랑/NNG+에/JKB
속고	속/VV+고/EC
돈에	돈/NNG+에/JKB
울고’에	울/VV+고/EC+’/SS+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
후	후/NNG
연극의	연극/NNG+의/JKG
매력을	매력/NNG+을/JKO
알게	알/VV+게/EC
됐다”며	되/VV+었/EP+다/EF+”/SS+며/EC
“드라마나	“/SS+드라마/NNG+나/JC
영화에서	영화/NNG+에서/JKB
해	하/VV+아/EC
보지	보/VX+지/EC
않은	않/VX+은/ETM
역할을	역할/NNG+을/JKO
찾고	찾/VV+고/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
연옥이	연옥/NNP+이/JKS
딱	딱/MAG
그런	그런/MMD
캐릭터다”라고	캐릭터/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.6.1
연극배우로 출발한 진경은 TV와 영화에서 활약하다 4년 만에 다시 연극 무대로 돌아왔다.

연극배우로	연극배우/NNG+로/JKB
출발한	출발/NNG+하/XSV+ㄴ/ETM
진경은	진경/NNP+은/JX
TV와	TV/SL+와/JC
영화에서	영화/NNG+에서/JKB
활약하다	활약/NNG+하/XSV+다/EC
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
다시	다시/MAG
연극	연극/NNG
무대로	무대/NNG+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.6.2
진경은 분쟁 전문 기자가 쓴 책을 읽으며 배역을 분석했다.

진경은	진경/NNP+은/JX
분쟁	분쟁/NNG
전문	전문/NNG
기자가	기자/NNG+가/JKS
쓴	쓰/VV+ㄴ/ETM
책을	책/NNG+을/JKO
읽으며	읽/VV+으며/EC
배역을	배역/NNG+을/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.6.3
어떤 캐릭터의 옷을 입은 게 아니라 자신이 느낀 그대로를 가감 없이 전하고 싶기 때문이다.

어떤	어떤/MMD
캐릭터의	캐릭터/NNG+의/JKG
옷을	옷/NNG+을/JKO
입은	입/VV+은/ETM
게	거/NNB+이/JKC
아니라	아니/VCN+라/EC
자신이	자신/NNG+이/JKS
느낀	느끼/VV+ㄴ/ETM
그대로를	그대로/NNG+를/JKO
가감	가감/NNG
없이	없이/MAG
전하고	전하/VV+고/EC
싶기	싶/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.111.6.4
진경은 “어른도 사춘기를 겪고 질풍노도의 시기가 계속된다.

진경은	진경/NNP+은/JX
“어른도	“/SS+어른/NNG+도/JX
사춘기를	사춘기/NNG+를/JKO
겪고	겪/VV+고/EC
질풍노도의	질풍노도/NNG+의/JKG
시기가	시기/NNG+가/JKS
계속된다.	계속/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.111.6.5
이런 갈등이 집약된 캐릭터가 연옥”이라고 설명했다.

이런	이런/MMD
갈등이	갈등/NNG+이/JKS
집약된	집약/NNG+되/XSV+ㄴ/ETM
캐릭터가	캐릭터/NNG+가/JKS
연옥”이라고	연옥/NNP+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.6.6
두 사람은 연옥에게서 젊은 날 자신들의 모습을 순간순간 발견한다고 했다.

두	두/MMN
사람은	사람/NNG+은/JX
연옥에게서	연옥/NNP+에게서/JKB
젊은	젊/VA+은/ETM
날	날/NNG
자신들의	자신/NNG+들/XSN+의/JKG
모습을	모습/NNG+을/JKO
순간순간	순간순간/MAG
발견한다고	발견/NNG+하/XSV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.111.7.1
“어릴 때는 별것 아닌 일에도 자존심을 굽히는 게 잘 안 되잖아요.

“어릴	“/SS+어리/VA+ㄹ/ETM
때는	때/NNG+는/JX
별것	별것/NNG
아닌	아니/VCN+ㄴ/ETM
일에도	일/NNG+에/JKB+도/JX
자존심을	자존심/NNG+을/JKO
굽히는	굽히/VV+는/ETM
게	거/NNB+이/JKS
잘	잘/MAG
안	안/MAG
되잖아요.	되/VV+잖아/EF+요/JX+./SF


# id : NWRW1800000053.111.7.2
자존심을 내세우다 상처를 주고받는 젊은 세대가 이 작품을 보면 좋을 것 같아요.”(윤)

자존심을	자존심/NNG+을/JKO
내세우다	내세우/VV+다/EC
상처를	상처/NNG+를/JKO
주고받는	주고받/VV+는/ETM
젊은	젊/VA+은/ETM
세대가	세대/NNG+가/JKS
이	이/MMD
작품을	작품/NNG+을/JKO
보면	보/VV+면/EC
