# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.56
metadata : {}


# id : NWRW1800000045.56.1.1
“전쟁 반대… 아베 퇴진” 국회 포위… 전국 300곳서 빗속 시위

“전쟁	“/SS+전쟁/NNG
반대…	반대/NNG+…/SE
아베	아베/NNP
퇴진”	퇴진/NNG+”/SS
국회	국회/NNG
포위…	포위/NNG+…/SE
전국	전국/NNG
300곳서	300/SN+곳/NNG+서/JKB
빗속	빗속/NNG
시위	시위/NNG


# id : NWRW1800000045.56.2.1
日 안보법안 반대 최대규모 시위 민주당 등 4개 야당대표도 동참… 의사당 주변 차벽 쌓아 진입차단 집단자위권 처리 차질 빚을수도

日	日/SH
안보법안	안보/NNG+법안/NNG
반대	반대/NNG
최대규모	최대/NNG+규모/NNG
시위	시위/NNG
민주당	민주당/NNP
등	등/NNB
4개	4/SN+개/NNB
야당대표도	야당/NNG+대표/NNG+도/JX
동참…	동참/NNG+…/SE
의사당	의사당/NNG
주변	주변/NNG
차벽	차/NNG+벽/NNG
쌓아	쌓/VV+아/EC
진입차단	진입/NNG+차단/NNG
집단자위권	집단/NNG+자위/NNG+권/XSN
처리	처리/NNG
차질	차질/NNG
빚을수도	빚/VV+을/ETM+수/NNB+도/JX


# id : NWRW1800000045.56.3.1
“전쟁을 막자.”

“전쟁을	“/SS+전쟁/NNG+을/JKO
막자.”	막/VV+자/EF+./SF+”/SS


# id : NWRW1800000045.56.3.2
“아베 정권 NO!”

“아베	“/SS+아베/NNP
정권	정권/NNG
NO!”	NO/SL+!/SF+”/SS


# id : NWRW1800000045.56.4.1
30일 오후 일본 도쿄(東京) 지요다(千代田) 구.

30일	30/SN+일/NNB
오후	오후/NNG
일본	일본/NNP
도쿄(東京)	도쿄/NNP+(/SS+東京/SH+)/SS
지요다(千代田)	지요다/NNP+(/SS+千代田/SH+)/SS
구.	구/NNG+./SF


# id : NWRW1800000045.56.4.2
아베 신조(安倍晋三) 정권이 추진 중인 안보법제에 반대하는 시민들이 국회를 포위하고 구호를 외쳤다.

아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
정권이	정권/NNG+이/JKS
추진	추진/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
안보법제에	안보/NNG+법제/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
시민들이	시민/NNG+들/XSN+이/JKS
국회를	국회/NNG+를/JKO
포위하고	포위/NNG+하/XSV+고/EC
구호를	구호/NNG+를/JKO
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.56.4.3
비가 내렸지만 비닐 비옷을 입은 참가자들이 줄지어 몰려 나왔다.

비가	비/NNG+가/JKS
내렸지만	내리/VV+었/EP+지만/EC
비닐	비닐/NNG
비옷을	비옷/NNG+을/JKO
입은	입/VV+은/ETM
참가자들이	참가자/NNG+들/XSN+이/JKS
줄지어	줄짓/VV+어/EC
몰려	몰리/VV+어/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.56.4.4
이날 시위 참가 인원은 12만 명(경찰 추산 3만 명)에 이르렀다고 주최 단체인 ‘전쟁하게 하지 마라.

이날	이날/NNG
시위	시위/NNG
참가	참가/NNG
인원은	인원/NNG+은/JX
12만	12/SN+만/NR
명(경찰	명/NNB+(/SS+경찰/NNG
추산	추산/NNG
3만	3/SN+만/NR
명)에	명/NNB+)/SS+에/JKB
