# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.32
metadata : {}


# id : NWRW1800000046.32.1.1
"癌이 뇌까지 퍼졌는데, 어찌나 잘 잤는지 몰라"

"癌이	"/SS+癌/SH+이/JKS
뇌까지	뇌/NNG+까지/JX
퍼졌는데,	퍼지/VV+었/EP+는데/EC+,/SP
어찌나	어찌나/MAG
잘	잘/MAG
잤는지	자/VV+았/EP+는지/EC
몰라"	모르/VV+아/EF+"/SS


# id : NWRW1800000046.32.2.1
90세 카터 前 美대통령, 완치 불가능한데도 눈물 대신 유머

90세	90/SN+세/NNB
카터	카터/NNP
前	前/SH
美대통령,	美/SH+대통령/NNG+,/SP
완치	완치/NNG
불가능한데도	불/XPN+가능/NNG+하/XSA+ㄴ데/EC+도/JX
눈물	눈물/NNG
대신	대신/NNG
유머	유머/NNG


# id : NWRW1800000046.32.3.1
"암에 걸린 사실을 알고 '아, 이제 살 날이 몇 주밖에 안 남았구나'라고 생각했다.

"암에	"/SS+암/NNG+에/JKB
걸린	걸리/VV+ㄴ/ETM
사실을	사실/NNG+을/JKO
알고	알/VV+고/EC
'아,	'/SS+아/IC+,/SP
이제	이제/MAG
살	살/VV+ㄹ/ETM
날이	날/NNG+이/JKS
몇	몇/NR
주밖에	주/NNB+밖에/JX
안	안/MAG
남았구나'라고	남/VV+았/EP+구나/EF+'/SS+라고/JKQ
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.32.3.2
그런데 이상하게도 내 마음이 그 어느 때보다 편안했다."

그런데	그런데/MAJ
이상하게도	이상/NNG+하/XSA+게/EC+도/JX
내	나/NP+의/JKG
마음이	마음/NNG+이/JKS
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
편안했다."	편안/NNG+하/XSA+았/EP+다/EF+./SF+"/SS


# id : NWRW1800000046.32.4.1
특유의 미소를 얼굴 가득 담은 90세의 지미 카터 전 미국 대통령(39대·1977~1981년)은 담담하게 자신의 암 상태에 대해 밝혔다.

특유의	특유/NNG+의/JKG
미소를	미소/NNG+를/JKO
얼굴	얼굴/NNG
가득	가득/MAG
담은	담/VV+은/ETM
90세의	90/SN+세/NNB+의/JKG
지미	지미/NNP
카터	카터/NNP
전	전/MMD
미국	미국/NNP
대통령(39대·1977~1981년)은	대통령/NNG+(/SS+39/SN+대/NNB+·/SP+1977/SN+~/SO+1981/SN+년/NNB+)/SS+은/JX
담담하게	담담하/VA+게/EC
자신의	자신/NNG+의/JKG
암	암/NNG
상태에	상태/NNG+에/JKB
대해	대하/VV+아/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.32.4.2
순간순간 폭소가 쏟아지게 유머까지 날렸다.

순간순간	순간순간/MAG
폭소가	폭소/NNG+가/JKS
쏟아지게	쏟아지/VV+게/EC
유머까지	유머/NNG+까지/JX
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.32.4.3
쾌활한 모습에 과연 그가 항암치료를 시작한 중환자일까 하는 생각이 들 정도였다.

쾌활한	쾌활하/VA+ㄴ/ETM
모습에	모습/NNG+에/JKB
과연	과연/MAG
그가	그/NP+가/JKS
항암치료를	항암/NNG+치료/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
중환자일까	중환자/NNG+이/VCP+ㄹ까/EF
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
들	들/VV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.32.5.1
