# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.343
metadata : {}


# id : NWRW1800000049.343.1.1
싱가포르, 비자면제국서 北 제외

싱가포르,	싱가포르/NNP+,/SP
비자면제국서	비자/NNG+면제국/NNG+서/JKB
北	北/SH
제외	제외/NNG


# id : NWRW1800000049.343.2.1
10월부터 유엔 대북제재 동참… 北로열패밀리 치료위해 찾던 곳

10월부터	10/SN+월/NNB+부터/JX
유엔	유엔/NNP
대북제재	대북/NNG+제재/NNG
동참…	동참/NNG+…/SE
北로열패밀리	北/SH+로열패밀리/NNG
치료위해	치료/NNG+위하/VV+아/EC
찾던	찾/VV+던/ETM
곳	곳/NNG


# id : NWRW1800000049.343.3.1
싱가포르가 북한과의 비자 면제 프로그램 중단을 결정했다.

싱가포르가	싱가포르/NNP+가/JKS
북한과의	북한/NNP+과/JKB+의/JKG
비자	비자/NNG
면제	면제/NNG
프로그램	프로그램/NNG
중단을	중단/NNG+을/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.343.3.2
유엔 안전보장이사회의 대북제재 결의 2270호 이행 조치의 하나다.

유엔	유엔/NNP
안전보장이사회의	안전/NNG+보장/NNG+이사회/NNG+의/JKG
대북제재	대북/NNG+제재/NNG
결의	결의/NNG
2270호	2270/SN+호/NNB
이행	이행/NNG
조치의	조치/NNG+의/JKG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000049.343.3.3
싱가포르 이민국(ICA)은 10월 1일부터 자국에 들어오는 모든 북한 주민은 입국 비자를 받아야 한다고 지난달 30일 밝혔다.

싱가포르	싱가포르/NNP
이민국(ICA)은	이민국/NNG+(/SS+ICA/SL+)/SS+은/JX
10월	10/SN+월/NNB
1일부터	1/SN+일/NNB+부터/JX
자국에	자국/NNG+에/JKB
들어오는	들어오/VV+는/ETM
모든	모든/MMN
북한	북한/NNP
주민은	주민/NNG+은/JX
입국	입국/NNG
비자를	비자/NNG+를/JKO
받아야	받/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
지난달	지난달/NNG
30일	30/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.343.3.4
싱가포르는 말레이시아와 더불어 동남아 국가 가운데 북한과 비자 면제가 시행되던 주요국 2곳 중 하나였다.

싱가포르는	싱가포르/NNP+는/JX
말레이시아와	말레이시아/NNP+와/JKB
더불어	더불/VV+어/EC
동남아	동남아/NNP
