# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.58
metadata : {}


# id : NWRW1800000054.58.1.1
[화요바둑] "유럽에서 바둑은 승부 아닌 예술"

[화요바둑]	[/SS+화요/NNG+바둑/NNG+]/SS
바둑판이란 도화지 위에 두 사람이 함께 아름다움을 구현해 가는 과정이란 거죠," 황인성은 지난해 이세돌이 알파고에 패했을 때 프랑스 바둑 사회엔 "설혹 인간이 인공지능에 밀려나더라도 예술을 향유하는 인간의 권리까지 기계가 빼앗아갈 수는 없다"는 분위기가 형성됐다면서, "올라가기 위한 삶보다 넓어지기 위한 삶을 추구하는 유럽인들의 의식에 많은 감명을 받았다"고 했다.

바둑판이란	바둑판/NNG+이/VCP+란/ETM
도화지	도화지/NNG
위에	위/NNG+에/JKB
두	두/MMN
사람이	사람/NNG+이/JKS
함께	함께/MAG
아름다움을	아름다움/NNG+을/JKO
구현해	구현/NNG+하/XSV+아/EC
가는	가/VX+는/ETM
과정이란	과정/NNG+이/VCP+란/ETM
거죠,"	거/NNB+이/VCP+죠/EF+,/SP+"/SS
황인성은	황인성/NNP+은/JX
지난해	지난해/NNG
이세돌이	이세돌/NNP+이/JKS
알파고에	알파고/NNP+에/JKB
패했을	패/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
프랑스	프랑스/NNP
바둑	바둑/NNG
사회엔	사회/NNG+에/JKB+ㄴ/JX
"설혹	"/SS+설혹/MAG
인간이	인간/NNG+이/JKS
인공지능에	인공/NNG+지능/NNG+에/JKB
밀려나더라도	밀려나/VV+더라도/EC
예술을	예술/NNG+을/JKO
향유하는	향유/NNG+하/XSV+는/ETM
인간의	인간/NNG+의/JKG
권리까지	권리/NNG+까지/JX
기계가	기계/NNG+가/JKS
빼앗아갈	빼앗/VV+아/EC+가/VX+ㄹ/ETM
수는	수/NNB+는/JX
없다"는	없/VA+다/EF+"/SS+는/ETM
분위기가	분위기/NNG+가/JKS
형성됐다면서,	형성/NNG+되/XSV+었/EP+다면서/EC+,/SP
"올라가기	"/SS+올라가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
삶보다	삶/NNG+보다/JKB
넓어지기	넓어지/VV+기/ETN
삶을	삶/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
유럽인들의	유럽인/NNG+들/XSN+의/JKG
의식에	의식/NNG+에/JKB
많은	많/VA+은/ETM
감명을	감명/NNG+을/JKO
받았다"고	받/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.5.1
황인성은 중국 출신 프랑스 국적 기사 판후이(樊麾·36)와 매우 가깝다.

황인성은	황인성/NNP+은/JX
중국	중국/NNP
출신	출신/NNG
프랑스	프랑스/NNP
국적	국적/NNG
기사	기사/NNG
판후이(樊麾·36)와	판후이/NNP+(/SS+樊麾/SH+·/SP+36/SN+)/SS+와/JKB
매우	매우/MAG
가깝다.	가깝/VA+다/EF+./SF


# id : NWRW1800000054.58.5.2
지난해 이세돌과 겨루기 전의 알파고 스파링 상대였던 판후이는 황인성과 프랑스 바둑협회서 잠시 함께 몸담았을 때 "우리 둘이 노조를 만들자"며 농담을 건네올 정도로 막역한 사이다.

지난해	지난해/NNG
이세돌과	이세돌/NNP+과/JKB
겨루기	겨루/VV+기/ETN
전의	전/NNG+의/JKG
알파고	알파고/NNP
스파링	스파링/NNG
상대였던	상대/NNG+이/VCP+었/EP+던/ETM
판후이는	판후이/NNP+는/JX
황인성과	황인성/NNP+과/JKB
프랑스	프랑스/NNP
바둑협회서	바둑협회/NNP+서/JKB
잠시	잠시/MAG
함께	함께/MAG
몸담았을	몸담/VV+았/EP+을/ETM
때	때/NNG
"우리	"/SS+우리/NP
둘이	둘/NR+이/JKS
노조를	노조/NNG+를/JKO
만들자"며	만들/VV+자/EF+"/SS+며/EC
농담을	농담/NNG+을/JKO
건네올	건네/VV+어/EC+오/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
막역한	막역하/VA+ㄴ/ETM
사이다.	사이/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.58.5.3
판후이는 2003년부터 10년가량 유럽선수권을 독식했고, 이후 바통을 이어받은 황인성이 3년째 유럽 랭킹 1위를 지키고 있다.

판후이는	판후이/NNP+는/JX
2003년부터	2003/SN+년/NNB+부터/JX
10년가량	10/SN+년/NNB+가량/XSN
유럽선수권을	유럽/NNP+선수/NNG+권/XSN+을/JKO
독식했고,	독식/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
바통을	바통/NNG+을/JKO
이어받은	이어받/VV+은/ETM
황인성이	황인성/NNP+이/JKS
3년째	3/SN+년/NNB+째/XSN
유럽	유럽/NNP
랭킹	랭킹/NNG
1위를	1/SN+위/NNB+를/JKO
지키고	지키/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.58.6.1
황인성은 지난 2월 그르노블에서 제1회 엘리컵 바둑대회를 개최했다.

황인성은	황인성/NNP+은/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
그르노블에서	그르노블/NNP+에서/JKB
제1회	제/XPN+1/SN+회/NNB
엘리컵	엘리컵/NNG
바둑대회를	바둑/NNG+대회/NNG+를/JKO
개최했다.	개최/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.6.2
엘리는 작년 8월 태어난 자신의 딸 이름이다.

엘리는	엘리/NNP+는/JX
작년	작년/NNG
8월	8/SN+월/NNB
태어난	태어나/VV+ㄴ/ETM
자신의	자신/NNG+의/JKG
딸	딸/NNG
이름이다.	이름/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.58.6.3
우리 돈 500만원 정도 사비(私費)가 들어갔다.

우리	우리/NP
돈	돈/NNG
500만원	500/SN+만/NR+원/NNB
정도	정도/NNG
사비(私費)가	사비/NNG+(/SS+私費/SH+)/SS+가/JKS
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.6.4
"유럽에서 많은 사람에게 항상 도움만 받아왔거든요, 뭔가 조금이라도 갚겠다는 생각을 늘 하다 대회를 열었죠." 유럽 프로기사 2명 등 현지 최고수 80여 명이 참가한 대성황 속에 한국 바둑의 위상이 크게 올라갔다.

"유럽에서	"/SS+유럽/NNP+에서/JKB
많은	많/VA+은/ETM
사람에게	사람/NNG+에게/JKB
항상	항상/MAG
도움만	도움/NNG+만/JX
받아왔거든요,	받/VV+아/EC+오/VX+았/EP+거든/EF+요/JX+,/SP
뭔가	뭐/NP+이/VCP+ㄴ가/EF
조금이라도	조금/NNG+이/VCP+라도/EC
갚겠다는	갚/VV+겠/EP+다는/ETM
생각을	생각/NNG+을/JKO
늘	늘/MAG
하다	하/VV+다/EC
대회를	대회/NNG+를/JKO
열었죠."	열/VV+었/EP+죠/EF+./SF+"/SS
유럽	유럽/NNP
프로기사	프로/NNG+기사/NNG
2명	2/SN+명/NNB
등	등/NNB
현지	현지/NNG
최고수	최/XPN+고수/NNG
80여	80/SN+여/XSN
명이	명/NNB+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
대성황	대/XPN+성황/NNG
속에	속/NNG+에/JKB
한국	한국/NNP
바둑의	바둑/NNG+의/JKG
위상이	위상/NNG+이/JKS
크게	크/VA+게/EC
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.7.1
황인성의 실력은 독보적이다.

황인성의	황인성/NNP+의/JKG
실력은	실력/NNG+은/JX
독보적이다.	독보/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.58.7.2
그간 유럽 내 각종 대회에 50여 번 출전해 32번 우승했을 정도.

그간	그/NP+간/XSN
유럽	유럽/NNP
내	내/NNB
각종	각종/NNG
대회에	대회/NNG+에/JKB
50여	50/SN+여/XSN
번	번/NNB
출전해	출전/NNG+하/XSV+아/EC
32번	32/SN+번/NNB
우승했을	우승/NNG+하/XSV+았/EP+을/ETM
정도.	정도/NNG+./SF


# id : NWRW1800000054.58.7.3
한스 피치→카타린 타라누→판후이로 내려온 유럽 1인자 계보를 황인성이 잇고 있다.

한스	한스/NNP
피치→카타린	피치/NNP+→/SW+카타린/NNP
타라누→판후이로	타라누/NNP+→/SW+판후이/NNP+로/JKB
내려온	내려오/VV+ㄴ/ETM
유럽	유럽/NNP
1인자	1인자/NNG
계보를	계보/NNG+를/JKO
황인성이	황인성/NNP+이/JKS
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.58.7.4
충암고와 명지대 바둑학과를 거치기 전 6년간 한국기원 연구생으로 홍맑은샘, 하성봉 등과 함께 연마한 실력이다.

충암고와	충암고/NNP+와/JC
명지대	명지대/NNP
바둑학과를	바둑/NNG+학과/NNG+를/JKO
거치기	거치/VV+기/ETN
전	전/NNG
6년간	6/SN+년/NNB+간/XSN
한국기원	한국기원/NNP
연구생으로	연구/NNG+생/XSN+으로/JKB
홍맑은샘,	홍맑은샘/NNP+,/SP
하성봉	하성봉/NNP
등과	등/NNB+과/JKB
함께	함께/MAG
연마한	연마/NNG+하/XSV+ㄴ/ETM
실력이다.	실력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.58.7.5
2005년 독일서 첫 1년을 보낸 뒤 군복무로 귀국했다가 2009년부터 독일·스위스·네덜란드·영국을 거쳐 프랑스 그르노블에 정착했다.

2005년	2005/SN+년/NNB
독일서	독일/NNP+서/JKB
첫	첫/MMN
1년을	1/SN+년/NNB+을/JKO
보낸	보내/VV+ㄴ/ETM
뒤	뒤/NNG
군복무로	군/NNG+복무/NNG+로/JKB
귀국했다가	귀국/NNG+하/XSV+았/EP+다가/EC
2009년부터	2009/SN+년/NNB+부터/JX
독일·스위스·네덜란드·영국을	독일/NNP+·/SP+스위스/NNP+·/SP+네덜란드/NNP+·/SP+영국/NNP+을/JKO
거쳐	거치/VV+어/EC
프랑스	프랑스/NNP
그르노블에	그르노블/NNP+에/JKB
정착했다.	정착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.8.1
유럽 전역에서 1년에 무려 500개, 프랑스만도 60여 개 바둑대회가 열린다.

유럽	유럽/NNP
전역에서	전역/NNG+에서/JKB
1년에	1/SN+년/NNB+에/JKB
무려	무려/MAG
500개,	500/SN+개/NNB+,/SP
프랑스만도	프랑스/NNP+만/JX+도/JX
60여	60/SN+여/XSN
개	개/NNB
바둑대회가	바둑/NNG+대회/NNG+가/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.58.8.2
"처음 몇 년간은 무조건 이기려고만 했어요.

"처음	"/SS+처음/NNG
몇	몇/NR
년간은	년/NNB+간/XSN+은/JX
무조건	무/XPN+조건/NNG
이기려고만	이기/VV+려고/EC+만/JX
했어요.	하/VX+았/EP+어요/EF+./SF


# id : NWRW1800000054.58.8.3
용돈이 궁하기도 했거니와 성적을 내야 인정받을 수 있기 때문이었죠." 황인성은 어느날 자신이 유럽 지역 단골 출전자들의 '밥그릇'을 빼앗고 있음을 문득 깨달았다.

용돈이	용돈/NNG+이/JKS
궁하기도	궁/NNG+하/XSA+기/ETN+도/JX
했거니와	하/VX+았/EP+거니와/EC
성적을	성적/NNG+을/JKO
내야	내/VV+어야/EC
인정받을	인정/NNG+받/XSV+을/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이었죠."	때문/NNB+이/VCP+었/EP+죠/EF+./SF+"/SS
황인성은	황인성/NNP+은/JX
어느날	어느/MMD+날/NNG
자신이	자신/NNG+이/JKS
유럽	유럽/NNP
지역	지역/NNG
단골	단골/NNG
출전자들의	출전자/NNG+들/XSN+의/JKG
'밥그릇'을	'/SS+밥그릇/NNG+'/SS+을/JKO
빼앗고	빼앗/VV+고/EC
있음을	있/VX+음/ETN+을/JKO
문득	문득/MAG
깨달았다.	깨닫/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.58.8.4
특히 동구권 기사들에게 상금은 생활비의 전부에 가까울 만큼 절실한 목표물이었다.

특히	특히/MAG
동구권	동구/NNP+권/XSN
기사들에게	기사/NNG+들/XSN+에게/JKB
상금은	상금/NNG+은/JX
생활비의	생활비/NNG+의/JKG
전부에	전부/NNG+에/JKB
가까울	가깝/VA+ㄹ/ETM
만큼	만큼/NNB
절실한	절실하/VA+ㄴ/ETM
목표물이었다.	목표물/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.58.9.1
그는 그 후부터 토너먼트 출전을 대폭 줄이고 바둑 교육 쪽으로 눈을 돌렸다.

그는	그/NP+는/JX
그	그/MMD
후부터	후/NNG+부터/JX
토너먼트	토너먼트/NNG
출전을	출전/NNG+을/JKO
대폭	대폭/MAG
줄이고	줄이/VV+고/EC
바둑	바둑/NNG
교육	교육/NNG
쪽으로	쪽/NNB+으로/JKB
눈을	눈/NNG+을/JKO
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.58.9.2
자원봉사자인 각종 대회 진행요원과 방과 후 수업 교사 육성에 주력하게 된 배경이다.

자원봉사자인	자원봉사자/NNG+이/VCP+ㄴ/ETM
각종	각종/NNG
대회	대회/NNG
진행요원과	진행/NNG+요원/NNG+과/JC
방과	방과/NNG
후	후/NNG
수업	수업/NNG
교사	교사/NNG
육성에	육성/NNG+에/JKB
주력하게	주력/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
배경이다.	배경/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.58.9.3
"바둑을 예술로 대접받게 만들어주는 분들을 가르치는 것만큼 보람 있는 일도 없습니다.

"바둑을	"/SS+바둑/NNG+을/JKO
예술로	예술/NNG+로/JKB
대접받게	대접/NNG+받/XSV+게/EC
만들어주는	만들/VV+어/EC+주/VX+는/ETM
분들을	분/NNB+들/XSN+을/JKO
가르치는	가르치/VV+는/ETM
것만큼	것/NNB+만큼/JKB
보람	보람/NNG
있는	있/VA+는/ETM
일도	일/NNG+도/JX
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000054.58.9.4
그들 앞에 설 때마다 내겐 강의가 '예술'이란 생각으로 임하고 있어요." 황인성은 펀드(기금)를 조성, 바둑 쿠폰 등을 통해 어린 꿈나무들에게 리그를 만들어주는 플랜도 구상 중이다.

그들	그/NP+들/XSN
앞에	앞/NNG+에/JKB
설	서/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
내겐	나/NP+에게/JKB+ㄴ/JX
강의가	강의/NNG+가/JKS
'예술'이란	'/SS+예술/NNG+'/SS+이/VCP+란/ETM
생각으로	생각/NNG+으로/JKB
임하고	임하/VV+고/EC
있어요."	있/VX+어요/EF+./SF+"/SS
황인성은	황인성/NNP+은/JX
펀드(기금)를	펀드/NNG+(/SS+기금/NNG+)/SS+를/JKO
조성,	조성/NNG+,/SP
바둑	바둑/NNG
쿠폰	쿠폰/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
어린	어리/VA+ㄴ/ETM
꿈나무들에게	꿈나무/NNG+들/XSN+에게/JKB
리그를	리그/NNG+를/JKO
만들어주는	만들/VV+어/EC+주/VX+는/ETM
플랜도	플랜/NNG+도/JX
구상	구상/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


