# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.376
metadata : {}


# id : NWRW1800000022.376.1.1
"세종시 '원안+α'로 추진을 部處이전 백지화는 안돼"

"세종시	"/SS+세종시/NNP
'원안+α'로	'/SS+원안/NNG++/SW+α/SW+'/SS+로/JKB
추진을	추진/NNG+을/JKO
部處이전	部處/SH+이전/NNG
백지화는	백지/NNG+화/XSN+는/JX
안돼"	안/MAG+되/XSV+어/EF+"/SS


# id : NWRW1800000022.376.2.1
박근혜 전 한나라당 대표는 23일 정부 부처 이전 계획을 축소 또는 백지화하는 등의 세종시 수정 논란에 대해 "정부가 (수정이) 필요하다면 세종시 원안에다 플러스 알파(+α)를 해야지, (정부 부처 이전) 백지화는 말이 안 된다"고 말했다.

박근혜	박근혜/NNP
전	전/MMD
한나라당	한나라당/NNP
대표는	대표/NNG+는/JX
23일	23/SN+일/NNB
정부	정부/NNG
부처	부처/NNG
이전	이전/NNG
계획을	계획/NNG+을/JKO
축소	축소/NNG
또는	또는/MAG
백지화하는	백지/NNG+화/XSN+하/XSV+는/ETM
등의	등/NNB+의/JKG
세종시	세종시/NNP
수정	수정/NNG
논란에	논란/NNG+에/JKB
대해	대하/VV+아/EC
"정부가	"/SS+정부/NNG+가/JKS
(수정이)	(/SS+수정/NNG+이/JKS+)/SS
필요하다면	필요/NNG+하/XSA+다면/EC
원안에다	원안/NNG+에다/JKB
플러스	플러스/NNG
알파(+α)를	알파/NNG+(/SS++/SW+α/SW+)/SS+를/JKO
해야지,	하/VV+아야지/EC+,/SP
(정부	(/SS+정부/NNG
이전)	이전/NNG+)/SS
백지화는	백지/NNG+화/XSN+는/JX
말이	말/NNG+이/JKS
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.376.2.2
관련기사 A6면

관련기사	관련/NNG+기사/NNG
A6면	A/SL+6/SN+면/NNG


# id : NWRW1800000022.376.3.1
박 전 대표는 이날 국회 상임위 참석 전 기자들과 만나 "정치는 신뢰다. (세종시 추진과 같은) 약속이 무너진다면 앞으로 한나라당이 국민들에게 무슨 약속을 할 수 있겠느냐. 이는 결국 당의 존립 문제"라며 이 같이 말했다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
국회	국회/NNG
상임위	상임위/NNG
참석	참석/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"정치는	"/SS+정치/NNG+는/JX
신뢰다.	신뢰/NNG+이/VCP+다/EF+./SF
(세종시	(/SS+세종시/NNP
추진과	추진/NNG+과/JKB
같은)	같/VA+은/ETM+)/SS
약속이	약속/NNG+이/JKS
무너진다면	무너지/VV+ㄴ다면/EC
앞으로	앞/NNG+으로/JKB
한나라당이	한나라당/NNP+이/JKS
국민들에게	국민/NNG+들/XSN+에게/JKB
무슨	무슨/MMD
약속을	약속/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있겠느냐.	있/VA+겠/EP+느냐/EF+./SF
이는	이/NP+는/JX
결국	결국/MAG
당의	당/NNG+의/JKG
존립	존립/NNG
문제"라며	문제/NNG+"/SS+이/VCP+라며/EC
이	이/NP
같이	같이/MAG
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.376.4.1
이에 따라 행정중심복합도시법 개정 등을 통해 정부 부처 이전계획을 변경하려는 여권 핵심부의 세종시 수정 추진 구상은 일단 벽에 부딪히게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
행정중심복합도시법	행정/NNG+중심/NNG+복합/NNG+도시법/NNG
개정	개정/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
정부	정부/NNG
부처	부처/NNG
이전계획을	이전/NNG+계획/NNG+을/JKO
변경하려는	변경/NNG+하/XSV+려는/ETM
여권	여권/NNG
핵심부의	핵심부/NNG+의/JKG
세종시	세종시/NNP
수정	수정/NNG
추진	추진/NNG
구상은	구상/NNG+은/JX
일단	일단/MAG
벽에	벽/NNG+에/JKB
부딪히게	부딪히/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.376.4.2
야당 전체가 원안 고수를 주장하는 상황에서 한나라당 단독으로 수정안을 처리하려면 60여명에 이르는 친박 의원들의 도움이 절대적으로 필요하지만 이날 박 전 대표의 발언으로 친박계의 협조를 얻는 것은 상당히 힘들어졌다는 분석이 지배적이다.

야당	야당/NNG
전체가	전체/NNG+가/JKS
원안	원안/NNG
고수를	고수/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
한나라당	한나라당/NNP
단독으로	단독/NNG+으로/JKB
수정안을	수정안/NNG+을/JKO
처리하려면	처리/NNG+하/XSV+려면/EC
60여명에	60/SN+여/XSN+명/NNB+에/JKB
이르는	이르/VV+는/ETM
친박	친/XPN+박/NNP
의원들의	의원/NNG+들/XSN+의/JKG
도움이	도움/NNG+이/JKS
절대적으로	절대/NNG+적/XSN+으로/JKB
필요하지만	필요/NNG+하/XSA+지만/EC
이날	이날/NNG
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언으로	발언/NNG+으로/JKB
친박계의	친/XPN+박/NNP+계/XSN+의/JKG
협조를	협조/NNG+를/JKO
얻는	얻/VV+는/ETM
것은	것/NNB+은/JX
상당히	상당히/MAG
힘들어졌다는	힘들어지/VV+었/EP+다는/ETM
분석이	분석/NNG+이/JKS
지배적이다.	지배/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000022.376.5.1
박 전 대표는 이날 "정부가 부처 이전을 축소하는 대신 대안 등을 준비한다는 말이 나도는데 알고 있느냐"라는 질문에 "원안을 지키고 플러스 알파를 해야 한다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
"정부가	"/SS+정부/NNG+가/JKS
부처	부처/NNG
이전을	이전/NNG+을/JKO
축소하는	축소/NNG+하/XSV+는/ETM
대신	대신/NNG
대안	대안/NNG
등을	등/NNB+을/JKO
준비한다는	준비/NNG+하/XSV+ㄴ다는/ETM
말이	말/NNG+이/JKS
나도는데	나돌/VV+는데/EC
알고	알/VV+고/EC
있느냐"라는	있/VX+느냐/EF+"/SS+이/VCP+라는/ETM
질문에	질문/NNG+에/JKB
"원안을	"/SS+원안/NNG+을/JKO
지키고	지키/VV+고/EC
플러스	플러스/NNG
알파를	알파/NNG+를/JKO
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.376.5.2
그동안 우리가 (효율성 부족 등) 이런 문제점을 모르고 (세종시를 추진)한 게 아니지 않으냐"고 했다.

그동안	그동안/NNG
우리가	우리/NP+가/JKS
(효율성	(/SS+효율/NNG+성/XSN
부족	부족/NNG
등)	등/NNB+)/SS
이런	이런/MMD
문제점을	문제점/NNG+을/JKO
모르고	모르/VV+고/EC
(세종시를	(/SS+세종시/NNP+를/JKO
추진)한	추진/NNG+)/SS+하/VV+ㄴ/ETM
게	거/NNB+이/JKC
아니지	아니/VCN+지/EC
않으냐"고	않/VX+으냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.376.5.3
그는 이어 "선거 때마다 앞다퉈서 정치인들이 약속을 지키겠다고 하지 않았느냐"며 "(2005년 3월 법이 통과될 때) 수많은 토의를 했고, 결국 여야가 합의해줬던 사안"이라고 덧붙였다.

그는	그/NP+는/JX
이어	이어/MAG
"선거	"/SS+선거/NNG
때마다	때/NNG+마다/JX
앞다퉈서	앞다투/VV+어서/EC
정치인들이	정치인/NNG+들/XSN+이/JKS
약속을	약속/NNG+을/JKO
지키겠다고	지키/VV+겠/EP+다고/EC
하지	하/VV+지/EC
않았느냐"며	않/VX+았/EP+느냐/EF+"/SS+며/EC
"(2005년	"/SS+(/SS+2005/SN+년/NNB
3월	3/SN+월/NNB
법이	법/NNG+이/JKS
통과될	통과/NNG+되/XSV+ㄹ/ETM
때)	때/NNG+)/SS
수많은	수많/VA+은/ETM
토의를	토의/NNG+를/JKO
했고,	하/VV+았/EP+고/EC+,/SP
결국	결국/MAG
여야가	여야/NNG+가/JKS
합의해줬던	합의/NNG+하/XSV+아/EC+주/VX+었/EP+던/ETM
사안"이라고	사안/NNG+"/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.376.6.1
친박 의원들은 이날 박 전 대표의 발언에 대해 "만약 9부2처2청 이전만으로 세종시의 자족 기능이 미흡하다면 기업·대학·연구기관까지 덧붙여 이전하는 방안을 검토할 순 있겠지만, 정부 부처 이전을 줄이는 건 반대한 것"이라고 해석했다.

친박	친/XPN+박/NNP
의원들은	의원/NNG+들/XSN+은/JX
이날	이날/NNG
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
발언에	발언/NNG+에/JKB
대해	대하/VV+아/EC
"만약	"/SS+만약/MAG
9부2처2청	9/SN+부/NNG+2/SN+처/NNG+2/SN+청/NNG
이전만으로	이전/NNG+만/JX+으로/JKB
세종시의	세종시/NNP+의/JKG
자족	자족/NNG
기능이	기능/NNG+이/JKS
미흡하다면	미흡/NNG+하/XSA+다면/EC
기업·대학·연구기관까지	기업/NNG+·/SP+대학/NNG+·/SP+연구/NNG+기관/NNG+까지/JX
덧붙여	덧붙이/VV+어/EC
이전하는	이전/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
