# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.77
metadata : {}


# id : NWRW1800000041.77.1.1
[토요판 커버스토리]부부 섹스리스 해결법은?

[토요판	[/SS+토요판/NNG
커버스토리]부부	커버스토리/NNG+]/SS+부부/NNG
섹스리스	섹스리스/NNG
해결법은?	해결법/NNG+은/JX+?/SF


# id : NWRW1800000041.77.2.1
‘당신은 여전히 매력적’ 신호를 보내라

‘당신은	‘/SS+당신/NP+은/JX
여전히	여전히/MAG
매력적’	매력/NNG+적/XSN+’/SS
신호를	신호/NNG+를/JKO
보내라	보내/VV+라/EF


# id : NWRW1800000041.77.3.1
‘대저 결혼파탈의 원인이 성적으로 맞지 안는데 잇다는 것은 부정(否定)하기 어려운 사실이다.

‘대저	‘/SS+대저/MAG
결혼파탈의	결혼/NNG+파탈/NNG+의/JKG
원인이	원인/NNG+이/JKS
성적으로	성/NNG+적/XSN+으로/JKB
맞지	맞/VV+지/EC
안는데	안/VX+는데/EC
잇다는	잇/VA+다는/ETM
것은	것/NNB+은/JX
부정(否定)하기	부정/NNG+(/SS+否定/SH+)/SS+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.77.3.2
다른 곤난으로 생기는 불화 알륵(알력)이 잇다 하더라도 만일 성적관게가 만족하면 용이하게 조화될 수가 잇다.’(동아일보 1939년 9월 4일자 ‘家庭讀本(가정독본) 三十(삼십) 가정화락의 법측 五(오) 조그만 친절을 하라’ 중에서)

다른	다른/MMD
곤난으로	곤난/NNG+으로/JKB
생기는	생기/VV+는/ETM
불화	불화/NNG
알륵(알력)이	알륵/NNG+(/SS+알력/NNG+)/SS+이/JKS
잇다	잇/VA+다/EF
하더라도	하/VV+더라도/EC
만일	만일/MAG
성적관게가	성/NNG+적/XSN+관게/NNG+가/JKS
만족하면	만족/NNG+하/XSA+면/EC
용이하게	용이하/VA+게/EC
조화될	조화/NNG+되/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
잇다.’(동아일보	잇/VA+다/EF+./SF+’/SS+(/SS+동아일보/NNP
1939년	1939/SN+년/NNB
9월	9/SN+월/NNB
4일자	4/SN+일/NNB+자/NNG
‘家庭讀本(가정독본)	‘/SS+家庭讀本/SH+(/SS+가정/NNG+독본/NNG+)/SS
三十(삼십)	三十/SH+(/SS+삼십/NR+)/SS
가정화락의	가정/NNG+화락/NNG+의/JKG
법측	법측/NNG
五(오)	五/SH+(/SS+오/NNG+)/SS
조그만	조그맣/VA+ㄴ/ETM
친절을	친절/NNG+을/JKO
하라’	하/VV+라/EF+’/SS
중에서)	중/NNB+에서/JKB+)/SS


# id : NWRW1800000041.77.4.1
섹스리스가 문제가 되는 것은 일상적인 부부생활에 좋지 않은 영향을 주기 때문이다.

섹스리스가	섹스리스/NNG+가/JKS
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
것은	것/NNB+은/JX
일상적인	일상/NNG+적/XSN+이/VCP+ㄴ/ETM
부부생활에	부부/NNG+생활/NNG+에/JKB
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
영향을	영향/NNG+을/JKO
주기	주/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.77.4.2
성(性)을 매개로 한 배타적인 애정은 부부를 맺어주는 가장 핵심적인 요소다.

성(性)을	성/NNG+(/SS+性/SH+)/SS+을/JKO
매개로	매개/NNG+로/JKB
한	하/VV+ㄴ/ETM
배타적인	배타/NNG+적/XSN+이/VCP+ㄴ/ETM
애정은	애정/NNG+은/JX
부부를	부부/NNG+를/JKO
맺어주는	맺/VV+어/EC+주/VX+는/ETM
가장	가장/MAG
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.77.5.1
생리학적으로도 성관계는 부부의 친밀감을 강화하는 옥시토신 등의 호르몬 분비를 촉진한다.

생리학적으로도	생리학/NNG+적/XSN+으로/JKB+도/JX
성관계는	성관계/NNG+는/JX
부부의	부부/NNG+의/JKG
친밀감을	친밀감/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
옥시토신	옥시토신/NNG
등의	등/NNB+의/JKG
호르몬	호르몬/NNG
분비를	분비/NNG+를/JKO
촉진한다.	촉진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.77.5.2
대개 부부의 결혼생활 만족도는 성생활 만족도와 비례한다.

대개	대개/MAG
부부의	부부/NNG+의/JKG
결혼생활	결혼/NNG+생활/NNG
만족도는	만족도/NNG+는/JX
성생활	성생활/NNG
만족도와	만족도/NNG+와/JKB
비례한다.	비례/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.77.6.1
‘성관계를 하지 않아도 잘 통한다’ 혹은 ‘정신적으로 교감을 나누고 있다’는 식으로 대답하는 부부들에 대해 전문가 상당수는 “그런 사람들은 실제 보이지 않는 ‘불씨’를 안고 사는 경우가 많다”고 지적한다.

‘성관계를	‘/SS+성관계/NNG+를/JKO
하지	하/VV+지/EC
않아도	않/VX+아도/EC
잘	잘/MAG
통한다’	통하/VV+ㄴ다/EF+’/SS
혹은	혹은/MAG
‘정신적으로	‘/SS+정신/NNG+적/XSN+으로/JKB
교감을	교감/NNG+을/JKO
나누고	나누/VV+고/EC
있다’는	있/VX+다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
대답하는	대답/NNG+하/XSV+는/ETM
부부들에	부부/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
전문가	전문가/NNG
상당수는	상당수/NNG+는/JX
“그런	“/SS+그런/MMD
사람들은	사람/NNG+들/XSN+은/JX
실제	실제/NNG
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
‘불씨’를	‘/SS+불씨/NNG+’/SS+를/JKO
안고	안/VV+고/EC
사는	살/VV+는/ETM
경우가	경우/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.77.6.2
부부 폭력 뒤에는 대체로 성적 불만이 있다는 조사 결과도 있다.

부부	부부/NNG
폭력	폭력/NNG
뒤에는	뒤/NNG+에/JKB+는/JX
대체로	대체로/MAG
성적	성/NNG+적/XSN
불만이	불만/NNG+이/JKS
있다는	있/VA+다는/ETM
조사	조사/NNG
결과도	결과/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.77.7.1
다시 말해 장기간의 섹스리스 상태는 정상이 아닐 가능성이 높다.

다시	다시/MAG
말해	말/NNG+하/XSV+아/EC
장기간의	장기간/NNG+의/JKG
섹스리스	섹스리스/NNG
상태는	상태/NNG+는/JX
정상이	정상/NNG+이/JKC
아닐	아니/VCN+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000041.77.7.2
이윤수 한국성과학연구소 소장은 “성관계 없이도 아무 문제가 없다고 공언하는 부부 중에는 나중에 이혼을 하는 경우가 적지 않다”며 “최근 이혼율 상승과 섹스리스 부부의 증가세는 적잖은 상관관계가 있을 것”이라고 말했다.

이윤수	이윤수/NNP
한국성과학연구소	한국성과학연구소/NNP
소장은	소장/NNG+은/JX
“성관계	“/SS+성관계/NNG
없이도	없이/MAG+도/JX
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다고	없/VA+다고/EC
공언하는	공언/NNG+하/XSV+는/ETM
부부	부부/NNG
중에는	중/NNB+에/JKB+는/JX
나중에	나중/NNG+에/JKB
이혼을	이혼/NNG+을/JKO
하는	하/VV+는/ETM
경우가	경우/NNG+가/JKS
적지	적/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“최근	“/SS+최근/NNG
이혼율	이혼/NNG+율/XSN
상승과	상승/NNG+과/JC
섹스리스	섹스리스/NNG
부부의	부부/NNG+의/JKG
증가세는	증가세/NNG+는/JX
적잖은	적잖/VA+은/ETM
상관관계가	상관관계/NNG+가/JKS
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.77.8.1
부부간 섹스는 욕구 충족에만 그치는 것이 아니다.

부부간	부부간/NNG
섹스는	섹스/NNG+는/JX
욕구	욕구/NNG
충족에만	충족/NNG+에/JKB+만/JX
그치는	그치/VV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000041.77.8.2
‘나는 아직 당신을 이성으로서 매력적으로 여긴다’는 메시지를 전달하는 소통의 수단이기도 하기 때문이다.

‘나는	‘/SS+나/NP+는/JX
아직	아직/MAG
당신을	당신/NP+을/JKO
이성으로서	이성/NNG+으로서/JKB
매력적으로	매력/NNG+적/XSN+으로/JKB
여긴다’는	여기/VV+ㄴ다/EF+’/SS+는/ETM
메시지를	메시지/NNG+를/JKO
전달하는	전달/NNG+하/XSV+는/ETM
소통의	소통/NNG+의/JKG
수단이기도	수단/NNG+이/VCP+기/ETN+도/JX
하기	하/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.77.8.3
부부관계를 하나의 소통으로 보는 이유가 여기에 있다.

부부관계를	부부/NNG+관계/NNG+를/JKO
하나의	하나/NR+의/JKG
소통으로	소통/NNG+으로/JKB
보는	보/VV+는/ETM
이유가	이유/NNG+가/JKS
여기에	여기/NP+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.77.9.1
전문가들은 섹스리스 부부에게 자신들의 문제를 극복하는 첫 단계로 ‘대화’를 권한다.

전문가들은	전문가/NNG+들/XSN+은/JX
섹스리스	섹스리스/NNG
부부에게	부부/NNG+에게/JKB
자신들의	자신/NNG+들/XSN+의/JKG
문제를	문제/NNG+를/JKO
극복하는	극복/NNG+하/XSV+는/ETM
첫	첫/MMN
단계로	단계/NNG+로/JKB
‘대화’를	‘/SS+대화/NNG+’/SS+를/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.77.9.2
김재영 퍼스트비뇨기과 원장은 “하루에 단 10분이라도 부부끼리 대화를 하거나 취미활동을 같이하는 시간을 만드는 것이 중요하다”고 조언했다.

김재영	김재영/NNP
퍼스트비뇨기과	퍼스트비뇨기과/NNP
원장은	원장/NNG+은/JX
“하루에	“/SS+하루/NNG+에/JKB
단	단/MMA
10분이라도	10/SN+분/NNB+이/VCP+라도/EC
부부끼리	부부/NNG+끼리/XSN
대화를	대화/NNG+를/JKO
하거나	하/VV+거나/EC
취미활동을	취미/NNG+활동/NNG+을/JKO
같이하는	같이/MAG+하/XSV+는/ETM
시간을	시간/NNG+을/JKO
만드는	만들/VV+는/ETM
것이	것/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.77.10.1
또 전문가들은 장기간 섹스리스 상태가 계속될 경우, 특히 남성에게 신체적 이상이 없는지 점검해 볼 것을 권한다.

또	또/MAG
전문가들은	전문가/NNG+들/XSN+은/JX
장기간	장기간/NNG
섹스리스	섹스리스/NNG
상태가	상태/NNG+가/JKS
계속될	계속/NNG+되/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
특히	특히/MAG
남성에게	남성/NNG+에게/JKB
신체적	신체/NNG+적/XSN
이상이	이상/NNG+이/JKS
없는지	없/VA+는지/EC
점검해	점검/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
것을	것/NNB+을/JKO
권한다.	권/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.77.10.2
정서적 요인에 따라 성관계의 유무와 빈도가 결정되는 여성과 달리 남성은 상대적으로 육체적 욕구가 더 강하기 때문이다.

정서적	정서/NNG+적/XSN
요인에	요인/NNG+에/JKB
따라	따르/VV+아/EC
성관계의	성관계/NNG+의/JKG
유무와	유무/NNG+와/JC
빈도가	빈도/NNG+가/JKS
결정되는	결정/NNG+되/XSV+는/ETM
여성과	여성/NNG+과/JKB
달리	달리/MAG
남성은	남성/NNG+은/JX
상대적으로	상대/NNG+적/XSN+으로/JKB
육체적	육체/NNG+적/XSN
욕구가	욕구/NNG+가/JKS
더	더/MAG
강하기	강하/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.77.10.3
보통 부부가 3개월 이상 잠자리를 갖지 않았다면 남편에게 호르몬 이상에 따른 발기부전 등 치료가 필요한 문제가 있는지 알아보는 게 좋다.

보통	보통/MAG
부부가	부부/NNG+가/JKS
3개월	3/SN+개월/NNB
이상	이상/NNG
잠자리를	잠자리/NNG+를/JKO
갖지	갖/VV+지/EC
않았다면	않/VX+았/EP+다면/EC
남편에게	남편/NNG+에게/JKB
호르몬	호르몬/NNG
이상에	이상/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
발기부전	발기/NNG+부전/NNG
등	등/NNB
치료가	치료/NNG+가/JKS
