# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.321
metadata : {}


# id : NWRW1800000025.321.1.1
원화, G20 통화중 두번째로 저평가

원화,	원화/NNG+,/SP
G20	G/SL+20/SN
통화중	통화/NNG+중/NNB
두번째로	두/MMN+번/NNB+째/XSN+로/JKB
저평가	저/XPN+평가/NNG


# id : NWRW1800000025.321.2.1
실질실효환율로 봤을 때 한국의 원화 가치가 주요 20개국(G20) 가운데 두 번째로 저평가된 것으로 나타났다.

실질실효환율로	실질/NNG+실효/NNG+환율/NNG+로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
한국의	한국/NNP+의/JKG
원화	원화/NNG
가치가	가치/NNG+가/JKS
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
가운데	가운데/NNG
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
저평가된	저/XPN+평가/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.321.2.2
세계적으로 환율 갈등이 고조되는 상황에서 원화 가치를 절상하라는 압력 요인으로 작용할 수 있어 외환당국과 기업들의 대비가 필요한 것으로 보인다.

세계적으로	세계/NNG+적/XSN+으로/JKB
환율	환율/NNG
갈등이	갈등/NNG+이/JKS
고조되는	고조/NNG+되/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
원화	원화/NNG
가치를	가치/NNG+를/JKO
절상하라는	절상/NNG+하/XSV+라는/ETM
압력	압력/NNG
요인으로	요인/NNG+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
외환당국과	외환/NNG+당국/NNG+과/JC
기업들의	기업/NNG+들/XSN+의/JKG
대비가	대비/NNG+가/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.321.3.1
9일 한국은행에 따르면 G20 회원국의 국제결제은행(BIS) 실질실효환율을 비교한 결과 원화는 9월 현재 81.67로 기준치 100보다 18.33 낮았다.

9일	9/SN+일/NNB
한국은행에	한국은행/NNP+에/JKB
따르면	따르/VV+면/EC
G20	G/SL+20/SN
회원국의	회원국/NNG+의/JKG
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
실질실효환율을	실질/NNG+실효/NNG+환율/NNG+을/JKO
비교한	비교/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
원화는	원화/NNG+는/JX
9월	9/SN+월/NNB
현재	현재/MAG
81.67로	81/SN+./SP+67/SN+로/JKB
기준치	기준/NNG+치/XSN
100보다	100/SN+보다/JKB
18.33	18/SN+./SP+33/SN
낮았다.	낮/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.321.3.2
2005년을 기준으로 삼은 BIS 실질실효환율은 각국의 물가수준을 고려한 장기 균형 환율이다.

2005년을	2005/SN+년/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
삼은	삼/VV+은/ETM
BIS	BIS/SL
실질실효환율은	실질/NNG+실효/NNG+환율/NNG+은/JX
각국의	각국/NNG+의/JKG
물가수준을	물가/NNG+수준/NNG+을/JKO
