# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.279
metadata : {}


# id : NWRW1800000028.279.1.1
“윤리지원관실 폐지 건의 /이 대통령이 수용 안해”

“윤리지원관실	“/SS+윤리/NNG+지원관실/NNG
폐지	폐지/NNG
건의	건의/NNG
/이	//SP+이/NNP
대통령이	대통령/NNG+이/JKS
수용	수용/NNG
안해”	안/MAG+하/VV+아/EF+”/SS


# id : NWRW1800000028.279.2.1
정운찬 국무총리가 민간인 사찰 파문을 일으킨 총리실 산하 공직윤리지원관실의 폐지를 이명박 대통령에게 건의했으나 받아들여지지 않은 사실이 9일 공개됐다.

정운찬	정운찬/NNP
국무총리가	국무총리/NNG+가/JKS
민간인	민간인/NNG
사찰	사찰/NNG
파문을	파문/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
총리실	총리실/NNG
산하	산하/NNG
공직윤리지원관실의	공직/NNG+윤리/NNG+지원관실/NNG+의/JKG
폐지를	폐지/NNG+를/JKO
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
건의했으나	건의/NNG+하/XSV+았/EP+으나/EC
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않은	않/VX+은/ETM
사실이	사실/NNG+이/JKS
9일	9/SN+일/NNB
공개됐다.	공개/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.279.3.1
정 총리는 11일 이임에 앞서 이날 공관에서 출입기자들과 함께 한 고별 오찬에서 “총리로서 제일 아쉬운 점이 민간인 사찰”이라며 이런 사실을 밝혔다.

정	정/NNP
총리는	총리/NNG+는/JX
11일	11/SN+일/NNB
이임에	이임/NNG+에/JKB
앞서	앞서/VV+어/EC
이날	이날/NNG
공관에서	공관/NNG+에서/JKB
출입기자들과	출입/NNG+기자/NNG+들/XSN+과/JKB
함께	함께/MAG
한	하/VV+ㄴ/ETM
고별	고별/NNG
오찬에서	오찬/NNG+에서/JKB
“총리로서	“/SS+총리/NNG+로서/JKB
제일	제일/MAG
아쉬운	아쉽/VA+ㄴ/ETM
점이	점/NNG+이/JKS
민간인	민간인/NNG
사찰”이라며	사찰/NNG+”/SS+이/VCP+라며/EC
이런	이런/MMD
사실을	사실/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.279.3.2
그는 “민간인 사찰은 민주주의의 후퇴이며 ‘3공으로의 회귀’라고 말할 수 있을 정도의 (잘못된) 일”이라며 “이 때문에 대통령께 ‘지원관실을 없애야 한다’고 했지만, ‘잘 고쳐보라’고 해 따라야 했다”고 말했다.

그는	그/NP+는/JX
“민간인	“/SS+민간인/NNG
사찰은	사찰/NNG+은/JX
민주주의의	민주주의/NNG+의/JKG
후퇴이며	후퇴/NNG+이/VCP+며/EC
‘3공으로의	‘/SS+3/SN+공/NNG+으로/JKB+의/JKG
회귀’라고	회귀/NNG+’/SS+라고/JKQ
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
정도의	정도/NNG+의/JKG
(잘못된)	(/SS+잘못/MAG+되/XSV+ㄴ/ETM+)/SS
일”이라며	일/NNG+”/SS+이/VCP+라며/EC
“이	“/SS+이/MMD
때문에	때문/NNB+에/JKB
대통령께	대통령/NNG+께/JKB
