# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.352
metadata : {}


# id : NWRW1800000041.352.1.1
野토론회 간 강원택 교수 “親盧, 기득권 집단 전락”

野토론회	野/SH+토론회/NNG
간	가/VV+ㄴ/ETM
강원택	강원택/NNP
교수	교수/NNG
“親盧,	“/SS+親盧/SH+,/SP
기득권	기득/NNG+권/XSN
집단	집단/NNG
전락”	전락/NNG+”/SS


# id : NWRW1800000041.352.2.1
盧 前대통령 기념 학술심포지엄서 ‘대리기사 폭행’ 연루 김현 예로 들어 문재인 “우린 기반없는 불임정당… 강교수의 지적에 다 동의한다”

盧	盧/SH
前대통령	前/SH+대통령/NNG
기념	기념/NNG
학술심포지엄서	학술/NNG+심포지엄/NNG+서/JKB
‘대리기사	‘/SS+대리/NNG+기사/NNG
폭행’	폭행/NNG+’/SS
연루	연루/NNG
김현	김현/NNP
예로	예/NNG+로/JKB
들어	들/VV+어/EC
문재인	문재인/NNP
“우린	“/SS+우리/NP+ㄴ/JX
기반없는	기반/NNG+없/VA+는/ETM
불임정당…	불임/NNG+정당/NNG+…/SE
강교수의	강/NNP+교수/NNG+의/JKG
지적에	지적/NNG+에/JKB
다	다/MAG
동의한다”	동의/NNG+하/XSV+ㄴ다/EF+”/SS


# id : NWRW1800000041.352.3.1
새정치민주연합 친노(친노무현) 좌장인 문재인 의원은 25일 “새정치연합은 아래로는 풀뿌리 대중기반이 없는 불임(不姙) 정당이고, 위로는 정치 자영업자들의 담합(談合) 정당”이라고 비판했다.

새정치민주연합	새정치민주연합/NNP
친노(친노무현)	친/XPN+노/NNP+(/SS+친/XPN+노무현/NNP+)/SS
좌장인	좌장/NNG+이/VCP+ㄴ/ETM
문재인	문재인/NNP
의원은	의원/NNG+은/JX
25일	25/SN+일/NNB
“새정치연합은	“/SS+새정치연합/NNP+은/JX
아래로는	아래/NNG+로/JKB+는/JX
풀뿌리	풀뿌리/NNG
대중기반이	대중/NNG+기반/NNG+이/JKS
없는	없/VA+는/ETM
불임(不姙)	불임/NNG+(/SS+不姙/SH+)/SS
정당이고,	정당/NNG+이/VCP+고/EC+,/SP
위로는	위/NNG+로/JKB+는/JX
정치	정치/NNG
자영업자들의	자영업자/NNG+들/XSN+의/JKG
담합(談合)	담합/NNG+(/SS+談合/SH+)/SS
정당”이라고	정당/NNG+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.352.4.1
문 의원은 이날 국회도서관에서 열린 노무현 전 대통령 기념 학술 심포지엄에서 이같이 말한 뒤 “일반 시민과 비당원 지지자들이 참여할 수 없는 폐쇄된 정당구조에서 벗어나야 한다”라고 주장했다.

문	문/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
국회도서관에서	국회도서관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
노무현	노무현/NNP
전	전/MMD
대통령	대통령/NNG
기념	기념/NNG
학술	학술/NNG
심포지엄에서	심포지엄/NNG+에서/JKB
이같이	이같이/MAG
말한	말/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
“일반	“/SS+일반/NNG
시민과	시민/NNG+과/JC
비당원	비/XPN+당원/NNG
지지자들이	지지자/NNG+들/XSN+이/JKS
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
폐쇄된	폐쇄/NNG+되/XSV+ㄴ/ETM
정당구조에서	정당/NNG+구조/NNG+에서/JKB
벗어나야	벗어나/VV+아야/EC
한다”라고	하/VX+ㄴ다/EF+”/SS+라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.352.4.2
이어 “시민참여 정당으로의 전환은 우리 당의 오랜 숙제”라고 강조했다.

이어	이어/MAG
“시민참여	“/SS+시민/NNG+참여/NNG
정당으로의	정당/NNG+으로/JKB+의/JKG
전환은	전환/NNG+은/JX
우리	우리/NP
당의	당/NNG+의/JKG
오랜	오랜/MMA
숙제”라고	숙제/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.352.5.1
이 발언은 전당대회를 앞두고 문 의원과 이해찬 의원 등 친노 진영에서 시민 네트워크 정당론, 모바일 투표 재도입론이 흘러나오고 있는 것과 맞물려 있다는 관측이 나온다.

이	이/MMD
발언은	발언/NNG+은/JX
