# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.390
metadata : {}


# id : NWRW1800000049.390.1.1
[단독]돈으로는 치유 못할 상처… 위안부 피해자 10명중 7명 “우울-불안”

[단독]돈으로는	[/SS+단독/NNG+]/SS+돈/NNG+으로/JKB+는/JX
치유	치유/NNG
못할	못/MAG+하/VV+ㄹ/ETM
상처…	상처/NNG+…/SE
위안부	위안부/NNG
피해자	피해자/NNG
10명중	10/SN+명/NNB+중/NNB
7명	7/SN+명/NNB
“우울-불안”	“/SS+우울/NNG+-/SO+불안/NNG+”/SS


# id : NWRW1800000049.390.2.1
한일 위안부 합의 1년… 정부, 피해자 전수조사

한일	한일/NNP
위안부	위안부/NNG
합의	합의/NNG
1년…	1/SN+년/NNB+…/SE
정부,	정부/NNG+,/SP
피해자	피해자/NNG
전수조사	전수/NNG+조사/NNG


# id : NWRW1800000049.390.3.1
한일 위안부 합의가 28일로 꼭 1년을 맞이하지만 피해 할머니들은 10명 중 7명꼴로 심각한 불안과 우울감에 시달리는 것으로 확인됐다.

한일	한일/NNP
위안부	위안부/NNG
합의가	합의/NNG+가/JKS
28일로	28/SN+일/NNB+로/JKB
꼭	꼭/MAG
1년을	1/SN+년/NNB+을/JKO
맞이하지만	맞이하/VV+지만/EC
피해	피해/NNG
할머니들은	할머니/NNG+들/XSN+은/JX
10명	10/SN+명/NNB
중	중/NNB
7명꼴로	7/SN+명/NNB+꼴/XSN+로/JKB
심각한	심각하/VA+ㄴ/ETM
불안과	불안/NNG+과/JC
우울감에	우울감/NNG+에/JKB
시달리는	시달리/VV+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.390.3.2
적지 않은 할머니는 합의에 반발해 일본 정부가 출연한 현금의 수령을 완강히 거부하고 있어 갈등의 골이 좁혀지지 않는 모양새다.

적지	적/VA+지/EC
않은	않/VX+은/ETM
할머니는	할머니/NNG+는/JX
합의에	합의/NNG+에/JKB
반발해	반발/NNG+하/XSV+아/EC
일본	일본/NNP
정부가	정부/NNG+가/JKS
출연한	출연/NNG+하/XSV+ㄴ/ETM
현금의	현금/NNG+의/JKG
수령을	수령/NNG+을/JKO
완강히	완강히/MAG
거부하고	거부/NNG+하/XSV+고/EC
있어	있/VX+어/EC
갈등의	갈등/NNG+의/JKG
골이	골/NNG+이/JKS
좁혀지지	좁히/VV+어/EC+지/VX+지/EC
않는	않/VX+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.390.4.1
○ 생존자 38명 중 26명 ‘우울-불안’

○	○/SW
생존자	생존자/NNG
38명	38/SN+명/NNB
중	중/NNB
26명	26/SN+명/NNB
‘우울-불안’	‘/SS+우울/NNG+-/SO+불안/NNG+’/SS


# id : NWRW1800000049.390.5.1
한국여성정책연구원이 올해 10월 정부에 등록된 일본군 위안부 할머니 239명 중 국내 생존자 38명(국외 거주 2명 제외)을 전수 조사해 작성한 ‘일본군 위안부 피해자 생활실태 조사’ 보고서에 따르면 “불안과 우울감 탓에 생활에 지장이 있다”라는 응답이 전년 65.1%에서 68.4%로 늘어났다.

한국여성정책연구원이	한국여성정책연구원/NNP+이/JKS
올해	올해/NNG
10월	10/SN+월/NNB
정부에	정부/NNG+에/JKB
등록된	등록/NNG+되/XSV+ㄴ/ETM
일본군	일본군/NNG
위안부	위안부/NNG
할머니	할머니/NNG
239명	239/SN+명/NNB
중	중/NNB
국내	국내/NNG
생존자	생존자/NNG
38명(국외	38/SN+명/NNB+(/SS+국외/NNG
거주	거주/NNG
2명	2/SN+명/NNB
제외)을	제외/NNG+)/SS+을/JKO
전수	전수/NNG
조사해	조사/NNG+하/XSV+아/EC
작성한	작성/NNG+하/XSV+ㄴ/ETM
‘일본군	‘/SS+일본군/NNG
피해자	피해자/NNG
생활실태	생활/NNG+실태/NNG
조사’	조사/NNG+’/SS
보고서에	보고서/NNG+에/JKB
따르면	따르/VV+면/EC
“불안과	“/SS+불안/NNG+과/JC
우울감	우울감/NNG
탓에	탓/NNG+에/JKB
생활에	생활/NNG+에/JKB
지장이	지장/NNG+이/JKS
있다”라는	있/VA+다/EF+”/SS+이/VCP+라는/ETM
응답이	응답/NNG+이/JKS
전년	전년/NNG
65.1%에서	65/SN+./SP+1/SN+%/SW+에서/JKB
68.4%로	68/SN+./SP+4/SN+%/SW+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.390.5.2
위안부 실태조사는 2010년부터 시행됐지만 12·28 합의 이후 생존 피해자 전체를 대상으로 조사가 진행된 건 이번이 처음이다.

위안부	위안부/NNG
실태조사는	실태/NNG+조사/NNG+는/JX
2010년부터	2010/SN+년/NNB+부터/JX
시행됐지만	시행/NNG+되/XSV+었/EP+지만/EC
12·28	12/SN+·/SP+28/SN
합의	합의/NNG
이후	이후/NNG
생존	생존/NNG
피해자	피해자/NNG
전체를	전체/NNG+를/JKO
대상으로	대상/NNG+으로/JKB
조사가	조사/NNG+가/JKS
진행된	진행/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.390.6.1
피해자 중엔 정신건강의학과에서 우울증과 불안장애를 새로 진단받은 사례도 있었다.

피해자	피해자/NNG
중엔	중/NNB+에/JKB+ㄴ/JX
정신건강의학과에서	정신/NNG+건강/NNG+의학과/NNG+에서/JKB
우울증과	우울증/NNG+과/JC
불안장애를	불안/NNG+장애/NNG+를/JKO
새로	새로/MAG
진단받은	진단/NNG+받/XSV+은/ETM
사례도	사례/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000049.390.6.2
일본 정부가 한일 합의를 통해 아베 신조(安倍晋三) 총리 명의로 피해자들에 대한 사죄와 반성의 뜻을 표명했지만, 대다수의 할머니는 여전히 수십 년 전의 피해를 괴로워하며 후유증을 호소한다는 뜻이다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
한일	한일/NNP
합의를	합의/NNG+를/JKO
통해	통하/VV+아/EC
아베	아베/NNP
신조(安倍晋三)	신조/NNP+(/SS+安倍晋三/SH+)/SS
총리	총리/NNG
명의로	명의/NNG+로/JKB
피해자들에	피해자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
사죄와	사죄/NNG+와/JC
반성의	반성/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표명했지만,	표명/NNG+하/XSV+았/EP+지만/EC+,/SP
대다수의	대/XPN+다수/NNG+의/JKG
할머니는	할머니/NNG+는/JX
여전히	여전히/MAG
수십	수십/NR
년	년/NNB
전의	전/NNG+의/JKG
피해를	피해/NNG+를/JKO
괴로워하며	괴로워하/VV+며/EC
후유증을	후유증/NNG+을/JKO
호소한다는	호소/NNG+하/XSV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.390.6.3
한 간병인은 “지금도 할머니는 ‘나는 태어나지 말았어야 한다’며 괴로워한다”고 전했다.

한	한/MMN
간병인은	간병인/NNG+은/JX
“지금도	“/SS+지금/NNG+도/JX
할머니는	할머니/NNG+는/JX
‘나는	‘/SS+나/NP+는/JX
태어나지	태어나/VV+지/EC
말았어야	말/VX+았/EP+어야/EC
한다’며	하/VX+ㄴ다/EF+’/SS+며/EC
괴로워한다”고	괴로워하/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


