# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.98
metadata : {}


# id : NWRW1800000041.98.1.1
[KCSI 우수 기업]통신 패러다임 바꾼 고객 맞춤형 서비스… 최상의 품질을 경험하라

[KCSI	[/SS+KCSI/SL
우수	우수/NNG
기업]통신	기업/NNG+]/SS+통신/NNG
패러다임	패러다임/NNG
바꾼	바꾸/VV+ㄴ/ETM
고객	고객/NNG
맞춤형	맞춤/NNG+형/XSN
서비스…	서비스/NNG+…/SE
최상의	최상/NNG+의/JKG
품질을	품질/NNG+을/JKO
경험하라	경험/NNG+하/XSV+라/EF


# id : NWRW1800000041.98.2.1
시내·시외전화 부문-16회 1위… 초고속 인터넷 부문-11회 1위

시내·시외전화	시내/NNG+·/SP+시외/NNG+전화/NNG
부문-16회	부문/NNG+-/SO+16/SN+회/NNB
1위…	1/SN+위/NNB+…/SE
초고속	초/XPN+고속/NNG
인터넷	인터넷/NNG
부문-11회	부문/NNG+-/SO+11/SN+회/NNB
1위	1/SN+위/NNB


# id : NWRW1800000041.98.3.1
KT는 ‘고객 최우선 경영’을 선언하고 경영진부터 현장 직원까지 ‘Single KT’로 힘을 합쳐 고객 만족을 위해 노력해 왔으며 이를 통해 ‘광대역 LTE-A’, ‘기가 인터넷’, ‘기가 WiFi’ 등 기가 시대를 선도하는 차세대 고품질 네트워크와 ‘스마트렌탈’, ‘올레SOHO성공팩’, ‘전무후무 멤버십’ 등 차별화된 서비스를 고객에게 제공해왔다.

KT는	KT/SL+는/JX
‘고객	‘/SS+고객/NNG
최우선	최/XPN+우선/NNG
경영’을	경영/NNG+’/SS+을/JKO
선언하고	선언/NNG+하/XSV+고/EC
경영진부터	경영진/NNG+부터/JX
현장	현장/NNG
직원까지	직원/NNG+까지/JX
‘Single	‘/SS+Single/SL
KT’로	KT/SL+’/SS+로/JKB
힘을	힘/NNG+을/JKO
합쳐	합치/VV+어/EC
고객	고객/NNG
만족을	만족/NNG+을/JKO
위해	위하/VV+아/EC
노력해	노력/NNG+하/XSV+아/EC
왔으며	오/VX+았/EP+으며/EC
이를	이/NP+를/JKO
통해	통하/VV+아/EC
‘광대역	‘/SS+광대역/NNG
