# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.87
metadata : {}


# id : NWRW1800000036.87.1.1
“긴축목표 달성 2년 유예”…그리스, 재협상 돌입

“긴축목표	“/SS+긴축/NNG+목표/NNG
달성	달성/NNG
2년	2/SN+년/NNB
유예”…그리스,	유예/NNG+”/SS+…/SE+그리스/NNP+,/SP
재협상	재/XPN+협상/NNG
돌입	돌입/NNG


# id : NWRW1800000036.87.2.1
[한겨레] 새 연정, EU 등과 ‘긴축안’ 충돌 우려

[한겨레]	[/SS+한겨레/NNP+]/SS
새	새/MMA
연정,	연정/NNG+,/SP
EU	EU/SL
등과	등/NNB+과/JKB
‘긴축안’	‘/SS+긴축안/NNG+’/SS
충돌	충돌/NNG
우려	우려/NNG


# id : NWRW1800000036.87.3.1
그리스의 새 연립정부가 구제금융 핵심조건인 긴축정책을 사실상 완화하는 방안을 제시해, 유럽연합과의 충돌이 예상된다.

그리스의	그리스/NNP+의/JKG
새	새/MMA
연립정부가	연립/NNG+정부/NNG+가/JKS
구제금융	구제/NNG+금융/NNG
핵심조건인	핵심/NNG+조건/NNG+이/VCP+ㄴ/ETM
긴축정책을	긴축/NNG+정책/NNG+을/JKO
사실상	사실/NNG+상/XSN
완화하는	완화/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
제시해,	제시/NNG+하/XSV+아/EC+,/SP
유럽연합과의	유럽연합/NNP+과/JKB+의/JKG
충돌이	충돌/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.87.3.2
유럽연합 등 국제채권단은 25일부터 그리스 현지에서 구제금융 조건 재협상에 들어간다.

유럽연합	유럽연합/NNP
등	등/NNB
국제채권단은	국제/NNG+채권단/NNG+은/JX
25일부터	25/SN+일/NNB+부터/JX
그리스	그리스/NNP
현지에서	현지/NNG+에서/JKB
구제금융	구제/NNG+금융/NNG
조건	조건/NNG
재협상에	재/XPN+협상/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.87.4.1
신민당·사회당·민주좌파당으로 구성된 그리스 연정은 지난 23일 재정적자를 감축하는 목표 시한을 최소한 2년 늘린 2016년으로 연장하는 방안 등을 포함한 정책성명을 발표했다.

신민당·사회당·민주좌파당으로	신민당/NNP+·/SP+사회당/NNP+·/SP+민주좌파당/NNP+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
그리스	그리스/NNP
연정은	연정/NNG+은/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
재정적자를	재정/NNG+적자/NNG+를/JKO
감축하는	감축/NNG+하/XSV+는/ETM
목표	목표/NNG
시한을	시한/NNG+을/JKO
최소한	최소한/NNG
2년	2/SN+년/NNB
늘린	늘리/VV+ㄴ/ETM
2016년으로	2016/SN+년/NNB+으로/JKB
연장하는	연장/NNG+하/XSV+는/ETM
방안	방안/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
정책성명을	정책/NNG+성명/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.87.5.1
이 성명은 “재정 조정 목표 기간을 최소한 2년 연장해” 더 이상의 임금과 연금 삭감없이 재정목표치를 달성하는 조항을 포함하고 있다.

이	이/MMD
성명은	성명/NNG+은/JX
“재정	“/SS+재정/NNG
조정	조정/NNG
목표	목표/NNG
기간을	기간/NNG+을/JKO
최소한	최소한/NNG
2년	2/SN+년/NNB
연장해”	연장/NNG+하/XSV+아/EC+”/SS
더	더/MAG
이상의	이상/NNG+의/JKG
임금과	임금/NNG+과/JC
연금	연금/NNG
삭감없이	삭감/NNG+없이/MAG
재정목표치를	재정/NNG+목표/NNG+치/XSN+를/JKO
달성하는	달성/NNG+하/XSV+는/ETM
조항을	조항/NNG+을/JKO
포함하고	포함/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.87.5.2
이는 그리스에게 구제금융을 제공하는 대가로 그리스 정부가 국제채권단에게 동의했던 정부의 지출삭감 등 긴축을 사실상 완화하는 내용이다.

이는	이/NP+는/JX
그리스에게	그리스/NNP+에게/JKB
구제금융을	구제/NNG+금융/NNG+을/JKO
제공하는	제공/NNG+하/XSV+는/ETM
대가로	대가/NNG+로/JKB
그리스	그리스/NNP
정부가	정부/NNG+가/JKS
국제채권단에게	국제/NNG+채권단/NNG+에게/JKB
동의했던	동의/NNG+하/XSV+았/EP+던/ETM
정부의	정부/NNG+의/JKG
지출삭감	지출/NNG+삭감/NNG
등	등/NNB
긴축을	긴축/NNG+을/JKO
사실상	사실/NNG+상/XSN
