# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.59
metadata : {}


# id : NWRW1800000028.59.1.1
도요타 사장 ‘변덕’ “미 청문회 가겠다”

도요타	도요타/NNP
사장	사장/NNG
‘변덕’	‘/SS+변덕/NNG+’/SS
“미	“/SS+미/NNP
청문회	청문회/NNG
가겠다”	가/VV+겠/EP+다/EF+”/SS


# id : NWRW1800000028.59.2.1
도요다 아키오 일본 도요타자동차 사장이 결국 미국 의회 청문회에 직접 출석하기로 했다.

도요다	도요다/NNP
아키오	아키오/NNP
일본	일본/NNP
도요타자동차	도요타자동차/NNP
사장이	사장/NNG+이/JKS
결국	결국/MAG
미국	미국/NNP
의회	의회/NNG
청문회에	청문회/NNG+에/JKB
직접	직접/MAG
출석하기로	출석/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.59.2.2
출석하지 않겠다고 밝혔다가 미국 내 여론의 거센 역풍에 직면하자 이에 굴복한 것이다.

출석하지	출석/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
밝혔다가	밝히/VV+었/EP+다가/EC
미국	미국/NNP
내	내/NNB
여론의	여론/NNG+의/JKG
거센	거세/VA+ㄴ/ETM
역풍에	역풍/NNG+에/JKB
직면하자	직면/NNG+하/XSV+자/EC
이에	이/NP+에/JKB
굴복한	굴복/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.59.3.1
도요다 사장은 19일 나고야시에서 기자들과 만나 “청문회에서 성심성의껏 설명하고 싶다”고 밝혔다고 일본 언론들이 일제히 전했다.

도요다	도요다/NNP
사장은	사장/NNG+은/JX
19일	19/SN+일/NNB
나고야시에서	나고야시/NNP+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“청문회에서	“/SS+청문회/NNG+에서/JKB
성심성의껏	성심성의껏/MAG
설명하고	설명/NNG+하/XSV+고/EC
