# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.149
metadata : {}


# id : NWRW1800000041.149.1.1
[책의 향기/글로벌 북 카페]“9 to 5 근무시간 고집한다면 당신의 회사엔 미래가 없다”

[책의	[/SS+책/NNG+의/JKG
향기/글로벌	향기/NNG+//SP+글로벌/NNG
북	북/NNG
카페]“9	카페/NNG+]/SS+“/SS+9/SN
to	to/SL
5	5/SN
근무시간	근무/NNG+시간/NNG
고집한다면	고집/NNG+하/XSV+ㄴ다면/EC
당신의	당신/NP+의/JKG
회사엔	회사/NNG+에/JKB+ㄴ/JX
미래가	미래/NNG+가/JKS
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000041.149.2.1
컨설팅 전문가 모건의 ‘일의 미래’

컨설팅	컨설팅/NNG
전문가	전문가/NNG
모건의	모건/NNP+의/JKG
‘일의	‘/SS+일/NNG+의/JKG
미래’	미래/NNG+’/SS


# id : NWRW1800000041.149.3.1
협업 컨설팅 전문가 제이컵 모건의 신간 ‘The Future of Work(일의 미래·사진)’는 술술 읽힌다.

협업	협업/NNG
컨설팅	컨설팅/NNG
전문가	전문가/NNG
제이컵	제이컵/NNP
모건의	모건/NNP+의/JKG
신간	신간/NNG
‘The	‘/SS+The/SL
Future	Future/SL
of	of/SL
Work(일의	Work/SL+(/SS+일/NNG+의/JKG
미래·사진)’는	미래/NNG+·/SP+사진/NNG+)/SS+’/SS+는/JX
술술	술술/MAG
읽힌다.	읽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.149.3.2
주요 내용마다 ‘첫째, 둘째, 셋째’ 하며 번호를 매겼고 그 내용을 요약 정리한 표나 그래픽을 적절히 배치했기 때문이다.

주요	주요/NNG
내용마다	내용/NNG+마다/JX
‘첫째,	‘/SS+첫째/NR+,/SP
둘째,	둘째/NR+,/SP
셋째’	셋째/NR+’/SS
하며	하/VV+며/EC
번호를	번호/NNG+를/JKO
매겼고	매기/VV+었/EP+고/EC
그	그/MMD
내용을	내용/NNG+을/JKO
요약	요약/NNG
정리한	정리/NNG+하/XSV+ㄴ/ETM
표나	표/NNG+나/JC
그래픽을	그래픽/NNG+을/JKO
적절히	적절히/MAG
배치했기	배치/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.149.3.3
다만 ‘워크(work)’를 우리말로 어떻게 옮기는 게 가장 좋을까 하는 고민은 마지막 책장을 닫을 때까지 해결되지 않았다.

다만	다만/MAG
‘워크(work)’를	‘/SS+워크/NNG+(/SS+work/SL+)/SS+’/SS+를/JKO
우리말로	우리말/NNG+로/JKB
어떻게	어떻/VA+게/EC
옮기는	옮기/VV+는/ETM
게	거/NNB+이/JKS
가장	가장/MAG
좋을까	좋/VA+을까/EC
하는	하/VV+는/ETM
고민은	고민/NNG+은/JX
마지막	마지막/NNG
책장을	책장/NNG+을/JKO
닫을	닫/VV+을/ETM
때까지	때/NNG+까지/JX
해결되지	해결/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.149.3.4
일, 직업, 직장, 근무, 근로 등이 떠올랐지만 한 단어를 꼭 집어내기가 쉽지 않다.

일,	일/NNG+,/SP
직업,	직업/NNG+,/SP
직장,	직장/NNG+,/SP
근무,	근무/NNG+,/SP
근로	근로/NNG
등이	등/NNB+이/JKS
떠올랐지만	떠오르/VV+았/EP+지만/EC
한	한/MMN
단어를	단어/NNG+를/JKO
꼭	꼭/MAG
집어내기가	집어내/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000041.149.4.1
모건의 결론은 명료하다.

모건의	모건/NNP+의/JKG
결론은	결론/NNG+은/JX
명료하다.	명료하/VA+다/EF+./SF


# id : NWRW1800000041.149.4.2
‘직장 환경, 근무 환경이 급변하고 있다.

‘직장	‘/SS+직장/NNG
환경,	환경/NNG+,/SP
근무	근무/NNG
환경이	환경/NNG+이/JKS
급변하고	급변/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.149.4.3
그 변화의 원인을 이해하고 발 빠르게 대처하지 않으면 당신 회사는 사라져 버릴지 모른다.’

그	그/MMD
변화의	변화/NNG+의/JKG
원인을	원인/NNG+을/JKO
이해하고	이해/NNG+하/XSV+고/EC
발	발/NNG
빠르게	빠르/VA+게/EC
대처하지	대처/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
당신	당신/NP
회사는	회사/NNG+는/JX
사라져	사라지/VV+어/EC
버릴지	버리/VX+ㄹ지/EC
모른다.’	모르/VV+ㄴ다/EF+./SF+’/SS


# id : NWRW1800000041.149.5.1
그 5대 원인으로 △소셜미디어 등이 형성한 새로운 행동 양태 △클라우드 협업, 빅 데이터 같은 정보기술(IT) △X세대 다음 세대인 밀레니엄 세대의 사회 진출 △언제 어디서나 어떤 기기로도 일할 수 있는 이동성(mobility)의 강화 △경계 없는 글로벌화 등을 꼽았다.

그	그/MMD
5대	5/SN+대/NNG
원인으로	원인/NNG+으로/JKB
△소셜미디어	△/SW+소셜/NNG+미디어/NNG
등이	등/NNB+이/JKS
형성한	형성/NNG+하/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
행동	행동/NNG
양태	양태/NNG
△클라우드	△/SW+클라우드/NNG
협업,	협업/NNG+,/SP
빅	빅/NNG
데이터	데이터/NNG
같은	같/VA+은/ETM
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
△X세대	△/SW+X/SL+세대/NNG
다음	다음/NNG
세대인	세대/NNG+이/VCP+ㄴ/ETM
밀레니엄	밀레니엄/NNG
세대의	세대/NNG+의/JKG
사회	사회/NNG
진출	진출/NNG
△언제	△/SW+언제/MAG
어디서나	어디/NP+서/JKB+나/JX
어떤	어떤/MMD
기기로도	기기/NNG+로/JKB+도/JX
일할	일/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
이동성(mobility)의	이동/NNG+성/XSN+(/SS+mobility/SL+)/SS+의/JKG
강화	강화/NNG
△경계	△/SW+경계/NNG
없는	없/VA+는/ETM
글로벌화	글로벌/NNG+화/XSN
등을	등/NNB+을/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.149.6.1
‘다 아는 얘기’ 같은데 저자는 한두 발 더 깊게 들어갔다.

‘다	‘/SS+다/MAG
아는	알/VV+는/ETM
얘기’	얘기/NNG+’/SS
같은데	같/VA+은데/EC
저자는	저자/NNG+는/JX
한두	한두/MMN
발	발/NNG
더	더/MAG
깊게	깊/VA+게/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.149.6.2
특히 새로운 세대, 즉 ‘미래 근로자’의 특징을 상세히 설명했다.

특히	특히/MAG
새로운	새롭/VA+ㄴ/ETM
세대,	세대/NNG+,/SP
즉	즉/MAG
‘미래	‘/SS+미래/NNG
근로자’의	근로자/NNG+’/SS+의/JKG
특징을	특징/NNG+을/JKO
상세히	상세히/MAG
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.149.6.3
세대 분류부터 구체적으로 했다.

세대	세대/NNG
분류부터	분류/NNG+부터/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.149.6.4
1946년 이전 출생자는 ‘기성(전통) 세대’, 1946∼1964년생은 베이비붐 세대, 1965∼1976년생은 X세대, 1977∼1997년생은 밀레니엄 세대, 1998년 이후는 Z세대.

1946년	1946/SN+년/NNB
이전	이전/NNG
출생자는	출생자/NNG+는/JX
‘기성(전통)	‘/SS+기성/NNG+(/SS+전통/NNG+)/SS
세대’,	세대/NNG+’/SS+,/SP
1946∼1964년생은	1946/SN+∼/SO+1964/SN+년/NNB+생/XSN+은/JX
베이비붐	베이비붐/NNG
세대,	세대/NNG+,/SP
1965∼1976년생은	1965/SN+∼/SO+1976/SN+년/NNB+생/XSN+은/JX
X세대,	X/SL+세대/NNG+,/SP
1977∼1997년생은	1977/SN+∼/SO+1997/SN+년/NNB+생/XSN+은/JX
밀레니엄	밀레니엄/NNG
1998년	1998/SN+년/NNB
이후는	이후/NNG+는/JX
Z세대.	Z/SL+세대/NNG+./SF


# id : NWRW1800000041.149.6.5
저자는 “2020년경에는 밀레니엄 세대가 미국 노동력의 절반을 넘고, 2025년경에는 70∼75%에 이를 것”이라고 전망했다.

저자는	저자/NNG+는/JX
“2020년경에는	“/SS+2020/SN+년/NNB+경/XSN+에/JKB+는/JX
밀레니엄	밀레니엄/NNG
세대가	세대/NNG+가/JKS
미국	미국/NNP
노동력의	노동력/NNG+의/JKG
절반을	절반/NNG+을/JKO
넘고,	넘/VV+고/EC+,/SP
2025년경에는	2025/SN+년/NNB+경/XSN+에/JKB+는/JX
70∼75%에	70/SN+∼/SO+75/SN+%/SW+에/JKB
이를	이르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
