# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.236
metadata : {}


# id : NWRW1800000033.236.1.1
서울-전북 무공해 vs 닥공

서울-전북	서울/NNP+-/SO+전북/NNP
무공해	무/XPN+공해/NNG
vs	vs/SL
닥공	닥공/NNG


# id : NWRW1800000033.236.2.1
공격축구 서울-전북, 스플릿 라운드 첫경기서 나란히 이기며 선두다툼

공격축구	공격/NNG+축구/NNG
서울-전북,	서울/NNP+-/SO+전북/NNP+,/SP
스플릿	스플릿/NNG
라운드	라운드/NNG
첫경기서	첫/MMN+경기/NNG+서/JKB
나란히	나란히/MAG
이기며	이기/VV+며/EC
선두다툼	선두/NNG+다툼/NNG


# id : NWRW1800000033.236.3.1
순위가 다섯 계단 밑인 팀을 상대로 거둔 것이지만 의미 있는 승리였다.

순위가	순위/NNG+가/JKS
다섯	다섯/NR
계단	계단/NNG
밑인	밑/NNG+이/VCP+ㄴ/ETM
팀을	팀/NNG+을/JKO
상대로	상대/NNG+로/JKB
거둔	거두/VV+ㄴ/ETM
것이지만	것/NNB+이/VCP+지만/EC
의미	의미/NNG
있는	있/VA+는/ETM
승리였다.	승리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.236.3.2
K리그 1, 2위를 달리고 있는 서울과 전북은 16일 상하위 리그가 분리된 스플릿 시스템 가동 후 첫 경기인 K리그 31라운드에서 각각 6위 부산과 7위 제주를 꺾고 승점 3점을 챙겼다.

K리그	K/SL+리그/NNG
1,	1/SN+,/SP
2위를	2/SN+위/NNB+를/JKO
달리고	달리/VV+고/EC
있는	있/VX+는/ETM
서울과	서울/NNP+과/JC
전북은	전북/NNP+은/JX
16일	16/SN+일/NNB
상하위	상하위/NNG
리그가	리그/NNG+가/JKS
분리된	분리/NNG+되/XSV+ㄴ/ETM
스플릿	스플릿/NNG
시스템	시스템/NNG
가동	가동/NNG
후	후/NNG
첫	첫/MMN
경기인	경기/NNG+이/VCP+ㄴ/ETM
31라운드에서	31/SN+라운드/NNG+에서/JKB
각각	각각/MAG
6위	6/SN+위/NNB
부산과	부산/NNP+과/JC
7위	7/SN+위/NNB
제주를	제주/NNP+를/JKO
꺾고	꺾/VV+고/EC
승점	승점/NNG
3점을	3/SN+점/NNB+을/JKO
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.236.3.3
서울은 2006년 10월 29일 이후 9경기(6무 3패) 연속 무승에 그쳤던 부산에서 승리를 맛보는 소득이 있었다.

서울은	서울/NNP+은/JX
2006년	2006/SN+년/NNB
10월	10/SN+월/NNB
29일	29/SN+일/NNB
이후	이후/NNG
9경기(6무	9/SN+경기/NNG+(/SS+6/SN+무/NNB
3패)	3/SN+패/NNB+)/SS
연속	연속/NNG
무승에	무/XPN+승/NNG+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
부산에서	부산/NNP+에서/JKB
승리를	승리/NNG+를/JKO
맛보는	맛보/VV+는/ETM
소득이	소득/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


