# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.219
metadata : {}


# id : NWRW1800000030.219.1.1
[대구 세계육상선수권] 메달 기대주 김현섭 6위… 한국육상, 세계의 벽 실감

[대구	[/SS+대구/NNP
세계육상선수권]	세계/NNG+육상/NNG+선수/NNG+권/XSN+]/SS
메달	메달/NNG
기대주	기대주/NNG
김현섭	김현섭/NNP
6위…	6/SN+위/NNB+…/SE
한국육상,	한국/NNP+육상/NNG+,/SP
세계의	세계/NNG+의/JKG
벽	벽/NNG
실감	실감/NNG


# id : NWRW1800000030.219.2.1
•110m 허들·女 장대높이뛰기, 女 멀리뛰기 모두 예선탈락

•110m	•/SW+110/SN+m/SW
허들·女	허들/NNG+·/SP+女/SH
장대높이뛰기,	장대높이뛰기/NNG+,/SP
女	女/SH
멀리뛰기	멀리뛰기/NNG
모두	모두/MAG
예선탈락	예선/NNG+탈락/NNG


# id : NWRW1800000030.219.3.1
결승선에 들어온 김현섭(26·삼성전자)은 곧바로 쓰러졌다.

결승선에	결승선/NNG+에/JKB
들어온	들어오/VV+ㄴ/ETM
김현섭(26·삼성전자)은	김현섭/NNP+(/SS+26/SN+·/SP+삼성전자/NNP+)/SS+은/JX
곧바로	곧바로/MAG
쓰러졌다.	쓰러지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.219.3.2
모든 걸 건 역보(力步)였지만 세계선수권에서 한국 육상 사상 첫 메달을 따고 싶었던 그의 꿈은 이뤄지지 않았다.

모든	모든/MMN
걸	거/NNB+ㄹ/JKO
건	걸/VV+ㄴ/ETM
역보(力步)였지만	역보/NNG+(/SS+力步/SH+)/SS+이/VCP+었/EP+지만/EC
세계선수권에서	세계/NNG+선수/NNG+권/XSN+에서/JKB
한국	한국/NNP
육상	육상/NNG
사상	사상/NNG
첫	첫/MMN
메달을	메달/NNG+을/JKO
따고	따/VV+고/EC
싶었던	싶/VX+었/EP+던/ETM
그의	그/NP+의/JKG
꿈은	꿈/NNG+은/JX
이뤄지지	이뤄지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.219.4.1
김현섭은 28일 대구 세계육상선수권대회 남자 경보 20㎞에서 1시간21분17초로 6위에 오르며 한국 선수로는 처음으로 톱 10에 진입했다.

김현섭은	김현섭/NNP+은/JX
28일	28/SN+일/NNB
대구	대구/NNP
세계육상선수권대회	세계/NNG+육상/NNG+선수/NNG+권/XSN+대회/NNG
남자	남자/NNG
경보	경보/NNG
20㎞에서	20/SN+㎞/SW+에서/JKB
1시간21분17초로	1/SN+시간/NNB+21/SN+분/NNB+17/SN+초/NNB+로/JKB
6위에	6/SN+위/NNB+에/JKB
오르며	오르/VV+며/EC
한국	한국/NNP
선수로는	선수/NNG+로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
톱	톱/NNG
10에	10/SN+에/JKB
진입했다.	진입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.219.4.2
이는 1993세계선수권 남자 마라톤에서 김재룡이 4위, 1999세계선수권 높이뛰기에서 이진택이 6위를 차지한 이후 최고 성적이다.

이는	이/NP+는/JX
1993세계선수권	1993/SN+세계/NNG+선수/NNG+권/XSN
남자	남자/NNG
마라톤에서	마라톤/NNG+에서/JKB
김재룡이	김재룡/NNP+이/JKS
4위,	4/SN+위/NNB+,/SP
1999세계선수권	1999/SN+세계/NNG+선수/NNG+권/XSN
높이뛰기에서	높이뛰기/NNG+에서/JKB
이진택이	이진택/NNP+이/JKS
6위를	6/SN+위/NNB+를/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
최고	최고/NNG
성적이다.	성적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.219.5.1
하지만 결선 진출을 노렸던 남자 110m허들의 박태경(31), 여자 장대높이뛰기의 최윤희(25), 여자 멀리뛰기의 정순옥(28)은 모두 예선 탈락의 고배를 마셨다.

하지만	하지만/MAJ
결선	결선/NNG
진출을	진출/NNG+을/JKO
노렸던	노리/VV+었/EP+던/ETM
남자	남자/NNG
110m허들의	110/SN+m/SW+허들/NNG+의/JKG
박태경(31),	박태경/NNP+(/SS+31/SN+)/SS+,/SP
여자	여자/NNG
장대높이뛰기의	장대높이뛰기/NNG+의/JKG
최윤희(25),	최윤희/NNP+(/SS+25/SN+)/SS+,/SP
멀리뛰기의	멀리뛰기/NNG+의/JKG
정순옥(28)은	정순옥/NNP+(/SS+28/SN+)/SS+은/JX
모두	모두/MAG
예선	예선/NNG
탈락의	탈락/NNG+의/JKG
고배를	고배/NNG+를/JKO
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.219.5.2
'10-10(10개 종목에서 10위권 진입)' 달성을 목표로 삼은 한국 대표팀에도 비상이 걸렸다.

'10-10(10개	'/SS+10/SN+-/SO+10/SN+(/SS+10/SN+개/NNB
종목에서	종목/NNG+에서/JKB
10위권	10/SN+위/NNB+권/XSN
진입)'	진입/NNG+)/SS+'/SS
달성을	달성/NNG+을/JKO
목표로	목표/NNG+로/JKB
삼은	삼/VV+은/ETM
한국	한국/NNP
대표팀에도	대표/NNG+팀/NNG+에/JKB+도/JX
비상이	비상/NNG+이/JKS
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.219.5.3
대표팀 관계자들은 이번 대회가 국내에서 열리는 만큼 홈 코스의 이점과 덥고 습한 여름 날씨에 대한 적응력을 바탕으로 한국 선수들이 좋은 성적을 거둘 것으로 기대했다.

대표팀	대표/NNG+팀/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
이번	이번/NNG
대회가	대회/NNG+가/JKS
국내에서	국내/NNG+에서/JKB
열리는	열리/VV+는/ETM
만큼	만큼/NNB
홈	홈/NNG
코스의	코스/NNG+의/JKG
이점과	이점/NNG+과/JC
덥고	덥/VA+고/EC
습한	습하/VA+ㄴ/ETM
여름	여름/NNG
날씨에	날씨/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
적응력을	적응력/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
한국	한국/NNP
선수들이	선수/NNG+들/XSN+이/JKS
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
거둘	거두/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.219.5.4
그러나 대회가 시작되자 한국 선수들은 세계 정상급 선수들과의 격차를 뼈저리게 느끼고 있을 뿐이다.

그러나	그러나/MAJ
대회가	대회/NNG+가/JKS
시작되자	시작/NNG+되/XSV+자/EC
한국	한국/NNP
선수들은	선수/NNG+들/XSN+은/JX
세계	세계/NNG
정상급	정상급/NNG
선수들과의	선수/NNG+들/XSN+과/JKB+의/JKG
격차를	격차/NNG+를/JKO
뼈저리게	뼈저리/VA+게/EC
느끼고	느끼/VV+고/EC
있을	있/VX+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.219.6.1
한국 대표팀 주장인 박태경(31)은 남자 110m허들에서 13초83의 기록으로 조 최하위인 8위를 기록했다.

한국	한국/NNP
대표팀	대표/NNG+팀/NNG
주장인	주장/NNG+이/VCP+ㄴ/ETM
박태경(31)은	박태경/NNP+(/SS+31/SN+)/SS+은/JX
남자	남자/NNG
110m허들에서	110/SN+m/SW+허들/NNG+에서/JKB
13초83의	13/SN+초/NNB+83/SN+의/JKG
기록으로	기록/NNG+으로/JKB
조	조/NNG
최하위인	최/XPN+하위/NNG+이/VCP+ㄴ/ETM
8위를	8/SN+위/NNB+를/JKO
